Date,EUNK GY Equity,EUN9 GY Equity,IEAA LN Equity
2017-09-26,0.0002048131087550864,6.432315957560775e-05,-0.0004989970263520327
2017-09-27,0.0038835000263977015,-0.0017381792125306106,-0.0016584580145300176
2017-09-28,0.0022414680805904474,0.0002576987515867657,-0.00034002380494202455
2017-09-29,0.003657054055477449,0.0004508130812146405,0.00034002380494202455
2017-10-02,0.0060655260769229,-0.0005796541559268675,0.0006597163459087785
2017-10-03,0.0,0.0,0.0
2017-10-04,0.00020155195069726517,-0.001547389090188922,0.0
2017-10-05,0.0022143944629924306,0.0006450364669241537,0.0012981697632019618
2017-10-06,-0.0036261119506502126,-0.00012897401191569458,-0.0013980988136592654
2017-10-09,0.001411717487657782,0.0009024689583059242,0.0008990021682084848
2017-10-10,0.00020151133569479285,-0.0003866726863934744,0.00019966855087005797
2017-10-11,0.0,0.0003866726863934744,0.0
2017-10-12,0.0006042904806711213,0.0014165220319775074,0.0014962447056323658
2017-10-13,0.0032167297540137696,0.0018641730722377403,0.0019915167994575267
2017-10-16,0.0,0.0014118857434599619,0.0014910391327120909
2017-10-17,-0.0020092431915239573,0.0008974359576683355,0.0004965194092134695
2017-10-18,0.0026112297653368977,-0.0019240642159479293,-0.001251701384331172
2017-10-19,-0.00643994980770124,0.00038510911900946354,0.00025841591190678415
2017-10-20,0.0030238910250770523,-0.001541327130651915,-0.0019895357019166227
2017-10-23,0.0012070007500355473,0.0013487911097760374,0.0007365896235014269
2017-10-24,-0.0034236263427760427,-0.002056027452625564,-0.0012345926417318687
2017-10-25,-0.005867492807218433,0.00012862563526638837,-0.0002590596150513491
2017-10-26,0.010295841428827224,0.0030820622830631805,0.0022296997153394837
2017-10-27,0.0060072267154338554,0.001665492666071522,0.002740489442534022
2017-10-30,0.0013965089551399856,0.001854398331708751,0.002475861626204834
2017-10-31,0.0,0.0,0.0009886308269395627
2017-11-01,0.006359321908292248,0.0005109535782104047,0.0007507062917995189
2017-11-02,-0.003770968049084278,6.385084444904265e-05,0.0
2017-11-03,0.003176496615744817,0.0005744742123336977,0.00023694810947305633
2017-11-06,0.00039635355255285276,0.00095672424939508,0.0009866799024451645
2017-11-07,-0.0043685534129860315,0.002037957653509004,0.0004929751147408901
2017-11-08,-0.0003980891772314976,-0.0012095363858026786,-0.00098619337381467
2017-11-09,-0.010406337655372244,-0.002870540675534272,-0.0029644290483790137
2017-11-10,-0.0038294917302406084,-0.0010226256803242961,-0.0017234040496694192
2017-11-13,-0.006076583413430647,0.00019182198978207055,-0.0004957809146579617
2017-11-14,-0.006727168372355763,0.0007030326560615308,-0.0004960268353009223
2017-11-15,-0.004304608471227933,0.0005109862144907495,-0.0004962730000317439
2017-11-16,0.00797958198248594,-0.00044709865657033276,0.0012303053502507044
2017-11-17,-0.003879535238472176,0.00044709865657033276,0.0004956629593424466
2017-11-20,0.0071348789067693374,0.0001915525338684887,0.0
2017-11-21,0.003649639087549339,0.001148545302369186,0.0012281850160178465
2017-11-22,-0.0024316121403722413,-0.00012755102058115142,-0.0007327676167345754
2017-11-23,0.000202860331357968,-0.0005741810103838674,0.0002575200830372548
2017-11-24,-0.0010147134305467098,-0.0010215809852827107,0.00023765199937564319
2017-11-27,-0.004477011954955756,0.0011492052595931668,0.0007521922799675895
2017-11-28,0.006100059582504702,0.0003827751242910793,0.00023741690519862857
2017-11-29,0.002631846847623631,-0.0014681009881618579,-0.001980198666862387
2017-11-30,-0.004051869400878427,0.0014681009881618579,0.0004954173992832711
2017-12-01,-0.00835801420359994,0.002738942442846337,0.002473412094518679
2017-12-04,0.010487292574620888,-0.0011456213065601517,-0.0004941932396107518
2017-12-05,-0.001216175279120435,0.0007002578508128465,0.0007510772381384978
2017-12-06,-0.0008116060098544153,0.0004771675425745414,0.0012242320461162137
2017-12-07,0.00020296326434587897,0.001239571076480317,0.0
2017-12-08,0.007480827446773475,9.528800807601101e-05,-0.00023683119967032873
2017-12-11,-0.0006044731193526331,-0.00038120652324824533,0.0
2017-12-12,0.0067292977283579525,-0.0017172299583396722,-0.0004935785531741121
2017-12-13,-0.0028067380093705907,-0.001273926093493749,-0.0009878885674894367
2017-12-14,-0.0042249333543100676,0.00015932954162689583,-0.000257010963920834
2017-12-15,-0.001311343305888446,-0.00015932954162689583,0.0004941932396107518
2017-12-18,0.011740639602873859,0.0005416168989427206,-0.0004941932396107518
2017-12-19,-0.004800009216031409,-0.0038294660022994975,-0.002474636254191198
2017-12-20,-0.005830920310793353,-0.0008956561279447328,-0.0012296953095614072
2017-12-21,0.0064321829804749875,0.00012800000017509916,-0.0009927924092452134
2017-12-22,-0.0016041711882044396,-0.0002560163864471221,0.00023836008376010298
2017-12-25,0.0,0.0,0.0
2017-12-26,0.0,0.0,0.0
2017-12-27,0.0006018658020985335,0.0003840000047183878,0.001488464675704071
2017-12-28,-0.002811811452901214,-0.0024344941231388972,-0.001488464675704071
2017-12-29,0.0006031969620914346,-0.0016048791761136272,-0.00023836008376010298
2018-01-01,0.0,0.0,0.0
2018-01-02,-0.0038264068436602017,-0.0017683470567417814,-0.0008545904945098659
2018-01-03,0.006035021334469981,0.0014791950732329084,0.0010929505782699689
2018-01-04,0.0077914688437732416,0.0013165713251552802,0.0007544323254851104
2018-01-05,0.009112582867742969,0.00035293174345607525,0.0004960268353009223
2018-01-08,0.0029536301870458637,0.0008657592768175348,0.0007336684742604849
2018-01-09,0.0037287846167006755,-0.0014112517577347106,-0.0007336684742604849
2018-01-10,-0.0035321857760006736,-0.0010276173030181468,-0.0007540580585103651
2018-01-11,-0.0017707825581414482,-0.003927507221581195,-0.0034799935691636197
2018-01-12,0.003145893274778544,0.0012894076958902545,0.0
2018-01-15,-0.00196502323005765,-0.000902410787035457,0.0004978840033147414
2018-01-16,0.0005899125134205541,0.0009668375499352067,0.0014921664046954053
2018-01-17,-0.00039323634010468567,-0.00028995312627611014,0.0004968944201615422
2018-01-18,0.0017683470567417814,0.0005154141144281255,-0.00023847850825475803
2018-01-19,0.004504953265689782,0.0004507695356128494,0.0007351261469710213
2018-01-22,0.0037062365647049234,0.0010617249199667,0.0007544323254851104
2018-01-23,0.0009730466857078568,0.0003858024739216148,0.0004960268353009223
2018-01-24,-0.00467928325041278,-0.0007717538488396514,-0.0007540580585103651
2018-01-25,-0.0056835037851339365,-0.0024155768062490424,-0.001987084608131351
2018-01-26,0.004901490060041258,-0.0019043628562451786,0.0
2018-01-29,-0.0033303978279999313,-0.0021993669516424674,-0.0017319813612624024
2018-01-30,-0.008473791960090793,0.00038847523958907004,-0.0002590596150513491
2018-01-31,-0.0025760442264943784,-0.00032371888534932225,-0.00023919153376028568
2018-02-01,-0.00537154380191085,0.0011648978795939513,0.00023919153376028568
2018-02-02,-0.01406210395654428,-0.0022015030906556987,-0.00149588659158284
2018-02-05,-0.015802949044915415,0.0012308491172703384,0.0004988775359142661
2018-02-06,-0.02360390321956274,0.0017141844843067133,0.000259317995129571
2018-02-07,0.020928454000684216,-9.695089444772265e-05,-0.0012573220699809706
2018-02-08,-0.01861631424230481,-0.0014877586107182594,-0.0009990010820848383
2018-02-09,-0.013421601740504219,-0.0005827694664235494,-0.00039988004131785715
2018-02-12,0.01163541791914291,0.00032380274220056293,-0.0001399958003547308
2018-02-13,-0.006859099334040941,-0.0008097035308214373,-0.0011607197764973431
2018-02-14,0.009904200652766093,-0.0001620194102800454,-0.0016032067562155028
2018-02-15,0.006375106505367434,-0.00035653513058964137,0.0020036071619653484
2018-02-16,0.011085324601624702,0.0024607427019569528,0.002299196294504924
2018-02-19,-0.007341949116694835,-0.0017154050781336139,-0.000739164777493917
2018-02-20,0.007135869775419135,-0.00045361760814088825,0.00023978898684151595
2018-02-21,0.001338757215552988,0.00022683452518723612,0.0
2018-02-22,-0.0005146945401595104,0.00016199316424270194,0.0007589526817797232
