,core_log_return_oos
2021-01-01,0.0
2021-01-04,-0.003323618978086963
2021-01-05,0.0019180302988767968
2021-01-06,0.006116142534135505
2021-01-07,0.00461096454878128
2021-01-08,0.0038168084277902022
2021-01-11,0.0008732214297672495
2021-01-12,-0.002031804263817361
2021-01-13,0.0030976952797304473
2021-01-14,0.002622594538383599
2021-01-15,-0.0031810711186537563
2021-01-18,-0.0008110779403131137
2021-01-19,-0.0005163166113633128
2021-01-20,0.007280051372777986
2021-01-21,-0.0012860337369197505
2021-01-22,-0.00397088847449037
2021-01-25,0.001021063103983877
2021-01-26,0.00195573264498894
2021-01-27,-0.007233404410709616
2021-01-28,0.00101637458559131
2021-01-29,-0.011943993210907939
2021-02-01,0.007118689946776878
2021-02-02,0.011483746393283248
2021-02-03,0.0003942451328951483
2021-02-04,0.004932303141028299
2021-02-05,0.0018475983676848827
2021-02-08,0.0022703418972923085
2021-02-09,-0.0003727000432212376
2021-02-10,-0.002059381407829649
2021-02-11,0.003136484087049788
2021-02-12,0.0007874209383815455
2021-02-15,0.0038952093616613235
2021-02-16,-0.002141311460757518
2021-02-17,-0.002769419166646479
2021-02-18,-0.0038571121417589017
2021-02-19,0.0018085076411852381
2021-02-22,-0.0043825676957296306
2021-02-23,-0.005545990480587992
2021-02-24,0.0055590112132813015
2021-02-25,-0.007144607186057809
2021-02-26,-0.0037345364049962714
2021-03-01,0.012396460544453376
2021-03-02,-0.0031403241585652515
2021-03-03,-0.0026200227111339357
2021-03-04,-0.004133941846241783
2021-03-05,-0.006117833884236356
2021-03-08,0.01657104979058521
2021-03-09,0.0034706239908553283
2021-03-10,0.0016291695545321036
2021-03-11,0.004784523709858364
2021-03-12,-0.003686988335123369
2021-03-15,0.0038986079858898655
2021-03-16,0.0055118146104689405
2021-03-17,-0.00537059076227484
2021-03-18,0.001266986534831217
2021-03-19,-0.003342123379266355
2021-03-22,0.001999139969029681
2021-03-23,0.0018352476927808294
2021-03-24,0.00018228729201430068
2021-03-25,-0.0015522296798068302
2021-03-26,0.004699823024686101
2021-03-29,0.0013909879122830432
2021-03-30,0.0020829542148166702
2021-03-31,0.0023076970652337555
2021-04-01,0.0034187009730942183
2021-04-02,0.0
2021-04-05,0.0
2021-04-06,0.003895737052029392
2021-04-07,-0.00256224461402447
2021-04-08,0.0032355333031089195
2021-04-09,0.0005128545202148945
2021-04-12,-0.0005141076544546142
2021-04-13,0.0011575626140957402
2021-04-14,-0.0003772007818044394
2021-04-15,0.003814696140353147
2021-04-16,0.001090728816921376
2021-04-19,-0.00460621012345194
2021-04-20,-0.007223834290645442
2021-04-21,0.004955333311052776
2021-04-22,0.003966910149051724
2021-04-23,-0.001918522727170486
2021-04-26,0.001325268431143885
2021-04-27,-0.001147520069179019
2021-04-28,-0.000708906829462801
2021-04-29,-0.0022076599645439016
2021-04-30,0.0013072026845442433
2021-05-03,0.001968395248998259
2021-05-04,-0.006127586165595407
2021-05-05,0.007487714321750343
2021-05-06,-0.0034541082727722722
2021-05-07,0.0033195806284038614
2021-05-10,-0.0007018194793941947
2021-05-11,-0.012368530346545425
2021-05-12,-0.0033381695127983344
2021-05-13,0.0007567917709965211
2021-05-14,0.004818990386641141
2021-05-17,-0.002701559639838711
2021-05-18,0.00014401463371148466
2021-05-19,-0.008568439110228847
2021-05-20,0.009038970483043519
2021-05-21,0.0032830199896659025
2021-05-24,0.0
2021-05-25,0.001865722478475466
2021-05-26,0.002730142953115986
2021-05-27,0.001042329495494427
2021-05-28,0.0026956671806775308
2021-05-31,-0.0038356261408538797
2021-06-01,0.0025870641960314853
2021-06-02,0.002946940902231853
2021-06-03,-0.00038553530214216806
2021-06-04,0.0023831941025259772
2021-06-07,-0.0009336535774914851
2021-06-08,0.0012075634683668287
2021-06-09,0.0015341442898852676
2021-06-10,0.00140173914671949
2021-06-11,0.0045987709491387575
2021-06-14,-0.0012899386796167876
2021-06-15,6.130316965160702e-05
2021-06-16,0.001753642820680669
2021-06-17,0.004917605674904932
2021-06-18,-0.005188757199894383
2021-06-21,0.0017718979298128848
2021-06-22,0.0029917746139579726
2021-06-23,-0.001591677013562135
2021-06-24,0.004078191228914317
2021-06-25,-4.861938147686341e-05
2021-06-28,0.0004943407519319193
2021-06-29,0.0028097047534424604
2021-06-30,0.0012338214989283918
2021-07-01,0.0016394611673655063
2021-07-02,0.003916736131103508
2021-07-05,0.0009818855894410893
2021-07-06,7.204261833445945e-05
2021-07-07,0.004497211970495511
2021-07-08,-0.007961719576603599
2021-07-09,0.005784840572198137
2021-07-12,0.002463759959203122
2021-07-13,0.0032223409174824587
2021-07-14,-0.0019120507039643829
2021-07-15,-0.0017206062384776254
2021-07-16,-0.0014533412525502478
2021-07-19,-0.010336970845732745
2021-07-20,0.00782030739498795
2021-07-21,0.003917967759795022
2021-07-22,0.0033634303530138965
2021-07-23,0.006474376484947504
2021-07-26,-0.00120401887913843
2021-07-27,-0.004767329855099024
2021-07-28,0.004032930832392616
2021-07-29,0.00035223058733828427
2021-07-30,-0.002177432484344655
2021-08-02,0.0025781855463428414
2021-08-03,-0.0008586004928943636
2021-08-04,0.002708083659549912
2021-08-05,0.0025756673277668282
2021-08-06,0.0022914430385572015
2021-08-09,0.0008692351704889852
2021-08-10,0.0020757044494009963
2021-08-11,-0.0001815473342899924
2021-08-12,0.0012886273606772312
2021-08-13,-0.0006083406543977903
2021-08-16,-0.0018082213693945838
2021-08-17,0.001478663475608067
2021-08-18,0.00019531383773483218
2021-08-19,-0.005862286409910171
2021-08-20,0.0038959565195869827
2021-08-23,0.003424756202660851
2021-08-24,0.0007861300925470634
2021-08-25,-0.0011366319796469282
2021-08-26,-0.002753865021779612
2021-08-27,0.0023847412824811814
2021-08-30,0.0029496242023005358
2021-08-31,-0.002384439238233174
2021-09-01,-0.0005305278805599692
2021-09-02,0.0017302385452674439
2021-09-03,-0.001522987738696718
2021-09-06,0.0036487575101714566
2021-09-07,-0.004279172118027267
2021-09-08,-0.0015126338227580318
2021-09-09,0.002381258333238482
2021-09-10,-0.003712225661736899
2021-09-13,-0.0006661203618243056
2021-09-14,-0.0003355739052903795
2021-09-15,-0.0022418688983809796
2021-09-16,0.002642369262740415
2021-09-17,-0.0021069024954447385
2021-09-20,-0.009706446543148064
2021-09-21,0.004793256385790785
2021-09-22,0.0029944337121332047
2021-09-23,0.0034697181660661384
2021-09-24,-0.0022911850700206896
2021-09-27,0.001040008829250128
2021-09-28,-0.011625213018537521
2021-09-29,0.004936138512004601
2021-09-30,-0.0016770603187823976
2021-10-01,-0.0027406361199295098
2021-10-04,-0.0071223191607877046
2021-10-05,0.009202716382502798
2021-10-06,-0.0044205096988094725
2021-10-07,0.012498184293070626
2021-10-08,-0.0038387359295670486
2021-10-11,0.0007718531046655715
2021-10-12,-0.004322384448392841
2021-10-13,-0.0008350038052881011
2021-10-14,0.01080474008747879
2021-10-15,0.004084228114534376
2021-10-18,-0.0005891949463032719
2021-10-19,0.0020158568571299797
2021-10-20,0.0021700505746097332
2021-10-21,-0.0014667468243192206
2021-10-22,0.0009167392918016838
2021-10-25,0.004386650511659585
2021-10-26,0.003978333792693115
2021-10-27,-0.001413731341396563
2021-10-28,-0.0020995653683241857
2021-10-29,0.0033135029135872413
2021-11-01,0.0010853096728571058
2021-11-02,0.003808481802321611
2021-11-03,0.0001623978761448285
2021-11-04,0.00736503319990988
2021-11-05,0.004268874710162978
2021-11-08,-0.002193413841173167
2021-11-09,-0.0006163526006664105
2021-11-10,0.0006085696942753743
2021-11-11,5.6032633541884395e-05
2021-11-12,0.003846949146594507
2021-11-15,0.0018181554195512524
2021-11-16,0.004792307269022842
2021-11-17,-0.0011169686743047115
2021-11-18,-0.0007155480938891139
2021-11-19,0.0036163652852890193
2021-11-22,0.0014135280859817606
2021-11-23,-0.00915809275983915
2021-11-24,0.0039814586332357045
2021-11-25,0.0018129639832765816
2021-11-26,-0.01809393432407713
2021-11-29,0.007047656218920756
2021-11-30,-0.007061492942874936
2021-12-01,0.006621922139147538
2021-12-02,-0.009125378456199965
2021-12-03,-0.0011697036774552065
2021-12-06,0.006563316969498752
2021-12-07,0.014932782544478954
2021-12-08,-0.0065190121822938886
2021-12-09,0.003295493935954269
2021-12-10,-0.003002030546750413
2021-12-13,-0.00012149944438532266
2021-12-14,-0.0058231424970831966
2021-12-15,0.0006724126407927782
2021-12-16,0.007079321975375744
2021-12-17,-0.003723957489557668
2021-12-20,-0.013032399280994037
2021-12-21,0.008486680895778838
2021-12-22,0.0049765624271817825
2021-12-23,0.004845093326572817
2021-12-24,0.0
2021-12-27,0.0033387567122288297
2021-12-28,0.003087465438013253
2021-12-29,-0.0035599564012352776
2021-12-30,0.0019246762001081303
2021-12-31,0.0
2022-01-03,-0.0024542377193126665
2022-01-04,0.0030126440220394047
2022-01-05,-0.0021004224507899733
2022-01-06,-0.009548149293030519
2022-01-07,-0.004082770952999151
2022-01-10,-0.008079862848974186
2022-01-11,0.006094565505315541
2022-01-12,0.003366400694206736
2022-01-13,-0.001325979342720802
2022-01-14,-0.008242492569288343
2022-01-17,0.0035669499853351475
2022-01-18,-0.006637185783485737
2022-01-19,-0.0026580032088198194
2022-01-20,0.005358397608813052
2022-01-21,-0.012002053122671536
2022-01-24,-0.023201738557902953
2022-01-25,0.006432233668188801
2022-01-26,0.009631050862817098
2022-01-27,0.003195468467845032
2022-01-28,-0.007072447334083347
2022-01-31,0.008953135432456197
2022-02-01,0.004432384977898512
2022-02-02,0.0014206128333889125
2022-02-03,-0.014990788368373094
2022-02-04,-0.008180852544447354
2022-02-07,0.0015852462909621853
2022-02-08,0.0020310444172414576
2022-02-09,0.009428955441448086
2022-02-10,-0.005656106982686861
2022-02-11,-0.005045117420686492
2022-02-14,-0.00490102416966044
2022-02-15,0.004181300771597495
2022-02-16,-0.001717348805707406
