quarter_date,strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason,ter_pct,ter_dec,nom,label
2021-04-01,STRAT1,SCGBCAE LX Equity,2,0.8908750212659879,top2_diversified,0.5089485710312304,0.3016484905537238,2021-02-01,1,better_score,1.54,0.0154,SCHRODER GAIA BLUETRND-CAEUH,SCHRODER GAIA BLUETRND-CAEUH
2021-04-01,STRAT2,PROSSPE LX Equity,1,2.0914240417073304,top1,,0.0,2021-02-01,0,same_ticker,2.0,0.02,PROSPER STARS & STRIPES-P,PROSPER STARS & STRIPES-P
2021-04-01,STRAT2,LDAPB2E ID Equity,2,1.3628719708967933,top2_diversified,0.23789578950154688,0.7285520708105371,2021-02-01,0,same_ticker,1.47,0.0147,DALTON ASIA PACIFIC UC-B2EUR,DALTON ASIA PACIFIC UC-B2EUR
2021-04-01,STRAT3,00XL GR Equity,1,2.4845128101678466,top1,,0.0,2021-02-01,0,hold_buffer,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2021-04-01,STRAT3,NUMCAII ID Equity,2,2.5076576611167587,top2_diversified,-0.08196159088918979,0.26733336783777295,2021-02-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2021-05-03,STRAT1,LYEGTIE ID Equity,1,1.128475486871409,top1,,0.0,2021-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2021-05-03,STRAT1,DWMAEIA ID Equity,2,0.9088966336430583,top2_diversified,0.5906865649742883,0.2195788532283508,2021-02-01,1,better_score,0.59,0.0059,MONTLAKE-DUNN WMA UCITS-EIA,MONTLAKE-DUNN WMA UCITS-EIA
2021-05-03,STRAT2,PROSSPE LX Equity,1,1.9434775970949094,top1,,0.0,2021-02-01,0,same_ticker,2.0,0.02,PROSPER STARS & STRIPES-P,PROSPER STARS & STRIPES-P
2021-05-03,STRAT2,LDAPB2E ID Equity,2,1.2380015663388744,top2_diversified,0.23789578950154688,0.7285520708105371,2021-02-01,0,hold_buffer,1.47,0.0147,DALTON ASIA PACIFIC UC-B2EUR,DALTON ASIA PACIFIC UC-B2EUR
2021-05-03,STRAT3,00XL GR Equity,1,2.823251730669902,top1,,0.0,2021-02-01,0,same_ticker,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2021-05-03,STRAT3,NUMCAII ID Equity,2,2.291739535560583,top2_diversified,0.034116228289723834,0.5315121951093187,2021-02-01,0,same_ticker,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2021-06-01,STRAT1,LYEGTIE ID Equity,1,1.0920569160696727,top1,,0.0,2021-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2021-06-01,STRAT1,DWMAEIA ID Equity,2,0.8531270298748549,top2_diversified,0.5805508013361984,0.2389298861948178,2021-02-01,0,same_ticker,0.59,0.0059,MONTLAKE-DUNN WMA UCITS-EIA,MONTLAKE-DUNN WMA UCITS-EIA
2021-06-01,STRAT2,PROSSPE LX Equity,1,2.0396099419007934,top1,,0.0,2021-02-01,0,same_ticker,2.0,0.02,PROSPER STARS & STRIPES-P,PROSPER STARS & STRIPES-P
2021-06-01,STRAT2,LDAPB2E ID Equity,2,1.138564085750485,top2_diversified,0.1906418351714735,0.9010458561503083,2021-02-01,0,same_ticker,1.47,0.0147,DALTON ASIA PACIFIC UC-B2EUR,DALTON ASIA PACIFIC UC-B2EUR
2021-06-01,STRAT3,00XL GR Equity,1,3.11048620030983,top1,,0.0,2021-02-01,0,same_ticker,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2021-06-01,STRAT3,NUMCAII ID Equity,2,2.1109792391988713,top2_diversified,0.0551807742325582,0.9995069611109586,2021-02-01,0,same_ticker,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2021-07-01,STRAT1,LYEGTIE ID Equity,1,1.103349563257914,top1,,0.0,2021-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2021-07-01,STRAT1,DWMAEIA ID Equity,2,0.8195516832278696,top2_diversified,0.5562365155110582,0.28379788003004436,2021-02-01,0,same_ticker,0.59,0.0059,MONTLAKE-DUNN WMA UCITS-EIA,MONTLAKE-DUNN WMA UCITS-EIA
