,core_ret,sat_pocket_ret,portfolio_ret
2021-01-04,0.00556776438657125,0.0003390983186200569,0.004129619260666839
2021-01-05,-0.0024169066603049183,0.0002200228075989337,-0.0016943568576738525
2021-01-06,0.007595857740472445,-0.0006715563329826272,0.005326144552210361
2021-01-07,0.003989878144701642,0.0011093883061439112,0.003203794228013587
2021-01-08,-0.0015739410854239688,0.00033995674624023804,-0.0010527299547188756
2021-01-11,-0.0038748264839009172,1.0198419666778718e-05,-0.002815343977653439
2021-01-12,-0.002676980717806421,0.00015024725599576086,-0.0019037846186945565
2021-01-13,0.0024529287304928538,6.388494077923913e-05,0.0017982235565853235
2021-01-14,0.00048142607156376194,0.000229603154267826,0.0004125347683450334
2021-01-15,-0.003963305313324672,0.0003763178007456541,-0.0027763298469391205
2021-01-18,0.0030615830657265697,0.0005209324342062876,0.0023644663424943232
2021-01-19,-0.0005098040426171346,-0.0003958412923035705,-0.00047859187066710146
2021-01-20,0.0016328864915642338,0.0006436016428091624,0.0013619182576867896
2021-01-21,-0.0020184832342984294,0.0012868377059419534,-0.0011137948598841849
2021-01-22,0.000533606430050293,-0.0005966629039704033,0.00022350068582812065
2021-01-25,-0.007925899421629357,0.00010022670488667308,-0.005725621264385003
2021-01-26,0.003806979839859892,0.00024945632107251466,0.002826007719881978
2021-01-27,-0.004131744388266578,0.0001580981932242116,-0.002951877601783322
2021-01-28,0.004409600828367388,-0.0002254123448947158,0.0031308229092947117
2021-01-29,-0.006987998737918222,-0.0004894047768357489,-0.0052010665286157
2021-02-01,0.004097251633445875,-0.0032271034739421453,0.0020737192562013326
2021-02-02,0.006031048695174901,0.0017754719224166108,0.004861560766186954
2021-02-03,0.002654650868847197,0.0014027968655591972,0.002311681640100694
2021-02-04,-0.0006839380030344566,-0.00035225555900057656,-0.0005931496856352564
2021-02-05,0.0019780764951711216,0.0008968470674918091,0.0016820503920343221
2021-02-08,0.004296280217142234,-0.0008796581034251404,0.002880288630555684
2021-02-09,-0.0026937924451534423,0.0006834737254840773,-0.0017733310552917384
2021-02-10,-0.0008906278580881333,0.0001551851391405492,-0.0006048938848816975
2021-02-11,0.003729498883008553,0.0007053364401313617,0.002902617653714236
2021-02-12,-0.001047328715778728,0.0005616789818878538,-0.0006083498718684309
2021-02-15,0.0036933257519502494,0.00015676669232080975,0.0027273315211831517
2021-02-16,-0.002084076698488313,0.0003456310192643298,-0.0014221149786883076
2021-02-17,-0.004749654613204646,0.00011703924412066006,-0.003421401000227787
2021-02-18,-0.01054033237977492,-0.0015118171951285396,-0.008067455005239602
2021-02-19,0.004297332384286978,-0.0009411609929904642,0.002853045600472189
2021-02-22,-0.004541232204283374,0.0008763876142970406,-0.0030532102738266248
2021-02-23,-0.0038538032913929543,-0.0003424077007227586,-0.0028855498916294394
2021-02-24,0.002583236417761814,-0.0009174084776417564,0.0016154855083900053
2021-02-25,0.004484598125017669,-6.181947280363333e-05,0.0032309224041888367
