date,core,satellite
2021-02-01,0.01034365548848415,0.0
2021-02-02,0.01739138783704619,0.005374765133555664
2021-02-03,0.0004124164827381538,0.0037167076674473496
2021-02-04,0.007453506897465267,0.001443732295982033
2021-02-05,0.002935147258277704,0.008109989872120098
2021-02-08,0.0030686555338577115,0.0
2021-02-09,-0.00018033831646158127,0.0025361720969350574
2021-02-10,-0.002963959746071776,0.0033488029412117536
2021-02-11,0.004002227881334086,0.0017449976229748643
2021-02-12,0.002192511134960551,0.001968528583345636
2021-02-15,0.0066127982857371315,0.0
2021-02-16,-0.0022178336909869367,0.0
2021-02-17,-0.003991541519604236,-0.0008686998602931458
2021-02-18,-0.0045497129490112975,0.002312944425725594
2021-02-19,0.0028222793354477638,0.013363136257679936
2021-02-22,-0.006863998907469138,0.0
2021-02-23,-0.007210588933532769,0.002277751517351421
2021-02-24,0.008788680480782629,0.007611380242690767
2021-02-25,-0.007888985296075623,-0.005867019208731919
2021-02-26,-0.006673397401655845,-0.014489497074460246
2021-03-01,0.015874439305296528,0.0
2021-03-02,-0.004532547194405101,0.005995173449873493
2021-03-03,-0.002437475519506793,-0.0014873732371083472
2021-03-04,-0.006391160323957146,-0.024226707476848002
2021-03-05,-0.008366860093064088,0.007319986300224349
2021-03-08,0.024524542270004224,0.0
2021-03-09,0.004474902958639504,0.0018616670913516782
2021-03-10,0.0024566520020345983,0.002440337388785801
2021-03-11,0.005865143999202571,0.014889573013930896
2021-03-12,-0.004328357162128427,0.0035538786183705374
2021-03-15,0.004914021768938959,0.0
2021-03-16,0.008357281905403635,-0.005583165250871799
2021-03-17,-0.006228719409274386,0.0
2021-03-18,0.002222207152755784,0.0
2021-03-19,-0.005548828563454733,-0.00016701876663748608
2021-03-22,0.0024125858088375196,0.0
2021-03-23,0.002019888061047137,-0.01721401846815139
2021-03-24,-0.00045640011044945084,-0.008791259310486018
2021-03-25,-0.0027049177807504377,0.0008832061965128981
2021-03-26,0.0076081385451785,0.009477780067866974
2021-03-29,0.002851262846027769,0.0
2021-03-30,0.003942924981543028,0.0032891272011978142
2021-03-31,0.0024302684536183783,0.004383780407775128
2021-04-01,0.00400841766102622,0.004970711275169459
2021-04-02,-4.428428390768069e-06,0.0
2021-04-05,-4.428427892277931e-06,0.0
2021-04-06,0.0064851125769556095,0.0
2021-04-07,-0.0037037237613458673,-0.0051362802724963935
2021-04-08,0.004099047884651208,0.004089357156216181
2021-04-09,0.001918052866052955,-0.000957794824183569
2021-04-12,-0.00046736883819997743,0.0
2021-04-13,0.001844853386527845,-0.0027607619063331566
2021-04-14,0.00013337683944047996,0.005791957855812777
