Date,alpha_monthly,alpha_annualized,beta
2013-12-31,0.002470287769906701,0.030049541362813903,0.1475624372542953
2014-01-31,0.0015431413697195697,0.01867567250458735,0.17219246753480177
2014-02-28,0.0007646578466257936,0.00921458299729494,0.12231043900764815
2014-03-31,0.0007972052956581304,0.009608520606429138,0.26183714859877316
2014-04-30,-0.0003505563836251422,-0.004198575348230871,0.16493233272497676
2014-05-31,0.000409879426521892,0.004929656357013146,0.1615545017679349
2014-06-30,0.0014025499447383437,0.01696103990020359,0.23118888176460164
2014-07-31,0.00086944336332712,0.010483356732241322,0.3036681473095382
2014-08-31,0.0007598870346066249,0.009156851380340836,0.4873324866400156
2014-09-30,0.0021217452984291815,0.02576017402193731,0.37690974160670937
2014-10-31,0.0032345495514304228,0.039512606583948395,0.3429019663385107
2014-11-30,0.004327795170205772,0.05318771736106176,0.38703271427029606
2014-12-31,0.005342309433452323,0.06602532130558125,0.25963965149757673
2015-01-31,0.005450896788603611,0.06740784337791506,0.4160173956304457
2015-02-28,0.004657704469137347,0.0573467362113973,0.3569815036224274
2015-03-31,0.005702081860613905,0.0706122042156978,0.4309406863310583
2015-04-30,0.005121769365045024,0.06322248075828929,0.5068641179135436
2015-05-31,0.0037417769702265532,0.04583700573138705,0.6022991863131281
2015-06-30,0.004748305947235948,0.05849154053100225,0.41479471712273336
2015-07-31,0.004928934459566966,0.060777282059367055,0.3556051776425967
2015-08-31,0.0053551010564167195,0.06618809748426169,0.5224932446124689
2015-09-30,0.007280835082967308,0.090955036726027,0.2995156702186954
2015-10-31,0.007321540410745724,0.09148419465984947,0.3552549992892045
2015-11-30,0.0069250158912316385,0.0863394884671762,0.3171990380690687
2015-12-31,0.006573105331296192,0.08179225396121392,0.3075998954857838
2016-01-31,0.006677585139941951,0.08314047191914753,9.583143735942954e-05
2016-02-29,0.006953273491279392,0.08670537968821401,0.09359739738200581
2016-03-31,0.00650657458244884,0.0809345363446341,-0.16879153038599543
2016-04-30,0.005383931908071316,0.06655505987953925,-0.2930051027363518
2016-05-31,0.005543306410368245,0.06858568665973719,-0.3797696268067674
2016-06-30,0.00676825304171748,0.08431170772955254,-0.17432237398198336
2016-07-31,0.006587656477516392,0.0819799311659668,-0.1788702024202341
2016-08-31,0.0061256332423951345,0.07603541398938196,-0.22013968710433268
2016-09-30,0.006477836847821926,0.08056424091283088,-0.17439595952555356
2016-10-31,0.0060799236313996904,0.07544893209780379,-0.1827928369357409
2016-11-30,0.004456226814127991,0.05480501169945606,-0.06847553149724175
2016-12-31,0.003253217308082552,0.039744743977768504,0.05189482660332011
2017-01-31,0.004359880300183363,0.05359154093008933,0.0011084154157846528
2017-02-28,0.005050023666407078,0.06231212300839917,0.13255958677670832
2017-03-31,0.00504789857767427,0.06228516934976924,0.08150985586454791
2017-04-30,0.004762818470366949,0.058675020552029444,0.18209828293107366
2017-05-31,0.004711534555618083,0.05802677489976893,0.15962172531049024
2017-06-30,0.004234199735312555,0.052010535320763385,0.17738792552494143
2017-07-31,0.0047733232970485545,0.058807849955181846,0.1986344918399955
2017-08-31,0.004445098884660657,0.05466479158501114,0.17106072711579623
2017-09-30,0.0034749018169888506,0.042505071626780966,0.19300953023448147
2017-10-31,0.00424090122588722,0.05209478217215291,0.3658684373121265
2017-11-30,0.0030731882332031973,0.03750802467024861,0.33659633777893183
2017-12-31,0.0021179927504969423,0.025714082197704435,0.384881204025759
2018-01-31,0.002857248535325919,0.03483096269781183,0.27499109292617785
2018-02-28,0.0025011927357873236,0.03043066839915376,0.37264329617279424
2018-03-31,0.001979834950772756,0.02401843760255251,0.29040971637498125
2018-04-30,0.002398820070858468,0.029168680390947888,0.1974636190626105
2018-05-31,0.0011536145044233068,0.013931547232778563,-0.0019598639193161528
2018-06-30,0.0017793314308906189,0.02156217883696132,-0.124100734883433
2018-07-31,0.0011939758813149749,0.014422174221790263,-0.15268084880093907
2018-08-31,0.001437982454782605,0.01739292011161475,-0.11759560148700882
2018-09-30,9.876493104771056e-05,0.0011858231823349552,-0.03070152107661914
2018-10-31,-0.001038342392145025,-0.01238919619503076,0.16281492397613934
2018-11-30,-0.001627124434945497,-0.019351700250294313,0.16477679088734898
2018-12-31,-0.0023656665974749404,-0.028021535363787264,0.21711715187267738
2019-01-31,-0.0033461201569456017,-0.03942265211150098,0.2786068642893522
2019-02-28,-0.003399867982192264,-0.040044095127542145,0.27546425714717704
2019-03-31,-0.0026869370350356006,-0.03177099082092971,0.33202596443781496
2019-04-30,-0.0024670260595047364,-0.02920590735886841,0.3318377515251675
2019-05-31,-0.002562354875799696,-0.030318604715381947,0.34898847316129983
