Date,XDWD GY Equity_weight,EUNH GY Equity_weight,XBLC GY Equity_weight
2021-02-22,0.5555555555555556,0.24685043125744685,0.19759401318699765
2021-05-20,0.5555555555555556,0.19811735063766872,0.2463270938067758
2021-08-17,0.5555555555555555,0.187358173333614,0.2570862711108305
2021-11-12,0.5555555555555556,0.1790714975257882,0.2653729469186563
2022-02-09,0.5555555555555556,0.18770071424556842,0.2567437301988761
2022-05-09,0.5555555555555556,0.1834402199796426,0.26100422446480176
2022-08-04,0.5555555555555556,0.1880543600943157,0.2563900843501287
2022-11-01,0.3,0.3045497823155402,0.3954502176844599
2023-01-27,0.3,0.30556311079654735,0.39443688920345266
2023-04-26,0.3,0.3049218550902048,0.39507814490979526
2023-07-24,0.5555555555555556,0.19207043445554073,0.2523740099889038
2023-10-19,0.5555555555555555,0.1870094542370152,0.25743499020742927
2024-01-16,0.5555555555555555,0.18229487794639454,0.26214956649804994
2024-04-12,0.5555555555555555,0.18112020793926353,0.263324236505181
2024-07-10,0.5555555555555556,0.17725310293962962,0.2671913415048148
2024-10-07,0.5555555555555556,0.18161208900240905,0.2628323554420354
2025-01-02,0.5555555555555555,0.1844752218550713,0.2599692225893732
2025-04-01,0.5555555555555556,0.18327733780257247,0.26116710664187204
2025-06-27,0.5555555555555555,0.19009152379542096,0.2543529206490235
2025-09-24,0.5555555555555556,0.1889649548733053,0.2554794895711392
