Date,satellite_portfolio_return
2010-02-28,0.0
2010-03-31,0.0
2010-04-30,0.0
2010-05-31,0.0
2010-06-30,0.0
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.0
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,0.0
2011-02-28,0.01879322594611388
2011-03-31,-0.026213459552104967
2011-04-30,0.0428714393004217
2011-05-31,-0.024856717774095594
2011-06-30,-0.028431260806841774
2011-07-31,0.00706337434515536
2011-08-31,0.0020042200518533004
2011-09-30,-0.010000027123409971
2011-10-31,-0.047474660253537304
2011-11-30,0.011664840884171301
2011-12-31,0.014555818136096521
2012-01-31,-0.005224614352880574
2012-02-29,0.007352895463651921
2012-03-31,-0.009384828095893027
2012-04-30,-0.0073682786226177965
2012-05-31,0.06044526070921741
2012-06-30,-0.043999927867909516
2012-07-31,0.021966487329582618
2012-08-31,-0.02047083778799097
2012-09-30,-0.007314576052699362
2012-10-31,-0.01052651560136364
2012-11-30,0.014893824037601533
2012-12-31,0.033128882169709106
2013-01-31,0.032719969179478614
2013-02-28,-0.011881189378187051
2013-03-31,0.009017922105315268
2013-04-30,0.041707916190687255
2013-05-31,-0.02097211395714027
2013-06-30,-0.015579507777870205
2013-07-31,0.005934855729826438
2013-08-31,-0.004916428919263582
2013-09-30,-0.015810157690817506
2013-10-31,0.010039991733917564
2013-11-30,0.03578538547092225
2013-12-31,0.037500348956577945
2014-01-31,-0.031161500259568098
2014-02-28,-0.011696084218044356
2014-03-31,-0.018737657896481852
2014-04-30,-0.004019831021828124
2014-05-31,0.0030270414615425345
2014-06-30,0.010060591437980104
2014-07-31,-0.003984243164803947
2014-08-31,0.022999893840282448
2014-09-30,0.034213177407372175
2014-10-31,-0.010396872314673011
2014-11-30,0.058526452289383246
2014-12-31,0.035052120794005104
2015-01-31,0.011267875252509007
2015-02-28,-0.027534260511999625
2015-03-31,0.03352622820436284
2015-04-30,-0.022103547520400037
2015-05-31,0.01837594691159683
2015-06-30,-0.02524558518737488
2015-07-31,0.021656419768112823
2015-08-31,0.002261416126999197
2015-09-30,0.04424008820241837
2015-10-31,-0.006232026084086577
2015-11-30,-0.0019462624702923058
2015-12-31,0.01833757904472357
2016-01-31,0.019082606146894047
2016-02-29,0.0015177563231172277
2016-03-31,-0.018840896932997207
2016-04-30,-0.0017832132692551655
2016-05-31,-0.020577788689886252
2016-06-30,0.030717742131413782
2016-07-31,-2.0967009948221708e-05
2016-08-31,-0.026106876348519194
2016-09-30,0.0014053387972816586
2016-10-31,-0.0028179318063233684
2016-11-30,-0.014423186724207998
2016-12-31,0.0021256896957487846
2017-01-31,0.005104087600955209
2017-02-28,0.022247833243595007
2017-03-31,-0.022092450532970126
2017-04-30,-0.009466587353156515
2017-05-31,0.0006500604420071848
2017-06-30,-0.006366658114686924
2017-07-31,0.0174206995874566
2017-08-31,0.009842658702048236
2017-09-30,-0.0011305938699302967
2017-10-31,0.031076630521070448
2017-11-30,0.013513586009765384
2017-12-31,0.007904253455242736
2018-01-31,0.02697595338370066
2018-02-28,-0.03613484075968897
2018-03-31,0.0028002776558894342
