,Cumul total,Ret ann.,Vol ann.,Sharpe (rf=2%),Max DD,Calmar
Portefeuille global,0.5574088795527803,0.09091446186030128,0.09212551067955449,0.7697592267028746,-0.15149808269955023,0.6001030523970531
Core choisi,0.6136796485469989,0.0985463037878953,0.11571159829477284,0.6788109830425145,-0.1790199913552487,0.5504765308157078
Satellite dynamique,0.3830245003406736,0.06576401104793161,0.05060746868620407,0.9042936198151951,-0.04978089064494129,1.3210693942177292
