Date,portfolio_return
2011-02-28,0.020172542551073088
2011-03-31,-0.006621580928112413
2011-04-30,0.02860505992530173
2011-05-31,-0.014581257856804506
2011-06-30,-0.011421518418078097
2011-07-31,-0.027136388881326773
2011-08-31,-0.04863524908662284
2011-09-30,-0.037633299709938964
2011-10-31,0.02766387369428727
2011-11-30,-0.002352093863339171
2011-12-31,0.022803566952958033
2012-01-31,0.029801605106835088
2012-02-29,0.03917241065900814
2012-03-31,0.006862429065998474
2012-04-30,-0.024711530123054763
2012-05-31,0.0009228894912270207
2012-06-30,-0.0038503834195303755
2012-07-31,0.0345287245968684
2012-08-31,0.0019898045857036136
2012-09-30,0.0015947414322707836
2012-10-31,-0.004865042433486127
2012-11-30,0.027467363933986137
2012-12-31,0.01376613029331716
2013-01-31,0.09447484594495856
2013-02-28,0.033626165714312234
2013-03-31,0.022384317199382667
2013-04-30,0.030341686044577203
2013-05-31,0.020413493972490537
2013-06-30,-0.045552858724905804
2013-07-31,0.04528269623213155
2013-08-31,-0.03309871931758602
2013-09-30,-0.0016694172592262636
2013-10-31,0.039966560349977746
2013-11-30,0.014661713717553794
2013-12-31,0.01844919084208974
2014-01-31,-0.030259002942129836
2014-02-28,0.018256482166746607
2014-03-31,-0.0058531521097704734
2014-04-30,-0.0024367550819164013
2014-05-31,0.023228840351056827
2014-06-30,0.005986681313996043
2014-07-31,-0.002683520071007028
2014-08-31,0.04681576353255766
2014-09-30,0.02211405856945267
2014-10-31,0.010862947178966225
2014-11-30,0.07283745467909164
2014-12-31,0.014793838522418425
2015-01-31,0.018274989835745308
2015-02-28,0.00916151764283506
2015-03-31,0.043303301572697274
2015-04-30,-0.022447897130541544
2015-05-31,0.013309630739133918
2015-06-30,-0.061331764778314084
2015-07-31,0.0319887524454807
2015-08-31,-0.0312985229052608
2015-09-30,0.0009701042953633097
2015-10-31,0.03765973360657101
2015-11-30,0.0150252177527085
2015-12-31,0.008393635859901287
2016-01-31,-0.011367361997091346
2016-02-29,0.019882555229268305
2016-03-31,0.012145688364113907
2016-04-30,-0.006590517221320506
2016-05-31,0.002580718018064838
2016-06-30,0.08271641669804865
2016-07-31,0.035066786044325685
2016-08-31,-0.0025644799154349524
2016-09-30,0.01422292465802044
2016-10-31,0.033909411701198086
2016-11-30,-0.017022954755532126
2016-12-31,0.035327944050095685
2017-01-31,-0.0022230851699826084
2017-02-28,0.051750046452064526
2017-03-31,-0.009545990149484906
2017-04-30,-0.020893919887754017
2017-05-31,0.01759779870983991
2017-06-30,-0.005923672678492371
2017-07-31,0.018686944853175465
2017-08-31,0.025983548818268577
2017-09-30,-0.016368744127983077
2017-10-31,0.04573027944130755
2017-11-30,0.009723080735380496
2017-12-31,0.02134469389699485
2018-01-31,0.007970074051237827
2018-02-28,-0.024909881951513942
2018-03-31,-0.035158579764657256
2018-04-30,0.028940321877740722
2018-05-31,0.008566312067723344
2018-06-30,0.001010188733152919
2018-07-31,0.024239072511268313
2018-08-31,0.025929618311904993
2018-09-30,0.0067171563907865404
2018-10-31,-0.061828661938899215
2018-11-30,-0.00991018499636861
2018-12-31,-0.0624926772856912
2019-01-31,0.0314875305204489
2019-02-28,0.015073464105871376
2019-03-31,0.029796251283380433
2019-04-30,0.027380195632202797
2019-05-31,-0.024770007619308282
2019-06-30,0.03261877447351689
2019-07-31,0.041187885423913245
2019-08-31,-0.014345080605576974
2019-09-30,0.010296915980193312
2019-10-31,-0.02400724855335299
2019-11-30,0.019076437774548247
2019-12-31,-0.00303350842503964
