,core_log_return_is
2019-01-01,0.0
2019-01-02,0.0038012426894784407
2019-01-03,-0.005564650619547644
2019-01-04,0.003996121144943196
2019-01-07,0.0014813498789989416
2019-01-08,6.761654862587514e-05
2019-01-09,0.0031319490910503606
2019-01-10,0.0017152135936370412
2019-01-11,0.0018177593451849652
2019-01-14,-0.00048053768445594945
2019-01-15,0.0046503901600617355
2019-01-16,0.002686567837284667
2019-01-17,-0.0003787027466892163
2019-01-18,0.005566030783996972
2019-01-21,-0.0011286286658178817
2019-01-22,-0.0007774019553455783
2019-01-23,-0.001576499948215067
2019-01-24,0.003890405269468573
2019-01-25,0.002095208859732254
2019-01-28,-0.004332352915932977
2019-01-29,0.0013406591592400757
2019-01-30,0.002839058060957437
2019-01-31,0.0048204949504433705
2019-02-01,0.00010474592270685211
2019-02-04,0.0004997110252675922
2019-02-05,0.0045224339394141205
2019-02-06,-0.0005469130511483124
2019-02-07,-0.0037091014787222474
2019-02-08,-0.00017563632437724534
2019-02-11,0.002807824704611172
2019-02-12,0.002588566006964177
2019-02-13,0.002973674561399352
2019-02-14,-0.0009656241656593774
2019-02-15,0.004240766338828287
2019-02-18,0.00018871125146072818
2019-02-19,0.0003432248316828147
2019-02-20,0.00019371903065963143
2019-02-21,-0.0009564931610369738
2019-02-22,0.0020637804731131744
2019-02-25,0.0016595609827199827
2019-02-26,-0.00035340285035454503
2019-02-27,-0.0017943404335681193
2019-02-28,-0.0006330541149422272
2019-03-01,0.00045127522599299765
2019-03-04,0.0024876100103312974
2019-03-05,0.00048422385926247025
2019-03-06,-0.000453357683600768
2019-03-07,0.002108603035331895
2019-03-08,-0.004066467608771451
2019-03-11,0.0043484246545905485
2019-03-12,0.0009329171455902841
2019-03-13,0.0019607894067678474
2019-03-14,0.000939386601347863
2019-03-15,0.0015625848385835
2019-03-18,0.0008763758393505554
2019-03-19,0.003054838435024229
2019-03-20,-0.006431230249014655
2019-03-21,0.005355166136949928
2019-03-22,-0.0033627040172257232
2019-03-25,-0.004007063897785903
2019-03-26,0.00592458882043034
2019-03-27,0.000255336727162688
2019-03-28,0.0015916815494119469
2019-03-29,0.004386305181509777
2019-04-01,0.005177873130940351
2019-04-02,0.0024790753199497497
2019-04-03,0.0014574749440619311
2019-04-04,-0.00044347905157581316
2019-04-05,0.0022251881476246602
2019-04-08,-0.0015602734625422643
2019-04-09,-0.001707655045965246
2019-04-10,0.0018438014641175518
2019-04-11,0.0005877754339827027
2019-04-12,-0.0007229018223858546
2019-04-15,0.0006488280733473644
2019-04-16,0.0024171751992912173
2019-04-17,-0.0019729691766453756
2019-04-18,0.0037923919848296458
2019-04-19,0.0
2019-04-22,0.0
2019-04-23,0.004712961578788173
2019-04-24,0.0021603482006684405
2019-04-25,0.0008206986856310872
2019-04-26,0.0007312136767396553
2019-04-29,0.0013088728632037014
2019-04-30,-0.0025456199337890797
2019-05-01,0.0
2019-05-02,-0.0025302974456779042
2019-05-03,0.004026407333314379
2019-05-06,-0.004431339901035582
2019-05-07,-0.00505273354735665
2019-05-08,-0.0026899540973507677
2019-05-09,-0.009440537797413454
2019-05-10,-0.001484819696227214
2019-05-13,-0.004240304980724674
2019-05-14,0.0074450112173453376
2019-05-15,0.0020274385781164288
2019-05-16,0.009046844990553313
2019-05-17,-0.001513426304252453
2019-05-20,-0.006758288715804755
2019-05-21,0.003591005857144057
2019-05-22,-0.0005515553028204339
2019-05-23,-0.007758000074551117
2019-05-24,0.001121531306834454
2019-05-27,0.0020330942421074192
2019-05-28,-0.0004545404686865106
2019-05-29,-0.006268448674958114
2019-05-30,0.0019813373119129535
2019-05-31,-0.0037925756662988124
2019-06-03,-0.003538057027900583
2019-06-04,0.00544511688118496
2019-06-05,0.004680661017837723
2019-06-06,0.0018671628620543917
2019-06-07,0.0064636932257447766
2019-06-10,0.0
2019-06-11,0.003927326095193926
2019-06-12,-0.0022289868473793183
2019-06-13,0.0022592314161482946
2019-06-14,0.002138852346900588
2019-06-17,0.0006217485015859365
2019-06-18,0.011412575269703903
2019-06-19,-0.0017626338874044336
2019-06-20,0.00367849069158896
2019-06-21,-0.0012869316741526194
2019-06-24,-0.003585812686537977
2019-06-25,-0.00182678084332263
2019-06-26,-0.0025192695904314604
2019-06-27,0.0006459422407347918
2019-06-28,0.0030704837604614487
2019-07-01,0.009426929410263957
2019-07-02,0.0015192628323903625
2019-07-03,0.007418170429211748
2019-07-04,0.0015430262655086156
2019-07-05,-0.002529714165236379
2019-07-08,-0.0010222869248658049
2019-07-09,-0.0013428875735442898
2019-07-10,-1.0978162889996578e-05
2019-07-11,-0.0004806971912270289
2019-07-12,0.0004217308521837283
2019-07-15,0.00227982599093744
2019-07-16,0.0022910345095931576
2019-07-17,-0.001912890256745288
2019-07-18,-0.0031063476608147772
2019-07-19,0.004050016383547982
2019-07-22,-0.0014614008388236306
2019-07-23,0.005711597867257422
2019-07-24,0.0036595197184739925
2019-07-25,-0.002015514659072976
2019-07-26,0.00397900918430837
2019-07-29,-0.0007789763680448142
2019-07-30,-0.0036540485815162826
2019-07-31,0.0024236279611887577
2019-08-01,0.0030245241587402924
2019-08-02,-0.01762270932820354
2019-08-05,-0.013541464056388416
2019-08-06,-0.0037525880293660632
2019-08-07,0.002802240774421312
2019-08-08,0.011530388520628739
2019-08-09,-0.004562680502803864
2019-08-12,-0.002451802014981115
2019-08-13,0.007432646482201784
2019-08-14,-0.008069123102186642
2019-08-15,0.0010518588193909766
2019-08-16,0.0074131552985359245
2019-08-19,0.004783934579492262
2019-08-20,-0.0007013797818105404
2019-08-21,0.0028950368917847334
2019-08-22,-0.002553615739990181
2019-08-23,-0.008233917123605487
2019-08-26,0.0008567393039192204
2019-08-27,0.004319561119534589
2019-08-28,0.001139954914572936
2019-08-29,0.007712979788620465
2019-08-30,0.003069326429468312
2019-09-02,0.0001216159541817262
2019-09-03,-0.0009116731444127241
2019-09-04,0.0020453465032111884
2019-09-05,0.0043925005969633205
2019-09-06,0.0023429461901855733
2019-09-09,-0.002184601107212341
2019-09-10,-0.0033367918796619353
2019-09-11,0.007481247475164043
2019-09-12,0.0018068896099729431
2019-09-13,-0.001133960885772188
2019-09-16,0.00023354333458412777
2019-09-17,-0.002638551309949298
2019-09-18,8.089710888761027e-05
2019-09-19,0.004823109017505047
2019-09-20,0.0003260897844950137
2019-09-23,-0.0007738974416763325
2019-09-24,-0.00036034641623667826
2019-09-25,-0.0013741256475410177
2019-09-26,0.001863952799578894
2019-09-27,0.0010647783227867823
2019-09-30,0.0013749293154200965
2019-10-01,-0.005306354416440194
2019-10-02,-0.01586413542484712
2019-10-03,0.0
2019-10-04,0.008309302989426243
2019-10-07,0.002540416009331284
2019-10-08,-0.007233654679989811
2019-10-09,0.0010610880386731144
2019-10-10,0.0022155384571342553
2019-10-11,0.008118178737394904
2019-10-14,-0.002449538458882033
2019-10-15,0.0037254836122782493
2019-10-16,-0.0025450092246061297
