Date,XDWD GY Equity,EUNH GY Equity,XBLC GY Equity
2018-01-02,-0.005762643562361558,-0.0031420876520036334,0.00032752521944234836
2018-01-03,0.009099383916990611,0.002415162307094487,0.0008512867526679901
2018-01-04,0.005000702910047838,0.001347598823913554,0.0004907092384192069
2018-01-05,0.0077135206426601766,8.156274213910741e-05,0.0006539580812872092
2018-01-08,0.0073768541286585165,0.0013864535334175976,0.0008169133745055124
2018-01-09,0.006574803149606456,-0.0024025736042670998,-0.0009141961603762461
2018-01-10,-0.005319356983611856,-0.0011021307861865948,-0.0008823529411766673
2018-01-11,-0.003224411151743989,-0.005230681214499211,-0.0038923232917928985
2018-01-12,0.0015385222296737666,0.002752331265661656,0.002889603992907608
2018-01-15,-0.005435638884512262,-0.0018435067595249377,-0.001473380918080358
2018-01-16,0.002970297029702751,0.001970038990354972,0.0011476538675934123
2018-01-17,-0.0008687068114511254,4.096178265711181e-05,0.0002292676536088667
2018-01-18,0.0004347310595580467,-0.0002048005242890616,0.00029470513114482344
2018-01-19,0.003594848700324338,0.0009013068949970116,0.004484745318842132
2018-01-22,0.003306435740995761,0.0011870164954363993,-0.0031285644451690686
2018-01-23,0.004119424065283095,0.0006950122649223012,0.00013076596162076015
2018-01-24,-0.007775259826521941,-0.001062221677493036,-0.0006210571045669466
2018-01-25,-0.007009253790116077,-0.0018404155249268639,-0.0016353764636611867
2018-01-26,0.008327715430067162,-0.0009833647463745043,-0.0013104442405977856
2018-01-29,0.004247453494316877,-0.00287097038799089,-0.0015089883217429545
2018-01-30,-0.012101037791266922,0.0004113195129979985,0.0009856100926473044
2018-01-31,-0.004836280028541973,0.0004522654386969194,-0.0006564264145983989
2018-02-01,-0.0035054174633523116,0.0008630255208976756,3.2842879663208535e-05
2018-02-02,-0.009733770386952556,-0.002956393200295504,-0.0016092482511739226
2018-02-05,-0.01445150872943779,0.0005765587678112638,0.0
2018-02-06,-0.03389379262323633,0.0025930194270660234,-6.578947368418575e-05
2018-02-07,0.032327129350913975,-0.00036947329529113393,6.579380222371256e-05
2018-02-08,-0.02018521940902296,-0.001273100616015932,-0.0022697368421054076
2018-02-09,-0.018149048537178247,-0.0005756815658536363,0.0005604826744918245
2018-02-12,0.015176093916755562,8.22875951447255e-05,0.00046131540793448167
2018-02-13,-0.006623073526629053,-0.001686756901304265,-0.0018114748699037397
2018-02-14,0.007365702916648953,-0.00020604961674741684,-0.0014848054904803565
2018-02-15,0.0059881497667773065,-0.00020609208194266593,0.0016522371290728088
2018-02-16,0.01604043526389476,0.003421833773086913,0.0034639746634994584
2018-02-19,-0.0017678376878330626,-0.0029171288877930523,-0.0018739520662783837
2018-02-20,0.004571569778217155,-0.0003296522169112803,6.587615283248915e-05
2018-02-21,0.0031363384785683124,0.00037098103874644295,0.00016467953362764298
2018-02-22,-0.0038417524930520752,0.0005356627796782032,0.00026344386998977676
2018-02-23,0.0028103717075571577,0.002388600609505298,0.0010205761316877116
2018-02-26,0.010146261634448095,0.0009860312243215041,0.0006577649148196141
2018-02-27,0.00471841396488526,-0.0008619274339187744,-0.0008545323078945621
2018-02-28,-0.006812593219655549,0.00176642155855955,0.0014144736842107708
2018-03-01,-0.011811023622047223,0.0014762568686947919,-0.0006898137502873158
2018-03-02,-0.024972275845073333,-0.0010236671853244284,-0.0009861284596678344
2018-03-05,0.013353553224651593,0.00024593187686994256,-0.00023032376941301003
2018-03-06,-0.0005611905553708496,-0.0013932713191004975,-0.0013164390324170716
2018-03-07,0.0011438078402827845,0.0014772867167305304,0.0007909045971330464
2018-03-08,0.009950145409222788,0.002950215119852384,0.0016464157529054724
2018-03-09,0.010921656142660385,-0.0019201699554685092,-0.0002629935237845604
2018-03-12,0.005208545269582698,0.0018010642652479536,0.0014139620532047648
2018-03-13,-0.009047484111241233,0.0003268775026561421,-0.0002626912720827823
2018-03-14,-0.0031454890827019577,0.0007760803855887399,-0.0006569007422976281
2018-03-15,0.0046716524946213145,0.0011836251581571755,-0.0005258660356274314
2018-03-16,0.0028960088103928694,0.0008560945780680118,-0.001019401512660334
2018-03-19,-0.017325876970004983,0.0007738992301740133,-0.0018433786497249471
2018-03-20,0.008174161372431321,0.001098901098901095,-0.0010553045542991413
2018-03-21,0.0016626298288107133,-0.0011790055697847857,0.0003631441682347969
2018-03-22,-0.017111006373081605,0.003500488440247418,0.001518051613755178
2018-03-23,-0.018743224084729837,0.0008517887563881388,-0.0012850929221036589
2018-03-26,-0.011452246892595608,-0.00036474164133726283,0.00013197400112185953
2018-03-27,0.018441301637794227,0.00178383199545884,0.0018144030613926887
2018-03-28,-0.008230626371771077,0.001295022258195333,0.0002634351949422076
2018-03-29,0.01008639400774558,0.0014145986581519665,0.0002633658151165452
2018-03-30,0.0,0.0,0.0
2018-04-02,0.0,0.0,0.0
2018-04-03,-0.008742731945732052,-0.0009686402712187903,-0.001316482359136395
2018-04-04,-0.0005950736403628198,0.0010503777319921248,0.00046137621935149475
2018-04-05,0.028048910154173212,-0.002542475483272022,-0.00016470123196521413
2018-04-06,-0.013031606817805796,0.0008091924259587824,0.0009224788324058153
2018-04-09,0.0014880328624720107,-0.00032341526520041075,-0.0004937296336526842
2018-04-10,0.004541174008580118,-0.0019006793917827336,0.0008891523414342739
2018-04-11,-0.0053539435856839734,0.0017422308658483487,0.00029612081729335493
2018-04-12,0.008315006806995484,-0.00016178611875106164,-6.578514571387029e-05
2018-04-13,-0.0008724190935147647,-0.0003236245954696404,0.001348684210526585
2018-04-16,-0.00089397089397103,-0.0004855940433795558,-9.85512959499335e-05
2018-04-17,0.0119025324094304,0.0016599190283397292,0.0012812931204413402
2018-04-18,0.0019535668017025554,0.00032334990501592387,-0.0014109000229679536
2018-04-19,-0.003694277973893767,-0.004080972968604879,-0.002825786948806752
2018-04-20,-0.00024719841792997244,0.0004057124310290483,0.00019770660340001633
2018-04-23,0.005480919805489037,-0.0023116230026762885,-0.001811952296237207
2018-04-24,-0.002868970039755614,0.00016259501646254115,6.600877916751458e-05
2018-04-25,-0.00891939660487473,-8.128429181075703e-05,-0.0003960265337781266
2018-04-26,0.014681486396814769,0.0026013087834815263,0.002013932450724898
2018-04-27,0.004005558734570647,0.0010945798029757814,0.0012850082372326543
2018-04-30,0.0033585735222274593,-0.0009314003401629245,0.0002303465069595223
2018-05-01,0.0,0.0,0.0
2018-05-02,0.00182581705313134,-0.0012160025941396757,-0.0006908803789976714
2018-05-03,-0.011744932466638436,0.0033683697901878418,0.0012510288065847863
2018-05-04,0.016556359240210483,-0.0028312570781426905,-0.0007562555486142486
2018-05-07,0.00800225756384676,0.00174413888212821,0.0005264889766372072
2018-05-08,0.0021196608542632944,-0.0036036765599057885,-0.0010524238637115158
2018-05-09,0.0039509917388353966,0.0004470091027304335,0.0
2018-05-10,0.007910637621243888,-0.0003655713067139965,0.00042799762955181286
2018-05-11,0.0006704791954246225,0.0009752133279157249,9.872642906505469e-05
2018-05-14,0.001024751694781889,-0.002679223836973277,-0.002204672589667278
2018-05-15,-0.00019686589495260254,-0.0019537609899059616,-0.0014510437621612082
2018-05-16,0.007246091442523861,-0.0030179445350735357,-0.00013210475907354802
2018-05-17,0.003909762677405171,-0.0007363167798415393,-0.0008918249380676091
2018-05-18,-0.001674650465397054,0.00024561978058001976,0.0016530018513618572
2018-05-21,0.0,0.0,0.0
2018-05-22,0.006046656783958992,-0.002455594663174576,-0.0010891808040133233
2018-05-23,-0.004071503354143302,0.0004923278903756767,-0.0002973732033705323
2018-05-24,-0.0033873228469085692,0.003116542278355894,0.0013551031200425001
2018-05-25,0.0062116654295425455,-0.0006131959774342555,-0.0002970591147642976
2018-05-28,0.001048299425376431,-0.001636192579866802,0.0009574749075542677
2018-05-29,-0.0040724508397005366,-0.00934158233293747,0.00036283273410964156
2018-05-30,-0.0007399330165901441,0.0021092683733823225,-0.003725929833816699
2018-05-31,-0.003663431934213923,0.0066859265373500065,6.61922885984989e-05
2018-06-01,0.006610600430275726,0.0005739586749762271,0.0013237581493859008
2018-06-04,0.002875573171679413,0.0018438088994503499,0.0010906567075383844
2018-06-05,-0.00030998140111571093,-0.002085804261584112,0.002905249257181275
