strategie,poids,IS_ret_ann,IS_vol_ann,IS_sharpe,OOS_ret_ann,OOS_vol_ann,OOS_sharpe,OOS_mdd
Max Sharpe,"[5.3%, 50.0%, 44.7%]",0.03940057795062906,0.04500892585666589,0.8753947622767757,-0.007354022495142165,0.04513794449167535,-0.16292329165539304,-0.16365163176928332
Min Variance,"[5.0%, 50.0%, 45.0%]",0.039191324292286375,0.04477378184407679,0.8753186056243554,-0.007743122148475501,0.045132825732630104,-0.17156298155019759,-0.16390590781899406
Equal Weight,"[33.3%, 33.3%, 33.3%]",0.05842473363635088,0.08658645561966705,0.6747560368215422,0.02815257574344021,0.05872068201484405,0.47943202935421453,-0.15789601015814825
Risk Parity,"[9.2%, 60.4%, 30.4%]",0.04055381028218762,0.04456015331313739,0.9100913544260943,-0.005381308872079549,0.04645102956578222,-0.11584907637964707,-0.15973502837285347
Max Sharpe Rolling,rolling,0.07276784934707314,0.08599867659740672,0.8461508040144359,0.03368789321559107,0.07077353270050059,0.4759956431474388,-0.17038353368328574
