bloc,ticker,strategie,devise,expense_pct,aum_usd_m,vol_calib,sharpe_calib,alpha_annual,beta_core,drawdown_calib,skew_calib,kurtosis_calib,n_obs_calib
Bloc1,BFIST5I LX Equity,Dérivés,Franc suisse,1.48,203.949,0.058848399736707815,0.6335193862629949,0.032482983191898115,0.08082276888252372,-0.115532240692923,-1.3600321637269581,6.559557522823221,488
Bloc2,MGFOIII ID Equity,Multi-stratégie,Livre sterling,0.98,144.834,0.025263019831749434,7.161933563149582,0.15823553294421458,0.08545316892611532,-0.004948545331919241,0.04742571070358176,5.473796059756749,55
Bloc2,LOTINAG IN Equity,Equity Hedge,Roupie indienne,1.06,3141.067,0.01070891158977803,5.017753654500385,0.053248837040568965,-0.015405073248912103,-0.005995923581377682,0.2861776812983666,2.516455216850906,427
Bloc2,REARBVG IN Equity,Multi-stratégie,Roupie indienne,1.06,1800.516,0.011347485724709734,4.8267352109299395,0.05443017939164481,-0.01960413101608643,-0.0076768841682602895,0.2625309555463296,3.7073148887823777,427
Bloc3,JIRRX US Equity,Protégé contre l'inflation,Dollar US,1.09,1125.444,0.040323885447159445,2.7084616166304656,0.109471430474881,-0.050262828353451104,-0.019320776741607815,-0.06012353998675478,0.49344304538567973,159
Bloc3,ROGMACS ID Equity,Titres adossés à des actifs,Livre sterling,0.45,262.659,0.043142508351828326,1.5323972026620132,0.06178433078325457,0.024404468528489116,-0.00905119412623745,-0.07015964290845562,-0.5889160996851897,81
Bloc3,MMLDX US Equity,Protégé contre l'inflation,Dollar US,0.0,237.395,0.024191792071553093,2.465711463360595,0.05292719822700136,0.08702907449533544,-0.03719976191107388,-0.4976355783575385,8.49669397722066,395
