Date,w_core_effectif,w_sat_effectif,scale
2011-02-28,1.0928642160572892,0.46837037831026684,1.5612345943675563
2011-03-31,1.147388365521387,0.4917378709377373,1.6391262364591244
2011-04-30,1.2460258987900654,0.5340110994814566,1.780036998271522
2011-05-31,1.2125649698668137,0.5196707013714916,1.7322356712383054
2011-06-30,1.313364934734745,0.5628706863148907,1.8762356210496356
2011-07-31,1.4,0.6,2.0
2011-08-31,1.4,0.6,2.0
2011-09-30,1.2795444135682106,0.5483761772435188,1.8279205908117295
2011-10-31,1.324602062050637,0.5676865980217015,1.8922886600723385
2011-11-30,1.275566690907101,0.5466714389601862,1.8222381298672874
2011-12-31,1.279019530329973,0.5481512272842741,1.827170757614247
2012-01-31,1.4,0.6,2.0
2012-02-29,1.3862210464392097,0.5940947341882328,1.9803157806274425
2012-03-31,1.3229879624812388,0.566994841063388,1.8899828035446269
2012-04-30,1.3249132570335898,0.56781996730011,1.8927332243336998
2012-05-31,1.358083199661237,0.582035656997673,1.9401188566589103
2012-06-30,1.3707326671044595,0.5874568573304827,1.9581895244349423
2012-07-31,1.3781499446162115,0.590635690549805,1.9687856351660167
2012-08-31,1.3529297304343135,0.5798270273289915,1.9327567577633051
2012-09-30,1.4,0.6,2.0
2012-10-31,1.4,0.6,2.0
2012-11-30,1.4,0.6,2.0
2012-12-31,1.4,0.6,2.0
2013-01-31,1.4,0.6,2.0
2013-02-28,1.3066784904478015,0.5600050673347721,1.8666835577825736
2013-03-31,1.3165911106101225,0.5642533331186239,1.8808444437287464
2013-04-30,1.3175821730088337,0.5646780741466431,1.882260247155477
2013-05-31,1.4,0.6,2.0
2013-06-30,1.4,0.6,2.0
2013-07-31,1.230562016495697,0.5273837213552987,1.7579457378509957
2013-08-31,1.1932725301355147,0.5114025129152205,1.7046750430507354
2013-09-30,1.0695414171751036,0.4583748930750445,1.5279163102501483
2013-10-31,1.0649866367146419,0.4564228443062751,1.521409481020917
2013-11-30,1.0495484538164628,0.4498064802070555,1.4993549340235184
