,AEABSIA ID Equity
2020-10-06,-0.015921085925657188
2020-10-07,-0.01592590166423414
2020-10-08,-0.015855352021143354
2020-10-09,-0.015768122849942976
2020-10-13,-0.01577807879326905
2020-10-14,-0.015768636589119166
2020-10-15,-0.015645215648145746
2020-10-16,-0.015454774072436015
2020-10-20,-0.015401774209109011
2020-10-21,-0.015289308434447013
2020-10-22,-0.015285012112383775
2020-10-23,-0.01531293941525888
2020-10-27,-0.015379884112284433
2020-10-28,-0.0150409277200176
2020-10-29,-0.015012191340319803
2020-10-30,-0.014381752124772247
2020-11-03,-0.01430325240814086
2020-11-04,-0.013950717161561854
2020-11-05,-0.014021299140190112
2020-11-06,-0.013894744051908376
2020-11-10,-0.013774279495121295
2020-11-11,-0.01356539624781977
2020-11-12,-0.013671126790035128
2020-11-13,-0.01387584706616491
2020-11-17,-0.01391490096770965
2020-11-18,-0.013885446915564826
2020-11-19,-0.013996603056426686
2020-11-20,-0.014064470169944634
2020-11-24,-0.014253540702055305
2020-11-25,-0.0143514745410422
2020-11-26,-0.014575645161170958
2020-11-27,-0.01460118731601829
2020-12-01,-0.014553140674725289
2020-12-02,-0.01448622634604852
2020-12-03,-0.01436249659513082
2020-12-04,-0.014310159900046672
2020-12-08,-0.014261581024863067
2020-12-09,-0.01424050822065412
2020-12-10,-0.01421177059039812
2020-12-11,-0.014342138440929991
2020-12-15,-0.014231160955676959
2020-12-16,-0.014209467090578675
2020-12-17,-0.014085648306559805
2020-12-18,-0.014051473678242343
2020-12-22,-0.01405857197515369
2020-12-23,-0.01411884037828175
2020-12-24,-0.014104676012250628
2020-12-29,-0.014095832082535429
2020-12-30,-0.014072808658491138
2020-12-31,-0.014286841994244482
2021-01-05,-0.014225933356447737
2021-01-06,-0.014652804403089298
2021-01-07,-0.014645230044020463
2021-01-08,-0.01463672439952289
2021-01-12,-0.01459824280803111
2021-01-13,-0.01426708530752591
2021-01-14,-0.014428301932562277
2021-01-15,-0.014594255617773074
2021-01-19,-0.014630231425798326
2021-01-20,-0.014554711031153092
2021-01-21,-0.014530588682425507
2021-01-22,-0.0144922370824145
2021-01-26,-0.014476124335200326
2021-01-27,-0.014556624826656149
2021-01-28,-0.014537633259888872
2021-01-29,-0.014047756358329506
2021-02-02,-0.01370066075829316
2021-02-03,-0.013632643815769493
2021-02-04,-0.013703030242720682
2021-02-05,-0.013693690970940014
2021-02-09,-0.013663999204559808
2021-02-10,-0.013731384906544112
2021-02-11,-0.013765227258195435
2021-02-12,-0.013760031867323594
2021-02-16,-0.013732786346510997
2021-02-17,-0.013629910530843965
2021-02-18,-0.013688030820233106
2021-02-19,-0.013669189379767525
2021-02-23,-0.01366456814083526
2021-02-24,-0.013577727596416195
2021-02-25,-0.01344787536300798
2021-02-26,-0.01359256646737721
2021-03-02,-0.01362645049343584
2021-03-03,-0.013693739903920168
2021-03-04,-0.013526817067193156
2021-03-05,-0.01354342741534307
2021-03-09,-0.013549524883659465
2021-03-10,-0.013395526602628263
2021-03-11,-0.013568308297600546
2021-03-12,-0.013603272092103684
2021-03-16,-0.013675060876103682
2021-03-17,-0.013649823164688667
2021-03-18,-0.013632644984681207
2021-03-19,-0.013715624324464507
2021-03-23,-0.013698690700634744
2021-03-24,-0.013873730213514122
2021-03-25,-0.0139313337424886
2021-03-26,-0.014053147824948136
2021-03-30,-0.014074121981523219
2021-03-31,-0.014192309094787603
2021-04-01,-0.014015725784055038
2021-04-07,-0.01388381827245041
2021-04-08,-0.01387361798316554
2021-04-09,-0.013891698168013458
2021-04-13,-0.013865518163031809
2021-04-14,-0.013906169618372394
2021-04-15,-0.013761828047855095
2021-04-16,-0.013737837929611045
2021-04-20,-0.013878240875799561
2021-04-21,-0.013967385757757474
2021-04-22,-0.013966685737095492
2021-04-23,-0.01403583704103815
2021-04-27,-0.014129610408509626
2021-04-28,-0.014151970496114668
2021-04-29,-0.014297377126707799
2021-04-30,-0.014613584234144637
2021-05-04,-0.014803388209235978
2021-05-05,-0.014913459279320272
2021-05-06,-0.014977350452768916
2021-05-07,-0.015143004731960528
2021-05-11,-0.014915151239846347
2021-05-12,-0.0149918866982777
2021-05-13,-0.014979126304990374
2021-05-14,-0.015179240174378847
2021-05-18,-0.01550024579621381
2021-05-19,-0.015435197245684965
2021-05-20,-0.015382991258777954
2021-05-21,-0.015417219660511596
2021-05-25,-0.015414845073549397
2021-05-26,-0.016059663637486874
2021-05-27,-0.01629611229540312
2021-05-28,-0.016086547942957934
2021-06-01,-0.016130342680970442
2021-06-02,-0.016302745718797827
2021-06-03,-0.017546112051010528
2021-06-04,-0.01781353146353524
2021-06-08,-0.01760329098472504
2021-06-09,-0.03271772043036293
2021-06-10,-0.03055711375969105
2021-06-11,-0.030001535833044546
2021-06-15,-0.04133181961809195
2021-06-16,-0.043054857888954384
2021-06-17,-0.03973824914800208
2021-06-18,-0.030288852740397568
2021-06-22,-0.026961160514989983
2021-06-23,-0.021061103241727552
2021-06-24,-0.01647878161682379
2021-06-25,-0.014467632724118093
2021-06-29,-0.014387395986647013
2021-06-30,-0.013830186427456108
2021-07-01,-0.01440385050663799
2021-07-02,-0.01085638883843722
2021-07-06,-0.010875504367549681
2021-07-07,-0.01346917863587946
2021-07-08,-0.010409508531117611
