date,portfolio_return_gross,portfolio_return_net_est,portfolio_nav_gross,portfolio_nav_net_est,switching_drag_nav,portfolio_ter_bps_annualized,switching_drag_daily,allocation_turnover_daily
2021-02-01,0.007757741616363112,0.007757741616363112,1.0077577416163632,1.0077577416163632,0.0,37.62578950724857,0.0,0.0
2021-02-02,0.014387232161173559,0.014387232161173559,1.0222565862072177,1.0222565862072177,0.0,37.62578950724857,0.0,0.0
2021-02-03,0.0012384892789154528,0.0012384892789154528,1.023522640029536,1.023522640029536,0.0,37.62578950724857,0.0,0.0
2021-02-04,0.005951063247094459,0.005951063247094459,1.029613687995185,1.029613687995185,0.0,37.62578950724857,0.0,0.0
2021-02-05,0.004228857911738302,0.004228857911738302,1.0339677779856973,1.0339677779856973,0.0,37.62578950724857,0.0,0.0
2021-02-08,0.0023014916503932836,0.0023014916503932836,1.0363474461935072,1.0363474461935072,0.0,37.62578950724857,0.0,0.0
2021-02-09,0.0004987892868875784,0.0004987892868875784,1.0368643651971616,1.0368643651971616,0.0,37.62578950724857,0.0,0.0
2021-02-10,-0.0013857690742508934,-0.0013857690742508934,1.0354275106256785,1.0354275106256785,0.0,37.62578950724857,0.0,0.0
2021-02-11,0.0034379203167442807,0.0034379203167442807,1.0389872279009744,1.0389872279009744,0.0,37.62578950724857,0.0,0.0
2021-02-12,0.002136515497056822,0.002136515497056822,1.041207040214629,1.041207040214629,0.0,37.62578950724857,0.0,0.0
2021-02-15,0.004959598714302849,0.004959598714302849,1.0463710093126006,1.0463710093126006,0.0,37.62578950724857,0.0,0.0
2021-02-16,-0.0016633752682402025,-0.0016633752682402025,1.0446305016543065,1.0446305016543065,0.0,37.62578950724857,0.0,0.0
2021-02-17,-0.0032108311047764635,-0.0032108311047764635,1.0412763695465965,1.0412763695465965,0.0,37.62578950724857,0.0,0.0
2021-02-18,-0.0028340486053270745,-0.0028340486053270745,1.038325341703723,1.038325341703723,0.0,37.62578950724857,0.0,0.0
2021-02-19,0.005457493566005807,0.005457493566005807,1.043991995575492,1.043991995575492,0.0,37.62578950724857,0.0,0.0
2021-02-22,-0.005147999180601853,-0.005147999180601853,1.0386175256377144,1.0386175256377144,0.0,37.62578950724857,0.0,0.0
2021-02-23,-0.004838503820811722,-0.004838503820811722,1.0335921707715543,1.0335921707715543,0.0,37.62578950724857,0.0,0.0
2021-02-24,0.008494355421259663,0.008494355421259663,1.0423718700307192,1.0423718700307192,0.0,37.62578950724857,0.0,0.0
2021-02-25,-0.007383493774239697,-0.007383493774239697,1.0346755238179046,1.0346755238179046,0.0,37.62578950724857,0.0,0.0
2021-02-26,-0.008627422319856946,-0.008627422319856946,1.0257489411099083,1.0257489411099083,0.0,37.62578950724857,0.0,0.0
2021-03-01,0.011905829478972396,0.011905829478972396,1.0379613330909994,1.0379613330909994,0.0,39.94453950724858,0.0,0.0
2021-03-02,-0.0019006170333354525,-0.0019006170333354525,1.035988566101383,1.035988566101383,0.0,39.94453950724858,0.0,0.0
2021-03-03,-0.0021999499489071817,-0.0021999499489071817,1.0337094431083198,1.0337094431083198,0.0,39.94453950724858,0.0,0.0
2021-03-04,-0.01085004711217986,-0.01085004711217986,1.0224936469502894,1.0224936469502894,0.0,39.94453950724858,0.0,0.0
2021-03-05,-0.004445148494741979,-0.004445148494741979,1.017948510854665,1.017948510854665,0.0,39.94453950724858,0.0,0.0
2021-03-08,0.018393406702503168,0.018393406702503168,1.0366720518170223,1.0366720518170223,0.0,39.94453950724858,0.0,0.0
2021-03-09,0.0038215939918175477,0.0038215939918175477,1.0406337915017314,1.0406337915017314,0.0,39.94453950724858,0.0,0.0
2021-03-10,0.002452573348722399,0.002452573348722399,1.0431860222045486,1.0431860222045486,0.0,39.94453950724858,0.0,0.0
2021-03-11,0.008121251252884652,0.008121251252884652,1.051657997994369,1.051657997994369,0.0,42.92141450724857,0.0,0.0
2021-03-12,-0.0023577982170036858,-0.0023577982170036858,1.0491784006418001,1.0491784006418001,0.0,42.92141450724857,0.0,0.0
2021-03-15,0.003685516326704219,0.003685516326704219,1.053045164766991,1.053045164766991,0.0,42.92141450724857,0.0,0.0
2021-03-16,0.004872170116334776,0.004872170116334776,1.0581757799499196,1.0581757799499196,0.0,42.92141450724857,0.0,0.0
2021-03-17,-0.004671539556955789,-0.004671539556955789,1.053232469935671,1.053232469935671,0.0,42.92141450724857,0.0,0.0
2021-03-18,0.001666655364566838,0.001666655364566838,1.0549878454818251,1.0549878454818251,0.0,42.92141450724857,0.0,0.0
2021-03-19,-0.004203376114250422,-0.004203376114250422,1.0505533347713023,1.0505533347713023,0.0,42.92141450724857,0.0,0.0
2021-03-22,0.0018094393566281397,0.0018094393566281397,1.0524542473214744,1.0524542473214744,0.0,42.92141450724857,0.0,0.0
2021-03-23,-0.002788588571252495,-0.002788588571252495,1.0495193854356275,1.0495193854356275,0.0,42.92141450724857,0.0,0.0
2021-03-24,-0.0025401149104585926,-0.0025401149104585926,1.046853485595867,1.046853485595867,0.0,42.92141450724857,0.0,0.0
2021-03-25,-0.0018078867864346037,-0.0018078867864346037,1.0449608930119254,1.0449608930119254,0.0,42.92141450724857,0.0,0.0
2021-03-26,0.008075548925850618,0.008075548925850618,1.0533995258290438,1.0533995258290438,0.0,42.92141450724857,0.0,0.0
2021-03-29,0.0021384471345208267,0.0021384471345208267,1.0556521650265587,1.0556521650265587,0.0,42.92141450724857,0.0,0.0
2021-03-30,0.0037794755364567246,0.0037794755364567246,1.059641976559284,1.059641976559284,0.0,42.92141450724857,0.0,0.0
2021-03-31,0.0029186464421575658,0.0029186464421575658,1.0627346968441296,1.0627346968441296,0.0,42.92141450724857,0.0,0.0
2021-04-01,0.00424899106456203,0.00424899106456203,1.0672502470750203,1.0672502470750203,0.0,41.24016450724858,0.0,0.0
2021-04-02,-3.3213212930760516e-06,-3.3213212930760516e-06,1.0672467023940495,1.0672467023940495,0.0,41.24016450724858,0.0,0.0
2021-04-05,-3.321320919208448e-06,-3.321320919208448e-06,1.067243157725251,1.067243157725251,0.0,41.24016450724858,0.0,0.0
2021-04-06,0.004863834432716707,0.004863834432716707,1.0724340517438764,1.0724340517438764,0.0,41.24016450724858,0.0,0.0
2021-04-07,-0.004061862889133499,-0.004061862889133499,1.0680779716680548,1.0680779716680548,0.0,41.24016450724858,0.0,0.0
2021-04-08,0.004096625202542451,0.004096625202542451,1.0724534868050706,1.0724534868050706,0.0,41.24016450724858,0.0,0.0
2021-04-09,0.001199090943493824,0.001199090943493824,1.0737394560684168,1.0737394560684168,0.0,41.24016450724858,0.0,0.0
2021-04-12,-0.0003505266286499831,-0.0003505266286499831,1.0733630817968327,1.0733630817968327,0.0,41.24016450724858,0.0,0.0
2021-04-13,0.0006934495633125945,0.0006934495633125945,1.0741074049571806,1.0741074049571806,0.0,41.24016450724858,0.0,0.0
2021-04-14,0.0015480220935335542,0.0015480220935335542,1.0757701469508822,1.0757701469508822,0.0,41.24016450724858,0.0,0.0
2021-04-15,0.00399769296063973,0.00399769296063973,1.0800707456946141,1.0800707456946141,0.0,41.24016450724858,0.0,0.0
2021-04-16,0.002312077106696381,0.002312077106696381,1.0825679525393472,1.0825679525393472,0.0,41.24016450724858,0.0,0.0
2021-04-19,-0.004402273381492489,-0.004402273381492489,1.0778021924582264,1.0778021924582264,0.0,41.24016450724858,0.0,0.0
2021-04-20,-0.00970875198018476,-0.00970875198018476,1.0673380782879502,1.0673380782879502,0.0,41.24016450724858,0.0,0.0
2021-04-21,0.007270065917232481,0.007270065917232481,1.0750976964730758,1.0750976964730758,0.0,41.24016450724858,0.0,0.0
2021-04-22,0.004607992324067651,0.004607992324067651,1.0800517384060466,1.0800517384060466,0.0,41.24016450724858,0.0,0.0
2021-04-23,0.0006744838586311142,0.0006744838586311142,1.0807802158700879,1.0807802158700879,0.0,41.24016450724858,0.0,0.0
2021-04-26,0.0014821015410763638,0.0014821015410763638,1.0823820418935939,1.0823820418935939,0.0,41.24016450724858,0.0,0.0
2021-04-27,-0.0004934983870213238,-0.0004934983870213238,1.0818478881017786,1.0818478881017786,0.0,41.24016450724858,0.0,0.0
2021-04-28,-0.00011193801413004253,-0.00011193801413004253,1.0817267881975936,1.0817267881975936,0.0,41.24016450724858,0.0,0.0
2021-04-29,-0.00109054000366414,-0.00109054000366414,1.080547121862029,1.080547121862029,0.0,41.24016450724858,0.0,0.0
