,theta_satellite,absolute_weight,w_core,w_sat,portfolio_scale,allocation_mode
DWMAEIA ID Equity,0.2,0.03995991983967937,0.8002004008016032,0.19979959919839685,1.0,equal_weight
PDAIEUR LX Equity,0.2,0.03995991983967937,0.8002004008016032,0.19979959919839685,1.0,equal_weight
EXCRISA LX Equity,0.2,0.03995991983967937,0.8002004008016032,0.19979959919839685,1.0,equal_weight
LUMNUDE LX Equity,0.2,0.03995991983967937,0.8002004008016032,0.19979959919839685,1.0,equal_weight
AEABSIA ID Equity,0.2,0.03995991983967937,0.8002004008016032,0.19979959919839685,1.0,equal_weight
