,core_return_oos
2021-01-01,0.0
2021-01-04,-0.0033181018704782073
2021-01-05,0.0019198708955758814
2021-01-06,0.006134884323554024
2021-01-07,0.00462161140361661
2021-01-08,0.0038241017171547487
2021-01-11,0.0008736027985982719
2021-01-12,-0.002029741546783037
2021-01-13,0.0031024980956930737
2021-01-14,0.002626036547780597
2021-01-15,-0.0031760168726485682
2021-01-18,-0.0008107491055100446
2021-01-19,-0.0005161833428789508
2021-01-20,0.00730661537006827
2021-01-21,-0.001285207149911094
2021-01-22,-0.003963014921965935
2021-01-25,0.0010215845663819056
2021-01-26,0.0019576463374317843
2021-01-27,-0.00720730630498867
2021-01-28,0.0010168912692736232
2021-01-29,-0.011872946864338263
2021-02-01,0.007144088051364461
2021-02-02,0.011549937741119898
2021-02-03,0.0003943228577214519
2021-02-04,0.004944486971377948
2021-02-05,0.0018493062292010976
2021-02-08,0.0022729210749599105
2021-02-09,-0.0003726305991876844
2021-02-10,-0.0020572623368462217
2021-02-11,0.00314140799984286
2021-02-12,0.0007877310356356748
2021-02-15,0.0039028055493584013
2021-02-16,-0.0021390204888913633
2021-02-17,-0.0027655878630308273
2021-02-18,-0.003849683039418128
2021-02-19,0.0018101439774229622
2021-02-22,-0.004372978259824523
2021-02-23,-0.005530639866612841
2021-02-24,0.005574491187272601
2021-02-25,-0.00711914515495915
2021-02-26,-0.003727571696599319
2021-03-01,0.012473615146508799
2021-03-02,-0.0031353984980607708
2021-03-03,-0.002616593447200777
2021-03-04,-0.004125408870971792
2021-03-05,-0.006099158043158637
2021-03-08,0.016709111189341597
2021-03-09,0.003476653579759015
2021-03-10,0.0016304973722329752
2021-03-11,0.00479598781956625
2021-03-12,-0.0036801997393522967
2021-03-15,0.0039062174435542385
2021-03-16,0.005527032607364424
2021-03-17,-0.005356194922624624
2021-03-18,0.001267789501351091
2021-03-19,-0.003336544701532218
2021-03-22,0.002001139581617295
2021-03-23,0.0018369327905274346
2021-03-24,0.00018230390735229918
2021-03-25,-0.0015510255944036766
2021-03-26,0.004710884515144675
2021-03-29,0.0013919557846833186
2021-03-30,0.0020851250709501556
2021-03-31,0.0023103618475486254
2021-04-01,0.0034245513963153673
2021-04-02,0.0
2021-04-05,0.0
2021-04-06,0.0039033352993391723
2021-04-07,-0.002558964867062752
2021-04-08,0.0032407732908474873
2021-04-09,0.0005129860525789898
2021-04-12,-0.0005139755237585364
2021-04-13,0.0011582328482862003
2021-04-14,-0.000377129650533381
2021-04-15,0.003821981354355186
2021-04-16,0.0010913238779277634
2021-04-19,-0.004595617807319985
2021-04-20,-0.007197805114247502
2021-04-21,0.004967631280285767
2021-04-22,0.003974788751575087
2021-04-23,-0.00191668353880603
2021-04-26,0.0013261469874159548
2021-04-27,-0.0011468619197950725
2021-04-28,-0.0007086556143826028
2021-04-29,-0.002205224875563516
2021-04-30,0.0013080574463819605
2021-05-03,0.001970333810669578
2021-05-04,-0.0061088507965489924
2021-05-05,0.007515817353334064
2021-05-06,-0.0034481497032812225
2021-05-07,0.003325096537991401
2021-05-10,-0.0007015732617068338
2021-05-11,-0.012292354459773613
2021-05-12,-0.003332604019525953
2021-05-13,0.0007570782101424811
2021-05-14,0.00483062039494242
2021-05-17,-0.0026979137115648033
2021-05-18,0.00014402500431676124
2021-05-19,-0.008531834658117243
2021-05-20,0.009079945340533024
2021-05-21,0.003288415002154599
2021-05-24,0.0
2021-05-25,0.0018674640215690097
2021-05-26,0.002733873187306557
2021-05-27,0.001042872909672088
2021-05-28,0.002699303758385563
2021-05-31,-0.003828279522869238
2021-06-01,0.0025904135343035595
2021-06-02,0.0029512874011488055
2021-06-03,-0.00038546099295744263
2021-06-04,0.002386036166873051
2021-06-07,-0.0009332178586041184
2021-06-08,0.0012082928667005444
2021-06-09,0.0015353216912605827
2021-06-10,0.0014027220422379028
2021-06-11,0.004609361524580136
2021-06-14,-0.0012891070663333393
2021-06-15,6.130504872925435e-05
2021-06-16,0.0017551813514649073
2021-06-17,0.0049297169423661025
2021-06-18,-0.005175318852075894
2021-06-21,0.0017734686685422218
2021-06-22,0.0029962544380557343
2021-06-23,-0.0015904109675055622
2021-06-24,0.004086518366802849
2021-06-25,-4.861819957391322e-05
2021-06-28,0.0004944629584577864
2021-06-29,0.0028136556732827334
2021-06-30,0.0012345829698148236
2021-07-01,0.0016408058185592989
2021-07-02,0.003924416566202682
2021-07-05,0.000982367796907635
2021-07-06,7.204521346615422e-05
2021-07-07,0.004507339604596927
2021-07-08,-0.007930109034350208
2021-07-09,0.005801605073487037
2021-07-12,0.0024667975098577877
2021-07-13,0.0032275382389912455
2021-07-14,-0.001910223899516894
2021-07-15,-0.0017191268441703045
2021-07-16,-0.001452285663591013
2021-07-19,-0.010283727977183132
2021-07-20,0.007850965866310622
2021-07-21,0.0039256530290796565
2021-07-22,0.0033690930317791246
2021-07-23,0.006495380565356257
2021-07-26,-0.001203294339223504
2021-07-27,-0.004755984174819261
2021-07-28,0.0040410740412613055
2021-07-29,0.0003522926278156646
2021-07-30,-0.002175063597908089
2021-08-02,0.002581511924757862
2021-08-03,-0.0008582320009611344
2021-08-04,0.0027117538303988997
2021-08-05,0.0025789872085493215
2021-08-06,0.0022940704005902646
2021-08-09,0.0008696130648648825
2021-08-10,0.002077860215201177
2021-08-11,-0.00018153085556993354
2021-08-12,0.001289457997670107
2021-08-13,-0.000608155652738418
2021-08-16,-0.0018065875220685257
2021-08-17,0.0014797572374805057
2021-08-18,0.00019533291272422204
2021-08-19,-0.005845136737396728
2021-08-20,0.003903555623576249
2021-08-23,0.0034306273807225285
2021-08-24,0.0007864391737957277
2021-08-25,-0.0011359862581907798
2021-08-26,-0.0027500766138864874
2021-08-27,0.002387587039655248
2021-08-30,0.0029539786240180277
2021-08-31,-0.002381598721121425
2021-09-01,-0.000530387175527669
2021-09-02,0.001731736271662676
2021-09-03,-0.0015218285814060373
2021-09-06,0.0036554223294933408
2021-09-07,-0.004270029506604378
2021-09-08,-0.0015114903688321357
2021-09-09,0.002384095780648021
2021-09-10,-0.003705343870276323
2021-09-13,-0.0006658985529093275
2021-09-14,-0.0003355176066650589
2021-09-15,-0.0022393577871800963
2021-09-16,0.00264586339732098
2021-09-17,-0.0021046845343314358
2021-09-20,-0.009659491037409706
2021-09-21,0.004804762415618891
2021-09-22,0.0029989215071115627
2021-09-23,0.003475744606142417
2021-09-24,-0.0022885623089675677
2021-09-27,0.001040549825963355
2021-09-28,-0.011557901319781627
2021-09-29,0.004948341313687488
2021-09-30,-0.0016756548389272874
2021-10-01,-0.002736884005268281
2021-10-04,-0.0070970155547646074
2021-10-05,0.009245191572636369
2021-10-06,-0.00441075362670873
2021-10-07,0.012576612996592518
2021-10-08,-0.0038313774016250912
2021-10-11,0.0007721510599274506
2021-10-12,-0.004313056389391612
2021-10-13,-0.0008346552866221879
2021-10-14,0.010863322089316618
2021-10-15,0.0040925799405633345
2021-10-18,-0.0005890214050457976
2021-10-19,0.002017890062551597
2021-10-20,0.0021724068384536555
2021-10-21,-0.001465671676916469
2021-10-22,0.0009171596257020465
2021-10-25,0.0043962859469592885
2021-10-26,0.003986257867296006
2021-10-27,-0.0014127324939997576
2021-10-28,-0.0020973628226887975
2021-10-29,0.0033189986327171184
2021-11-01,0.0010858988345217035
2021-11-02,0.0038157432846221973
2021-11-03,0.00016241106339376365
2021-11-04,0.007392221764166873
2021-11-05,0.004277999335148497
2021-11-08,-0.0021910100668456334
2021-11-09,-0.0006161626944206633
2021-11-10,0.0006087549103821477
2021-11-11,5.603420339928e-05
2021-11-12,0.0038543581531067517
2021-11-15,0.0018198092662808918
2021-11-16,0.0048038087390229744
2021-11-17,-0.001116345096988769
2021-11-18,-0.0007152921504020027
2021-11-19,0.0036229122238888856
2021-11-22,0.001414527587692449
2021-11-23,-0.009116285151666181
2021-11-24,0.003989395169160526
2021-11-25,0.0018146083960823844
2021-11-26,-0.017931221941418274
2021-11-29,0.00707254939316071
2021-11-30,-0.007036619184643711
2021-12-01,0.006643895540831224
2021-12-02,-0.009083868550707086
2021-12-03,-0.0011690198407634522
2021-12-06,0.0065849027332156584
2021-12-07,0.015044833591632889
2021-12-08,-0.006497809520865427
2021-12-09,0.0033009300460107305
2021-12-10,-0.002997528958810114
2021-12-13,-0.00012149206362677134
2021-12-14,-0.005806220864437828
2021-12-15,0.0006726387608517737
2021-12-16,0.007104439612153568
2021-12-17,-0.0037170321590781485
2021-12-20,-0.012947845277895609
2021-12-21,0.00852279486236962
2021-12-22,0.004988966081294732
2021-12-23,0.004856849770598526
2021-12-24,0.0
2021-12-27,0.0033443365686200988
2021-12-28,0.003092236568398521
2021-12-29,-0.003553627269151538
2021-12-30,0.0019265295782058267
2021-12-31,0.0
2022-01-03,-0.002451228540171546
2022-01-04,0.0030171865946138077
2022-01-05,-0.0020982181071751427
2022-01-06,-0.009502710449520335
2022-01-07,-0.004074447774734757
2022-01-10,-0.00804730849438895
2022-01-11,0.0061131751563685555
2022-01-12,0.003372073384753982
2022-01-13,-0.0013251006205442506
2022-01-14,-0.008208616366090826
2022-01-17,0.003573319121979779
2022-01-18,-0.006615208315650545
2022-01-19,-0.002654473846002481
2022-01-20,0.005372779497765379
2022-01-21,-0.01193031576842174
2022-01-24,-0.0229346478656971
2022-01-25,0.006452964908728376
2022-01-26,0.009677578683821908
2022-01-27,0.0032005794197214055
2022-01-28,-0.007047496434395839
2022-01-31,0.008993334629548766
2022-02-01,0.0044422225254237
2022-02-02,0.0014216223818026563
2022-02-03,-0.014878985866842886
2022-02-04,-0.008147480436375809
2022-02-07,0.0015865034580824222
2022-02-08,0.0020331083850539944
2022-02-09,0.009473548085630057
2022-02-10,-0.00564014132492574
2022-02-11,-0.0050324121912304065
2022-02-14,-0.004889033747152438
2022-02-15,0.0041900546062214605
2022-02-16,-0.0017158750060439765
2022-02-17,-0.0012403113993885162
2022-02-18,-0.006455388065470302
2022-02-21,-0.006806704820946363
2022-02-22,0.00024152170931102113
2022-02-23,-0.0037119377076636484
2022-02-24,-0.00642414137472358
2022-02-25,0.017073301890378145
2022-02-28,0.005542399415277677
2022-03-01,0.0022296413577158614
2022-03-02,0.0032943978054740253
2022-03-03,-0.0020623686875799185
2022-03-04,-0.0038503178571213104
2022-03-07,-0.005327554992420325
2022-03-08,-0.01266580536087436
2022-03-09,0.006181787499625724
2022-03-10,-0.008470851260449108
2022-03-11,0.007553332436424975
2022-03-14,-0.009168158889271472
2022-03-15,0.007152095999355179
2022-03-16,0.009885536208924073
2022-03-17,0.002495095612368159
2022-03-18,0.009918186234222581
2022-03-21,0.0003468090982090555
2022-03-22,0.006208529842307797
2022-03-23,-0.001281255828517569
2022-03-24,-0.00048261733692711584
2022-03-25,0.001757174106418402
2022-03-28,0.0013721504983377208
2022-03-29,0.0040200866593582685
2022-03-30,-0.003672248583151738
2022-03-31,0.0022519144835371208
2022-04-01,-0.0032184615038653996
2022-04-04,0.0073739412964937134
2022-04-05,-0.001684818115565312
2022-04-06,-0.011352195387308028
2022-04-07,-0.0016890543544011427
2022-04-08,0.006017138197332406
2022-04-11,-0.010162226840005562
2022-04-12,0.002837597147980153
2022-04-13,-0.001849190064052153
2022-04-14,0.0017726417629473357
2022-04-15,0.0
2022-04-18,0.0
2022-04-19,-0.0011904789530298165
2022-04-20,0.0024594144412912744
2022-04-21,-0.001878756137953852
2022-04-22,-0.015188529245916627
2022-04-25,-0.0067586469855260844
2022-04-26,-0.0005974759764345583
2022-04-27,0.004823368118751947
2022-04-28,0.0005969767191260633
2022-04-29,0.00016815803265401996
2022-05-02,-0.01227815032169044
2022-05-03,0.0070912526081194915
2022-05-04,-0.007860255110166525
2022-05-05,0.00041342439454949975
2022-05-06,-0.011809276568494509
2022-05-09,-0.014098786106693906
2022-05-10,-0.0013220663355527629
2022-05-11,0.00881295335382748
2022-05-12,-0.0021461781092904086
2022-05-13,0.012239798877762498
2022-05-16,-0.002931729991840104
2022-05-17,0.0006211699001983373
2022-05-18,-0.007814030235649971
2022-05-19,-0.009390456521649715
2022-05-20,-0.002690118638444816
2022-05-23,0.0045846362838108945
2022-05-24,-0.011730102455731917
2022-05-25,0.010733611014351885
2022-05-26,0.008603852072990748
2022-05-27,0.012211575821499121
2022-05-30,0.0012593221390435616
2022-05-31,-0.007568587345501365
2022-06-01,-0.0020154005881094506
2022-06-02,-0.0002585442952216521
2022-06-03,-0.003084903183678156
2022-06-06,0.004307531290673072
2022-06-07,-0.0008853433270761268
2022-06-08,-0.000802687570906846
2022-06-09,-0.009047424028832629
2022-06-10,-0.020734265109352612
2022-06-13,-0.01940810928563097
2022-06-14,-0.0073679026272577275
2022-06-15,0.00859127933344217
2022-06-16,-0.019120978320225412
2022-06-17,0.001393786110171158
2022-06-20,0.001741499844269967
2022-06-21,0.005999131261813728
2022-06-22,0.0027229618933175548
2022-06-23,0.003837179674587521
2022-06-24,0.01416365665871333
2022-06-27,-0.00029495836978055134
2022-06-28,-0.0029432706180835266
2022-06-29,-0.0018626028693192742
2022-06-30,-0.0033623086670576674
2022-07-01,0.007541271086292989
2022-07-04,0.00013715652056744965
2022-07-05,0.0021044533109517705
2022-07-06,0.01335070437457131
2022-07-07,0.009500631795181347
