Date,AQMIX,QSPIX
2011-01-31,1.0,
2011-02-28,1.0,
2011-03-31,1.0,
2011-04-30,1.0,
2011-05-31,1.0,
2011-06-30,1.0,
2011-07-31,1.0,
2011-08-31,1.0,
2011-09-30,1.0,
2011-10-31,1.0,
2011-11-30,1.0,
2011-12-31,1.0,
2012-01-31,1.0,
2012-02-29,1.0,
2012-03-31,1.0,
2012-04-30,1.0,
2012-05-31,1.0,
2012-06-30,1.0,
2012-07-31,1.0,
2012-08-31,1.0,
2012-09-30,1.0,
2012-10-31,1.0,
2012-11-30,1.0,
2012-12-31,1.0,
2013-01-31,1.0,
2013-02-28,1.0,
2013-03-31,1.0,
2013-04-30,1.0,
2013-05-31,1.0,
2013-06-30,1.0,
2013-07-31,1.0,
2013-08-31,1.0,
2013-09-30,1.0,
2013-10-31,1.0,
2013-11-30,1.0,
2013-12-31,1.0,
2014-01-31,1.0,
2014-02-28,1.0,
2014-03-31,1.0,
2014-04-30,1.0,
2014-05-31,1.0,
2014-06-30,1.0,
2014-07-31,1.0,
2014-08-31,1.0,
2014-09-30,1.0,
2014-10-31,0.4926827500914904,0.5073172499085096
2014-11-30,0.4247632387026724,0.5752367612973277
2014-12-31,0.37920982301280914,0.6207901769871909
2015-01-31,0.3702868647970943,0.6297131352029057
2015-02-28,0.42244844608946275,0.5775515539105374
2015-03-31,0.4307380436864607,0.5692619563135393
2015-04-30,0.4158930560372696,0.5841069439627303
2015-05-31,0.42481304092868755,0.5751869590713125
2015-06-30,0.3837337910333133,0.6162662089666868
2015-07-31,0.3678398652221972,0.6321601347778028
2015-08-31,0.36798358140155024,0.6320164185984497
2015-09-30,0.4040456518940554,0.5959543481059446
2015-10-31,0.3866928945788298,0.6133071054211702
2015-11-30,0.4024280751054623,0.5975719248945377
2015-12-31,0.4626705233760554,0.5373294766239446
2016-01-31,0.4800912223189583,0.5199087776810417
2016-02-29,0.4459438453528569,0.5540561546471431
2016-03-31,0.4498894919945631,0.5501105080054369
2016-04-30,0.45026132175407485,0.549738678245925
2016-05-31,0.43962232876364377,0.5603776712363563
2016-06-30,0.4326813855957305,0.5673186144042696
2016-07-31,0.4339062903607931,0.5660937096392069
2016-08-31,0.44145106104676346,0.5585489389532365
2016-09-30,0.36791401589521006,0.6320859841047899
2016-10-31,0.37052542478937606,0.6294745752106239
2016-11-30,0.34742631912116406,0.6525736808788359
2016-12-31,0.3081553530993243,0.6918446469006757
2017-01-31,0.29531642423823656,0.7046835757617634
2017-02-28,0.32395586895657186,0.6760441310434281
2017-03-31,0.3531590123524828,0.6468409876475173
2017-04-30,0.35196350622387823,0.6480364937761218
2017-05-31,0.3452564317169804,0.6547435682830195
2017-06-30,0.43288535291026914,0.5671146470897308
2017-07-31,0.47263956040583854,0.5273604395941616
2017-08-31,0.4225513430727874,0.5774486569272125
2017-09-30,0.4251909568323718,0.5748090431676283
2017-10-31,0.42692829150613104,0.573071708493869
2017-11-30,0.47039894385216774,0.5296010561478323
2017-12-31,0.468785233518949,0.5312147664810509
2018-01-31,0.42195185978581845,0.5780481402141815
2018-02-28,0.3800810372558818,0.6199189627441182
2018-03-31,0.3534186658951533,0.6465813341048467
2018-04-30,0.3623214093678114,0.6376785906321887
2018-05-31,0.44704327967180835,0.5529567203281915
2018-06-30,0.48077416570004905,0.519225834299951
2018-07-31,0.46186573595314273,0.5381342640468573
2018-08-31,0.43666470928537354,0.5633352907146265
