,date,quarter_date,regime,bloc,Strat,ticker,weight_ticker
0,2021-02-01,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
1,2021-02-01,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
2,2021-02-01,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
3,2021-02-01,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
4,2021-02-01,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
5,2021-02-01,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
6,2021-02-02,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
7,2021-02-02,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
8,2021-02-02,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
9,2021-02-02,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
10,2021-02-02,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
11,2021-02-02,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
12,2021-02-03,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
13,2021-02-03,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
14,2021-02-03,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
15,2021-02-03,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
16,2021-02-03,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
17,2021-02-03,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
18,2021-02-04,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
19,2021-02-04,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
20,2021-02-04,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
21,2021-02-04,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
22,2021-02-04,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
23,2021-02-04,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
24,2021-02-05,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
25,2021-02-05,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
26,2021-02-05,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
27,2021-02-05,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
28,2021-02-05,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
29,2021-02-05,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
30,2021-02-08,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
31,2021-02-08,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
32,2021-02-08,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
33,2021-02-08,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
34,2021-02-08,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
