date,portfolio_return
2021-02-01,0.007757741616363112
2021-02-02,0.014387232161173559
2021-02-03,0.0012384892789154528
2021-02-04,0.005951063247094459
2021-02-05,0.004228857911738302
2021-02-08,0.0023014916503932836
2021-02-09,0.0004987892868875784
2021-02-10,-0.0013857690742508934
2021-02-11,0.0034379203167442807
2021-02-12,0.002136515497056822
2021-02-15,0.004959598714302849
2021-02-16,-0.0016633752682402025
2021-02-17,-0.0032108311047764635
2021-02-18,-0.0028340486053270745
2021-02-19,0.005457493566005807
2021-02-22,-0.005147999180601853
2021-02-23,-0.004838503820811722
2021-02-24,0.008494355421259663
2021-02-25,-0.007383493774239697
2021-02-26,-0.008627422319856946
2021-03-01,0.011905829478972396
2021-03-02,-0.0019006170333354525
2021-03-03,-0.0021999499489071817
2021-03-04,-0.01085004711217986
2021-03-05,-0.004445148494741979
2021-03-08,0.018393406702503168
2021-03-09,0.0038215939918175477
2021-03-10,0.002452573348722399
2021-03-11,0.008121251252884652
2021-03-12,-0.0023577982170036858
2021-03-15,0.003685516326704219
2021-03-16,0.004872170116334776
2021-03-17,-0.004671539556955789
2021-03-18,0.001666655364566838
2021-03-19,-0.004203376114250422
2021-03-22,0.0018094393566281397
2021-03-23,-0.002788588571252495
2021-03-24,-0.0025401149104585926
2021-03-25,-0.0018078867864346037
2021-03-26,0.008075548925850618
2021-03-29,0.0021384471345208267
2021-03-30,0.0037794755364567246
2021-03-31,0.0029186464421575658
2021-04-01,0.00424899106456203
2021-04-02,-3.3213212930760516e-06
2021-04-05,-3.321320919208448e-06
2021-04-06,0.004863834432716707
2021-04-07,-0.004061862889133499
2021-04-08,0.004096625202542451
2021-04-09,0.001199090943493824
2021-04-12,-0.0003505266286499831
2021-04-13,0.0006934495633125945
2021-04-14,0.0015480220935335542
2021-04-15,0.00399769296063973
2021-04-16,0.002312077106696381
2021-04-19,-0.004402273381492489
2021-04-20,-0.00970875198018476
2021-04-21,0.007270065917232481
2021-04-22,0.004607992324067651
2021-04-23,0.0006744838586311142
2021-04-26,0.0014821015410763638
2021-04-27,-0.0004934983870213238
2021-04-28,-0.00011193801413004253
2021-04-29,-0.00109054000366414
2021-04-30,0.0002502259346998841
2021-05-03,0.0019474488961194747
2021-05-04,-0.007134880441865721
2021-05-05,0.008948898835253526
2021-05-06,-0.003450291209897305
2021-05-07,0.00597724703924739
2021-05-10,-0.0008356309813946916
2021-05-11,-0.012333362230384778
