date,RegimeScore,regime,q_low_roll,q_high_roll,vol_63,corr_eq_bond_63,mom_63
2021-01-01 00:00:00,-0.8712517273433427,Neutre,-1.718780878939776,0.6232056307841048,0.1129125967724011,-0.06911207344891095,0.06204473596740856
2021-01-04 00:00:00,-0.8385845088755244,Neutre,-1.7131802290105052,0.5611895433490691,0.1135463255249234,-0.07626003131629999,0.05532001193187752
2021-01-05 00:00:00,-0.7929643555708091,Neutre,-1.7088499565720812,0.5396866424457254,0.11299440530555996,-0.09956366594344149,0.05128195805878799
2021-01-06 00:00:00,-0.8845856227577062,Neutre,-1.7051548728790813,0.5384403348082281,0.11400705358264403,-0.1224883374007236,0.05680548791891793
2021-01-07 00:00:00,-1.0709734712622638,Neutre,-1.7014597891860817,0.5371940271707306,0.11259984806207449,-0.14999602845013738,0.051607294747525234
2021-01-08 00:00:00,-1.1815179494113892,Neutre,-1.6978461908700373,0.5282770744752556,0.11286577467689199,-0.14524064405476325,0.05443591611487375
2021-01-11 00:00:00,-1.1855798653747094,Neutre,-1.6943955633079042,0.5040188316638325,0.11267865380163126,-0.1462371047263548,0.05945491450274454
2021-01-12 00:00:00,-1.253531252402648,Neutre,-1.6909449357457709,0.47976058885240724,0.1112914203656753,-0.1289152344409194,0.0664238933947705
2021-01-13 00:00:00,-1.2521358255414499,Neutre,-1.6874943081836378,0.45550234604098416,0.1105982305432744,-0.13424081866515755,0.06165317300250184
2021-01-14 00:00:00,-1.2336968522669602,Neutre,-1.6868952283705883,0.4223259996547416,0.1093819238920134,-0.1531448563383946,0.07323093399125269
2021-01-15 00:00:00,-1.4943545544375672,Neutre,-1.6862961485575385,0.3891496532684991,0.10798075549136421,-0.18143456991128598,0.0785393972151549
2021-01-18 00:00:00,-1.7361110117222551,Neutre,-1.6886445173710156,0.3559733068822597,0.10763380771229351,-0.1854030424412667,0.08144115026718324
2021-01-19 00:00:00,-1.7981559001259226,Neutre,-1.6966959816826594,0.3390171857539018,0.10766855886347633,-0.19030208763423476,0.08092201281694256
2021-01-20 00:00:00,-1.8193825250158995,Neutre,-1.7051548728790813,0.3301711772544858,0.10901977747973265,-0.18912661327797883,0.08833043955800557
2021-01-21 00:00:00,-1.8865785198464788,Neutre,-1.715047112320262,0.321325168755069,0.10564924953292784,-0.16149848697865002,0.10067371493509447
2021-01-22 00:00:00,-1.9111667183937442,Neutre,-1.7281152954885612,0.31362740497150987,0.1065378759734797,-0.1553240395687446,0.09405611809254588
2021-01-25 00:00:00,-1.788991112805991,Neutre,-1.7336594785526804,0.30822613061966603,0.09989113104440496,-0.17762866562546203,0.1134656973835666
2021-01-26 00:00:00,-2.218602158273683,Risk-on,-1.7397218334621618,0.3028248562678217,0.09953025846471933,-0.191938625131386,0.10992207386031105
2021-01-27 00:00:00,-2.261813109860954,Risk-on,-1.7481470841886106,0.29742358191597784,0.10040552208099292,-0.21985901039011385,0.10754982642333477
2021-01-28 00:00:00,-2.3831706598894353,Risk-on,-1.7620963947499333,0.2833215627887281,0.09811482366974024,-0.2611274356922144,0.09585218401521223
2021-01-29 00:00:00,-2.5036729126580823,Risk-on,-1.7715751347308157,0.26921954366147843,0.10157712639431747,-0.2314988308441879,0.06495452069406848
2021-02-01 00:00:00,-1.928796593079344,Risk-on,-1.7780423589734737,0.25511752453423003,0.09724246258495783,-0.2866066347833897,0.05632237991577571
2021-02-02 00:00:00,-2.1880111412548313,Risk-on,-1.7865580563987649,0.2502496622386795,0.10161972979974526,-0.31217621787330274,0.06791250109765956
2021-02-03 00:00:00,-2.420576662501438,Risk-on,-1.7935735064659568,0.24999887835897794,0.10113564956200292,-0.3216578055717648,0.07248848374839056
2021-02-04 00:00:00,-2.529691919035617,Risk-on,-1.7994095054793489,0.24974809447927637,0.08953990178208861,-0.09438356249451012,0.053544808116215536
2021-02-05 00:00:00,-1.1300127264646884,Risk-on,-1.7972394213939296,0.24544369891587997,0.08656100480938399,-0.11925061435675341,0.06761145161905402
2021-02-08 00:00:00,-1.4723125479530954,Risk-on,-1.79448998519795,0.2330320799850974,0.0845416356796968,-0.1565765877053321,0.05970005216589369
2021-02-09 00:00:00,-1.6154561990823488,Risk-on,-1.7917405490019704,0.22062046105431368,0.08352626285550978,-0.13868857735199455,0.06548071687811041
