bloc,ticker,strategie,devise,expense_pct,aum_usd_m,vol_calib,sharpe_calib,sortino_calib,alpha_annual,beta_core,corr_core_calib,drawdown_calib,skew_calib,kurtosis_calib,n_obs_calib,stale_ratio_calib,dd_covid,ret_rel_covid
Bloc1,LVO NA Equity,Spécialisé,Euro,0.6,204.182,0.4085509720793284,-0.6641795517048615,-0.9114560957711696,0.1090799620401951,-4.277848701380573,-0.5003450141521191,-0.3883210684110112,0.6174852841854102,12.532533045319882,262,,,
Bloc1,UIATHNA GR Equity,Dérivés,Euro,1.23,66.099,0.03012167922257699,1.950371393362592,2.194890683008787,0.041852099457679384,0.18999516140442183,0.3014072995384197,-0.019653358093469575,2.8838452957894094,65.20904605641155,262,,,
Bloc2,SCHCTEA LX Equity,Equity Hedge,Euro,2.45,719.899,0.09536552859490924,4.102251866942902,7.3699351427251845,0.3473517204502849,0.4932132871799584,0.2471347132179355,-0.06933279742765264,0.4526280344004215,1.3228326202227496,262,,,
Bloc2,REYLSEB LX Equity,Equity Hedge,Euro,2.64,210.373,0.04825054967099577,3.7532918109021085,6.823730787564097,0.19664057955477118,-0.17476781386865833,-0.17308107854233024,-0.015790728161125034,0.2562913849857778,0.44797871221893093,262,,,
Bloc2,MEDMORL ID Equity,Equity Hedge,Euro,3.39,4764.176,0.0739410430892834,2.473612141894737,2.4804064272658204,0.17280683106589698,0.11351147814502685,0.07335751488634756,-0.05962252230908993,-2.6026415820825064,23.6616740348432,262,,,
Bloc3,BNPAOPP LX Equity,Titres adossés à des actifs,Euro,0.66,427.14,0.005379069946123498,16.737973256997307,16.831167158814385,0.09022914201519139,-0.0021861244492246026,-0.01942039656451315,-0.0016404295581968764,1.373182299812985,5.373261505403526,262,,,
Bloc3,BNPAAAP LX Equity,Titres adossés à des actifs,Euro,0.29,872.426,0.002049498640726342,22.92523865161171,53.16854714491762,0.047089804351249445,-0.0011757373797351364,-0.02741278092721523,-0.0001454598349034386,1.000565342706014,1.34093569177797,262,,,
