Date,LVO NA Equity,UIATHNA GR Equity,SCHCTEA LX Equity,REYLSEB LX Equity,MEDMORL ID Equity,BNPAOPP LX Equity,BNPAAAP LX Equity
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.031105990783410142,0.0017900295354873474,0.0044077576534700125,0.009992805180270237,0.001749920458161025,0.001203841092975777,0.00024317410293073216
2021-01-05,0.008227526663280749,0.0002680246582684731,0.007659778185590049,0.0022953933829348294,-0.004525964745116573,0.00034953302388007756,0.00024311498366258455
2021-01-06,-0.04825710255893623,-0.003483386923901377,0.0007918283316177277,-0.006870409855484372,0.0,-0.0008595507973556682,-0.00014583353587982462
2021-01-07,0.0069863448713878284,-0.00017925965761400597,0.003402167893029384,0.004373409669211181,0.0015952779771875036,-0.00022381535233428895,0.00011668384512164565
2021-01-08,-0.0031535793125196943,0.000806813088301217,0.007727487777952957,0.00039585147652587693,0.008919327864935989,-3.497897763438118e-05,-7.778015439352526e-05
2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.022355794579774324,0.001074883554281758,-0.00391236306729259,-0.0007122507122507837,0.007893282816323177,0.001448180329933324,0.00025280516500392203
2021-01-12,0.010624033006704448,-0.0009842519685039353,0.009347996857816288,0.0030886196246138198,-0.0018795520400971544,-0.00019560585420375087,0.0
2021-01-13,-0.005001020616452245,-0.0003582624272280288,-0.007082263211144912,0.002684351807989982,7.846214201667756e-05,0.0007965510735969961,3.888327241607925e-05
2021-01-14,-0.0070776489896400285,-0.0002687931188961601,0.00971939175419334,0.0023622047244094,0.0029028714890946272,0.0020596100006284868,0.00016524748240609455
2021-01-15,0.03347107438016517,0.0009858397562287902,-0.012886197795373366,-0.005184603299292934,0.004928420558554469,0.0008430528266656356,0.00027212735560233625
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.003998400639744215,-0.0002686005909212641,0.0,0.0013423878711307236,-0.007628833878250085,0.0005499592751676552,4.858095043758226e-05
2021-01-19,-0.002787733970529671,-8.955758552742221e-05,0.02422145328719738,-0.0020503114896301966,-0.0007844367743959912,-3.478841684867451e-05,9.715718088720848e-06
2021-01-20,0.004592651757188371,-0.001164352888490927,0.009904791154791148,0.0008692216515211459,0.001570105197048255,-5.5663403399575095e-05,-9.71562369445067e-06
2021-01-21,-0.0023852116875371365,0.00017934002869446353,-0.007450771687067537,0.005131849044686554,0.011051889010816662,-0.00013220794221824317,0.0
2021-01-22,0.004981071926678515,0.00035861574323114986,0.003523554193795242,-0.00039274212552031784,0.001162880843476266,4.871462969924245e-05,-8.744146279848763e-05
2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.02498017446471068,0.00017924359204157803,-0.0029768719945041378,0.0013358478705014498,-0.0028651076351245974,0.0006680538061669683,0.00010688224491572917
2021-01-26,-0.010831721470019318,0.0002688172043010528,-0.017761445414178456,-0.0030605038060111944,0.0040382076570628644,0.0003338039041147489,5.829317581218518e-05
2021-01-27,0.06550645287446222,0.0031353578787065572,-0.03203429462197982,-0.0021253148614610584,-0.005955603681645938,0.0012096353714068364,6.800474090207231e-05
2021-01-28,-0.0005505597357313707,-0.002053938203250616,0.006361220710202176,0.0006310641318922894,-0.01408341114223477,0.00034717641422310486,-2.914290710209766e-05
2021-01-29,0.03158281307381583,0.010201342281879189,-0.007121139382301189,0.0065431612140323114,0.0007102833241259265,0.0011661079066278557,-7.771668382927643e-05
2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.011213955144179444,-0.00478341748604838,0.011362720606011845,0.0024279448621553623,-0.008359621451104138,6.933033826284074e-05,9.715340522742366e-06
2021-02-02,-0.05984861820102094,-0.0024032042723630687,0.013625498007967973,-0.002500195327759913,0.013997136949260414,-9.012319147028158e-05,-9.71524613579966e-06
2021-02-03,-0.03913124882980723,0.0002676659528908498,0.0032230170584075513,0.002898096655439719,0.020156862745098092,0.0008111818295271078,0.00015544544836298968
2021-02-04,-0.03653546375681993,-0.0024975470520025578,0.0107349945149664,-0.0023430178069353547,0.006073652648573846,-6.927558520497534e-06,0.0
2021-02-05,-0.01476387905753862,-0.0002682643297863274,-0.0002325761686952088,-0.002974792547361771,0.003209536909674515,0.00024939383443012275,-7.771064441541853e-05
2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0070820075951965045,-0.0006261180679785205,0.008839950372208305,-7.851758793975261e-05,0.005332114564290169,-4.848115468258918e-05,-4.857292739335328e-05
2021-02-09,0.0010191602119853371,8.950147677433407e-05,0.01906225980015397,0.0010993325480959104,0.007501136535838837,0.0006441379979083006,9.715057367420954e-05
2021-02-10,0.016493585827733748,-0.00017898693395379528,0.0008296877357065746,-7.84375245116431e-05,0.0017297134692035865,0.0004360706572898998,0.0
2021-02-11,0.0030048076923077094,8.950948800579006e-05,0.01823799834200024,0.00415751490429872,0.007732732732732783,0.000588092849483024,4.857056817852978e-05
2021-02-12,0.005192730177751237,-0.001253020674841121,0.0013322477980903802,-0.0010155456604952207,0.004395440661550953,4.840271055184253e-05,0.0
2021-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,-0.02582952513411496,-0.00026884129402282575,0.0,-0.0013293712855801942,0.002966918854769407,-0.00022125882442414202,-0.00010685006022470578
2021-02-16,0.016826432796247293,-0.0006274650412334548,-0.0011087293961120626,0.0007047216349542751,0.006729773702115027,0.0001521491061240443,-5.828807911634204e-05
2021-02-17,0.035803831110219564,0.0003587765718899849,-0.012505549800207127,-0.002034428794992049,0.002571071769631894,-0.00021435930768864964,9.71524613579966e-06
2021-02-18,-0.0131680867544538,0.0002689859230700087,-0.007868115399025766,0.00047044064607182356,-0.0033704572098475216,8.29955874013244e-05,0.0
2021-02-19,-0.025804552590266816,0.0013445679455001969,0.008610271903323197,0.00031347962382444194,-0.01191001323334806,-3.457862487721286e-05,-4.8575758753277576e-05
2021-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.006949340316245278,0.0022379375167844717,-0.011681893065748072,-0.004779066123472231,0.002827380952380887,0.0006708485196378344,3.886249477780268e-05
2021-02-23,0.011002200440088039,0.0012504465880671667,-0.004394605243218552,-0.006612611194206086,-0.014468021961715372,0.00023498514064557163,-2.9145738407287958e-05
2021-02-24,-0.02127028096557182,-0.0027653880463870406,0.003500761035007738,0.0014264204770584321,-0.016562523526311712,0.0007738868466873328,0.00010687082232241352
2021-02-25,-0.027292024663903902,-0.0016996153502103484,-0.007735477021083015,0.0026905119886047046,0.004057260966087384,-0.0002278439062111115,-0.00019428982212765789
2021-02-26,0.03709861789462754,0.007885304659498216,0.021323754203607326,-0.0006313629547786137,-0.007243061909118498,0.0019543793982168545,-4.8581894499521994e-05
2021-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
