Date,XDWD GY Equity_weight,EUNH GY Equity_weight,XBLC GY Equity_weight
2021-02-22,0.5555555555555556,0.24685043125744716,0.1975940131869973
2021-05-20,0.5555555555555556,0.19811735063766778,0.24632709380677667
2021-08-17,0.5555555555555556,0.18735817333361277,0.2570862711108317
2021-11-12,0.5555555555555556,0.17907149752578527,0.26537294691865915
2022-02-09,0.5555555555555556,0.1877007142455661,0.2567437301988783
2022-05-09,0.5555555555555556,0.18344021997964122,0.26100422446480326
2022-08-04,0.5555555555555555,0.18805436009431512,0.25639008435012944
2022-11-01,0.3,0.30454978231553964,0.3954502176844603
2023-01-27,0.30000000000000004,0.30556311079654813,0.39443688920345193
2023-04-26,0.3,0.3049218550902068,0.39507814490979326
2023-07-24,0.5555555555555556,0.19207043445554198,0.25237400998890247
2023-10-19,0.5555555555555556,0.18700945423701687,0.2574349902074276
2024-01-16,0.5555555555555555,0.1822948779463954,0.26214956649804905
2024-04-12,0.5555555555555556,0.18112020793926412,0.26332423650518033
2024-07-10,0.5555555555555555,0.17725310293963048,0.26719134150481394
2024-10-07,0.5555555555555556,0.18161208900241055,0.2628323554420339
2025-01-02,0.5555555555555556,0.18447522185507234,0.2599692225893721
2025-04-01,0.5555555555555556,0.18327733780257294,0.26116710664187154
2025-06-27,0.5555555555555556,0.1900915237954212,0.2543529206490232
2025-09-24,0.5555555555555555,0.18896495487330556,0.255479489571139
