,alpha_daily
2021-01-01,0.0
2021-01-04,1.860584892663004e-05
2021-01-05,0.003286874624854392
2021-01-06,0.002160987702556279
2021-01-07,0.007813503502675175
2021-01-08,0.003496400653260142
2021-01-11,6.668435348745597e-06
2021-01-12,0.0013218569089591898
2021-01-13,-0.002205301795969217
2021-01-14,0.0013161269870009286
2021-01-15,-0.0021711107080942577
2021-01-18,1.0106583396887095e-05
2021-01-19,0.0011473495195818686
2021-01-20,0.0031902993641620496
2021-01-21,-0.00014269924890340912
2021-01-22,0.002381967750859255
2021-01-25,-1.8763860656217887e-05
2021-01-26,-0.003918017078565732
2021-01-27,-0.007832140474173178
2021-01-28,0.0033102281779589025
2021-01-29,-0.0025964040489761075
2021-02-01,-5.538777787121732e-05
2021-02-02,0.008879440515214582
2021-02-03,0.0024309776973097173
2021-02-04,0.0014445288553690831
2021-02-05,-0.0008102918282871709
2021-02-08,-1.9904079798783762e-05
2021-02-09,0.0042641171444025745
2021-02-10,-0.0003718887512765933
2021-02-11,0.0040135866000332015
2021-02-12,0.00020352859593191397
2021-02-15,-2.0911569866534275e-05
2021-02-16,0.0013262566543627793
2021-02-17,-0.003626918048483493
2021-02-18,-0.0031817413881766806
2021-02-19,0.0033155904859515227
2021-02-22,2.9030441006886047e-05
2021-02-23,-0.002948423566012738
2021-02-24,-0.001341415080053976
2021-02-25,-0.0037846576569475388
2021-02-26,0.0026842943586598716
2021-03-01,-0.00011986217434631648
2021-03-02,-0.006372849651240291
2021-03-03,-0.004146548538792496
2021-03-04,-0.010507630403564002
2021-03-05,-0.0007914928509086566
2021-03-08,-0.00012521041809288424
2021-03-09,0.006818711637432951
2021-03-10,0.00027787685414618876
2021-03-11,0.010072318007351208
2021-03-12,0.004787471595262071
2021-03-15,-3.8046546554118825e-05
2021-03-16,-0.0016913481567181973
2021-03-17,0.0017764345853612195
2021-03-18,-0.0037213414426235194
2021-03-19,-0.0018884209308886219
2021-03-22,-2.0804323663012332e-05
2021-03-23,-0.00746408266424913
2021-03-24,-0.006423926396848769
2021-03-25,0.0036305319216051323
2021-03-26,0.012291834864397765
2021-03-29,-2.2808268752023066e-06
2021-03-30,0.0017546573753413276
2021-03-31,0.003735501238977826
2021-04-01,0.0030271774898398664
2021-04-02,0.0
2021-04-05,0.0
2021-04-06,-2.1233393700988116e-05
2021-04-07,0.0003956338067251783
2021-04-08,0.002516978049565028
