ticker,Strat,beta,beta_stress,beta_bloc1,corr,return_stress,skewness,maxdd_abs,alpha,sharpe,sortino,vol,ret_ann,kurtosis,n_obs_is,dd_covid,ret_rel_covid,score_custom,rank_in_bloc
LVO NA Equity,STRAT1,-4.277848701380573,-11.164416125093307,-11.164416125093307,-0.5003450141521191,47.87352418683262,0.6174852841854102,0.3883210684110112,0.1090799620401951,-0.6641795517048615,-0.9114560957711696,0.4085509720793284,-0.27135120148423375,12.532533045319882,262,,,0.34073397603396327,1
UIATHNA GR Equity,STRAT1,0.18999516140442183,0.5570220487982411,0.5570220487982411,0.3014072995384197,-0.1338172677922831,2.8838452957894094,0.019653358093469575,0.041852099457679384,1.950371393362592,2.194890683008787,0.03012167922257699,0.05874846147575852,65.20904605641155,262,,,0.3167945271891167,2
DWMAEIA ID Equity,STRAT1,0.41904562614313445,0.6260514470945604,0.6260514470945604,0.22546987043612113,-0.2876998256229185,-0.719901651038698,0.10077742585660854,0.04440717023889969,0.9196357514940953,1.130692174359464,0.08881027215827636,0.08167310137667161,2.953318251077226,262,,,0.13181288899243435,3
ALLVOSI LX Equity,STRAT1,0.10129462686282585,0.599381902812821,0.599381902812821,0.1325400845205487,-0.03912433917089686,-5.01821924583492,0.03661910308677885,0.007797135429995619,0.4601687350613155,0.33159407917222,0.03651989918752913,0.016805315813692046,41.04586288025679,262,,,0.07731467401550035,4
FINVPRI GR Equity,STRAT1,0.3799882294860453,1.114173664842473,1.114173664842473,0.4043687949525895,-0.29964720676059253,-1.9767604845178743,0.03736959124337247,0.026582768398739194,1.3445483755308898,1.14514302787791,0.0449037813539769,0.060375306274683904,18.006997274063195,262,,,-0.06633229842398326,5
SCGBCAE LX Equity,STRAT1,0.719622833663187,1.7452485586408575,1.7452485586408575,0.2865286575967234,-0.5080592413993033,-0.3783728404001186,0.20236463331048626,-0.13157964784470588,-0.5631339771009684,-0.8086761458866291,0.12001271872526424,-0.06758323959845791,0.38021343888636405,262,,,-0.10650118992507467,6
LUPVORP GR Equity,STRAT1,0.5592892380264298,1.4876859978734678,1.4876859978734678,0.49034131229899647,-0.41145427646730304,-2.0894751812418613,0.0546157930668284,-0.002545519420946718,0.8658510131875897,0.7593719092176932,0.0545040007392185,0.04719234426282948,16.653112211538556,262,,,-0.19731028702064057,7
LYEGTIE ID Equity,STRAT1,0.6566956932768425,1.7678884028345008,1.7678884028345008,0.32528773119250093,-0.4880393181145408,-3.4441232796443466,0.11724049534626912,-0.0024125749380497635,0.5803709645244832,0.5033249841562746,0.09646880281929367,0.05598769213875565,25.43431159357761,262,,,-0.20497296599038894,8
CAWCOEC LX Equity,STRAT1,1.2905008104322615,1.9741840194061826,1.9741840194061826,0.5905851506026665,-0.7284100105531929,-0.5712891643547443,0.08536291510115945,-0.010695089925241638,0.9966862097936303,1.2810968714857498,0.1044157861815126,0.10406977417187391,4.3719098712644495,262,,,-0.2915393248709271,9
SCHCTEA LX Equity,STRAT2,0.4932132871799584,0.024527858869755913,0.024527858869755913,0.2471347132179355,0.029616890557960796,0.4526280344004215,0.06933279742765264,0.3473517204502849,4.102251866942902,7.3699351427251845,0.09536552859490924,0.39121341772046314,1.3228326202227496,262,,,2.435058854332832,1
REYLSEB LX Equity,STRAT2,-0.17476781386865833,0.1557594823529542,0.1557594823529542,-0.17308107854233024,0.4732038991727401,0.2562913849857778,0.015790728161125034,0.19664057955477118,3.7532918109021085,6.823730787564097,0.04825054967099577,0.18109839295167385,0.44797871221893093,262,,,1.9741914759788406,2
MEDMORL ID Equity,STRAT2,0.11351147814502685,0.5183516488634862,0.5183516488634862,0.07335751488634756,0.10347604512993569,-2.6026415820825064,0.05962252230908993,0.17280683106589698,2.473612141894737,2.4804064272658204,0.0739410430892834,0.18290146197001333,23.6616740348432,262,,,0.9713823586139485,3
HFHPERC LX Equity,STRAT2,0.0773081040875137,0.21991892203561428,0.21991892203561428,0.2657085330596743,-0.05151279600622283,-1.149695847309084,0.010484030968351599,0.04553826939334495,3.7699163774034217,3.9228160292386423,0.013903044896773081,0.0524133166521199,5.522668403407341,262,,,0.9046959562937136,4
EXCRISA LX Equity,STRAT2,0.0882288021524352,-0.06446165815733354,-0.06446165815733354,0.18376957521997375,-0.051832476029080254,0.6286511800504966,0.009504642669594832,0.054349860986286046,2.7110399420328872,5.44170995662113,0.02294178343365109,0.062196091230096506,1.3910566845298833,262,,,0.902486648182721,5
CBMREAB SM Equity,STRAT2,0.1310971101852786,0.14331408720493444,0.14331408720493444,0.48352847956285844,-0.07068368460589847,0.28859569311091177,0.006164208927349701,0.033520247740961476,3.4871691241765443,5.629824172888417,0.012955717327747824,0.04517877744688126,1.9960890875136235,262,,,0.8775100343479568,6
CHDYCLA ID Equity,STRAT2,0.13508774077824462,0.5237937308072969,0.5237937308072969,0.10667438949646792,0.04549219525601722,-0.36380340517616616,0.0481103274028849,0.12855672754980876,2.3229877471928186,2.873195950342315,0.060512650634162335,0.14057014597331885,5.338367466096505,262,,,0.8108164305243886,7
VALRERF SM Equity,STRAT2,0.1849420462172054,0.037926781543234665,0.037926781543234665,0.6516553279724053,-0.15661241605321863,-0.10882595602070289,0.005400839915054578,0.028653733285924576,3.325640928195155,5.962802400783308,0.01356151198791198,0.045100719315209314,-0.29239536015745804,262,,,0.7790488418206093,8
EFEODAE LX Equity,STRAT2,0.2559157718450352,-0.27831647511547325,-0.27831647511547325,0.2516207811835902,-0.19279606634957636,0.3872303633589589,0.03338641458027014,0.08755036392282202,2.2697096508980317,4.27122291185465,0.048600523777605174,0.11030907785672972,0.7977580828486586,262,,,0.7351341072400437,9
PDAIEUR LX Equity,STRAT2,0.23820345172190513,0.6884657514656634,0.6884657514656634,0.31664684018434175,-0.08922714413080512,-0.5857356840619803,0.031011650322688822,0.07788196426712582,2.7558729789495753,3.6908867664174223,0.03594705333778645,0.09906551296646482,2.737703335761868,262,,,0.7323078231155403,10
MOTSECS LX Equity,STRAT2,0.8361158936751191,1.3093700936411459,1.3093700936411459,0.6362853642306279,-0.4651487095596484,-0.8140604785515255,0.04267838471368912,0.1159018133517479,3.0299676479220214,3.5939745932270073,0.06279209157784256,0.19025800602621978,3.4161688058030872,262,,,0.7262009220821305,11
CARPPFE LX Equity,STRAT2,0.4846127883077479,0.1796360092019174,0.1796360092019174,0.30624800777632866,-0.2664523182224521,-0.2726118597958741,0.052048354600403024,0.12907286321288958,2.2769041853805376,3.245994899471737,0.07561570444862535,0.1721697139395728,2.2172026377516065,262,,,0.7137136869169662,12
HELIUMF LX Equity,STRAT2,0.050692618903133445,0.14093144843355193,0.14093144843355193,0.22704105752102133,-0.042226180835580274,-1.1289060176707786,0.009559604762740204,0.030289346260164027,3.2614962315236813,3.2241027659347403,0.010669172373493388,0.03479746548962526,8.320541250183242,262,,,0.6869233052993059,13
SGEGEAA LX Equity,STRAT2,0.906082008972408,1.382363344818367,1.382363344818367,0.5521178312708532,-0.525230422089847,-0.33768207929349214,0.044590189382179624,0.11103195862426786,2.4433891958033627,3.4722883893108802,0.07841987361497392,0.19161027192709246,1.3151261427051013,262,,,0.5737829668613247,14
R4PEGAS SM Equity,STRAT2,0.14490605949500132,-0.023036196815306307,-0.023036196815306307,0.39649310095270424,-0.11708758758225846,-0.12798838019875905,0.009874870673915126,0.032617775221294436,2.605622633735227,4.21038456877987,0.017463903218231838,0.04550434149878635,0.6113979534940377,262,,,0.5713807215263907,15
LGSSA3E ID Equity,STRAT2,0.8720908294334802,1.4525738741805467,1.4525738741805467,0.4908224992231446,-0.5215869611894806,-0.5051862571093918,0.05263157894736892,0.10340505320596936,2.1313568089284742,2.914365332087453,0.084903904235454,0.18096051439684602,2.4375700810051733,262,,,0.43098217314788057,16
FONFIGE SM Equity,STRAT2,0.18150607924275533,0.47114928644920706,0.47114928644920706,0.49342738281788934,-0.14400106627289533,-1.3655330201938383,0.018604334487063,0.03177636766048581,2.7260791460675904,2.320728138575367,0.01757754962705159,0.047917791477273486,22.017862244356948,262,,,0.34615069032666557,17
CHAGCLA ID Equity,STRAT2,0.05514862300053162,0.6307345801979004,0.6307345801979004,0.041626636309129,0.054357063345602086,-0.9464573045813536,0.04707668944570975,0.08476704551628862,1.4164471737206712,1.6700210046869084,0.06330729519524417,0.08967143935520383,7.277164058218011,262,,,0.3341499895997019,18
DMIURIE LX Equity,STRAT2,0.1078773933798552,0.2310105322976645,0.2310105322976645,0.2577096658019245,-0.04343907679474124,-0.3313114428076825,0.01123672490578953,0.028998412241807513,1.9293328528694875,2.771181002887773,0.020002769969362278,0.03859200125028184,0.8978601115417542,262,,,0.32269702055379446,19
CARTMTE LX Equity,STRAT2,-0.06591777112303242,0.3506492969080774,0.3506492969080774,-0.039630855007786334,0.13821787835496835,0.05628824802988711,0.04905571424609656,0.08759334768214186,1.0283208831246051,1.6421743758771388,0.07948029609187823,0.08173124826820533,0.3341892871157355,262,,,0.2625401435015356,20
ELEARER LX Equity,STRAT2,0.4620330331857066,0.8090677651506962,0.8090677651506962,0.5457200885158072,-0.26706512024891016,-0.27491310723353446,0.018055915091897634,0.04056412106013395,2.0182657652270066,3.033925818805909,0.04045698272230957,0.0816529431928179,0.5967151639430774,262,,,0.23445892793297302,21
HFHSELA LX Equity,STRAT2,0.13326585942007874,0.3891251782547189,0.3891251782547189,0.2856779145622583,-0.11685849750832056,-1.5376092361840377,0.011657524269387376,0.030678139715502373,1.907910581025971,1.9327304310036775,0.022291158593894595,0.042529537344619506,8.22621508978558,262,,,0.21774678345034476,22
TFREEUA ID Equity,STRAT2,0.009347447241113258,0.1548104204097448,0.1548104204097448,0.01657324307236883,0.02317865441051592,0.3015709949964413,0.018463810930575697,0.030464947584793324,1.161223905085978,2.1436617927843717,0.02695106471076576,0.03129622060966031,0.6464494919429464,262,,,0.20024966524621884,23
PAMEHIC LX Equity,STRAT2,0.5195432111083115,0.7194675437216892,0.7194675437216892,0.6287610263940191,-0.4156959741888857,-0.6619647007797513,0.02884609865514942,0.038232609897554844,2.138456224927688,2.667097424455194,0.039484483765224475,0.08443584009580052,2.533908767562237,262,,,0.17381884024782887,24
BTAMNR1 LX Equity,STRAT2,-0.20272456275181658,-0.05743843171432713,-0.05743843171432713,-0.15827146516104593,0.32528971402143125,0.32988612352255925,0.05365616255018868,0.06525154848021295,0.7715442548637346,1.2141417134480053,0.06120602197176608,0.047223154615379626,2.5346029312219054,262,,,0.16858270097549966,25
BPAIELI LX Equity,STRAT2,0.0682930163959145,-0.03392503301486477,-0.03392503301486477,0.12220899746061982,-0.04737127189582602,0.20101526861998903,0.0161604903872945,0.021752490249113646,1.0420402031047198,1.7351925845565095,0.02670321288597114,0.02782582137924594,1.3111016992391509,262,,,0.04656706898374165,26
