,core_ret,sat_pocket_ret,portfolio_ret
2021-01-01,0.0,0.0,0.0
2021-01-04,-0.0033181018704786,0.004132896143789201,-0.0030627670687872594
2021-01-05,0.0019198708955763,0.0012843425485723238,0.0018976174033731353
2021-01-06,0.0061348843235538,-0.00263192334921621,0.005833070915420017
2021-01-07,0.0046216114036168,0.00189507494600425,0.004528473142339769
2021-01-08,0.0038241017171547,0.00248939741771283,0.0037789512864875555
2021-01-11,0.0008736027985982,0.0007296176699000415,0.0008688412264114937
2021-01-12,-0.0020297415467834,0.0018230711482805347,-0.0018981218942375326
2021-01-13,0.0031024980956937,-0.00030678409573932597,0.002985900513863675
2021-01-14,0.0026260365477803,0.002561344714780587,0.0026243121015466814
2021-01-15,-0.0031760168726486,-0.0021864604391728347,-0.003142708550797253
2021-01-18,-0.0008107491055101,-0.0006251698107082966,-0.00080451684021361
2021-01-19,-0.0005161833428786,0.0028157671985310287,-0.0004020801402998661
2021-01-20,0.0073066153700684,0.0017446231631199406,0.007116313673295022
2021-01-21,-0.0012852071499109,0.0017381474552001664,-0.0011818885410047326
2021-01-22,-0.0039630149219661,0.0006351340252119464,-0.0038059345931873772
2021-01-25,0.0010215845663823,-0.00023105145889159036,0.0009786297575218336
2021-01-26,0.0019576463374315,-0.002884801160364987,0.0017917286868766478
2021-01-27,-0.0072073063049883,-0.0050957510471101725,-0.0071361944254657314
2021-01-28,0.0010168912692736,-0.0011168920562372783,0.0009438745005919014
2021-01-29,-0.0118729468643382,0.002673640233110718,-0.011376516168636944
2021-02-01,0.0071440880513644,0.0004917623439918533,0.0069139000347213046
2021-02-02,0.0115499377411201,0.002367916046173592,0.011234237474187957
2021-02-03,0.0003943228577214,0.0038496067466276002,0.0005128134712001274
2021-02-04,0.0049444869713779,0.0011579061438474277,0.004815206499748247
2021-02-05,0.001849306229201,-0.0005138461297572255,0.0017687340270025498
2021-02-08,0.0022729210749599,0.0019166880359502948,0.00226139321857645
2021-02-09,-0.0003726305991875,0.0042043579672233124,-0.0002158996801261809
2021-02-10,-0.0020572623368461,0.0004299847577780475,-0.001972358289364899
2021-02-11,0.0031414079998428,0.004973758108781076,0.0032044463571373498
2021-02-12,0.0007877310356356,0.0003753876537495501,0.0007736149072286914
