,core,satellite
2021-01-01,0.0,0.0
2021-01-04,-0.0014856273774242633,0.0
2021-01-05,0.0008506153953797745,0.0032975276471274074
2021-01-06,0.0032079170060922675,0.0022011633348120617
2021-01-07,0.0028709344541931756,0.007849458799100572
2021-01-08,0.002656995250894547,0.0035296765964664576
2021-01-11,-0.0005324567644156686,0.0
2021-01-12,-0.0025301031454647736,0.0012901701498103878
2021-01-13,0.0032991833730578934,-0.002163983152847016
2021-01-14,0.0017207744351397242,0.0013376777941976337
2021-01-15,-0.0022784704258196373,-0.002199646044189163
2021-01-18,-0.0008069837095767754,0.0
2021-01-19,-0.00011595757481668146,0.001145897278493879
2021-01-20,0.004450342821172339,0.0032460350132627047
2021-01-21,-0.0017565675868955154,-0.0001646983259585566
2021-01-22,-0.002468306102738275,0.0023510549317027783
2021-01-25,0.0014982441922955201,0.0
2021-01-26,0.0009615399223388336,-0.003905974848593519
2021-01-27,-0.004642168324870919,-0.007890278526727301
2021-01-28,0.0005484988268240009,0.00331709752249536
2021-01-29,-0.007417696318352915,-0.002689302536968552
2021-02-01,0.004422566231976715,0.0
2021-02-02,0.006591549434791265,0.008961992422132702
2021-02-03,0.00037675941238604144,0.002435696194568898
2021-02-04,0.0028113327333546445,0.0014797377057942651
2021-02-05,0.0009416454219364619,-0.0007984987550514189
2021-02-08,0.001589287647562675,0.0
2021-02-09,-0.0005526587756307574,0.0042571957010826555
2021-02-10,-0.0012815671022692989,-0.0003879389696937463
2021-02-11,0.002405020552463964,0.00404370683727746
2021-02-12,-0.0003809137646268957,0.00019875806998010393
2021-02-15,0.001669733040462266,0.0
2021-02-16,-0.0020640100808180495,0.0013004071982136046
2021-02-17,-0.0017509184272656887,-0.003648846376027537
2021-02-18,-0.0032362696838677354,-0.003222272106537749
2021-02-19,0.0009760244357538875,0.0033278141185233865
2021-02-22,-0.0023180032315967794,0.0
2021-02-23,-0.0040999356285392405,-0.002999770750422981
2021-02-24,0.002895681144500191,-0.0013051498585502693
2021-02-25,-0.00646748536962868,-0.003865655797902057
2021-02-26,-0.0012542665795172601,0.0026685860492635547
2021-03-01,0.009570674707114304,0.0
2021-03-02,-0.0019260215037055224,-0.006396970952228642
2021-03-03,-0.0027546610741318823,-0.004181047639016555
2021-03-04,-0.0021560955254591716,-0.010534633128626614
2021-03-05,-0.004135056710465769,-0.0008432798882419101
2021-03-08,0.009997717695712744,0.0
2021-03-09,0.0025994481138723663,0.006851266866041606
2021-03-10,0.0009096791889476102,0.0002892695854719962
2021-03-11,0.003863327774251909,0.010120701938620979
2021-03-12,-0.0031163846985473908,0.004748442304485966
2021-03-15,0.0030379151953849244,0.0
2021-03-16,0.0031184861419489393,-0.001652292547674772
2021-03-17,-0.0045914698831252725,0.0017189314750289952
2021-03-18,0.0004547952909694382,-0.0037156456318132806
2021-03-19,-0.001459642823961121,-0.001906701351862383
2021-03-22,0.0016611697173532101,0.0
2021-03-23,0.001648451575559268,-0.007443437621323967
2021-03-24,0.0007158683817749946,-0.006414960932718894
