,core_log_return_is
2019-01-01,0.0
2019-01-02,0.003801242689477957
2019-01-03,-0.005564650619547509
2019-01-04,0.003996121144942791
2019-01-07,0.001481349878999561
2019-01-08,6.761654862552654e-05
2019-01-09,0.003131949091050843
2019-01-10,0.0017152135936370399
2019-01-11,0.0018177593451849652
2019-01-14,-0.00048053768445595075
2019-01-15,0.004650390160061388
2019-01-16,0.0026865678372850156
2019-01-17,-0.00037870274668969745
2019-01-18,0.005566030783997322
2019-01-21,-0.001128628665817747
2019-01-22,-0.0007774019553455794
2019-01-23,-0.0015764999482150667
2019-01-24,0.003890405269468222
2019-01-25,0.0020952088597321213
2019-01-28,-0.004332352915932977
2019-01-29,0.0013406591592404241
2019-01-30,0.0028390580609575695
2019-01-31,0.004820494950443372
2019-02-01,0.00010474592270650673
2019-02-04,0.0004997110252679409
2019-02-05,0.004522433939413369
2019-02-06,-0.0005469130511475578
2019-02-07,-0.003709101478722247
2019-02-08,-0.00017563632437737846
2019-02-11,0.0028078247046111698
2019-02-12,0.0025885660069641784
2019-02-13,0.002973674561399484
2019-02-14,-0.0009656241656595107
2019-02-15,0.004240766338828419
2019-02-18,0.00018871125146038
2019-02-19,0.00034322483168303136
2019-02-20,0.00019371903065941535
2019-02-21,-0.0009564931610371074
2019-02-22,0.002063780473113656
2019-02-25,0.0016595609827199812
2019-02-26,-0.0003534028503545447
2019-02-27,-0.0017943404335681165
2019-02-28,-0.000633054114942359
2019-03-01,0.00045127522599299765
2019-03-04,0.00248761001033143
2019-03-05,0.0004842238592624692
2019-03-06,-0.0004533576836007705
2019-03-07,0.002108603035331891
2019-03-08,-0.0040664676087718
2019-03-11,0.004348424654590899
2019-03-12,0.00093291714558988
2019-03-13,0.001960789406768121
2019-03-14,0.0009393866013475909
2019-03-15,0.0015625848385834237
2019-03-18,0.0008763758393510373
2019-03-19,0.0030548384350242313
2019-03-20,-0.006431230249015124
2019-03-21,0.005355166136950393
2019-03-22,-0.003362704017225725
2019-03-25,-0.004007063897786151
2019-03-26,0.005924588820430586
2019-03-27,0.0002553367271624413
2019-03-28,0.0015916815494121947
2019-03-29,0.00438630518150953
2019-04-01,0.005177873130940427
2019-04-02,0.0024790753199497484
2019-04-03,0.0014574749440619326
2019-04-04,-0.0004434790515756421
2019-04-05,0.00222518814762466
2019-04-08,-0.0015602734625422654
2019-04-09,-0.0017076550459652457
2019-04-10,0.0018438014641173287
2019-04-11,0.0005877754339829244
2019-04-12,-0.0007229018223858531
2019-04-15,0.0006488280733473682
2019-04-16,0.0024171751992910456
2019-04-17,-0.0019729691766452026
2019-04-18,0.003792391984829645
2019-04-19,0.0
2019-04-22,0.0
2019-04-23,0.004712961578788174
2019-04-24,0.002160348200668441
2019-04-25,0.0008206986856310894
2019-04-26,0.0007312136767394289
2019-04-29,0.0013088728632037504
2019-04-30,-0.0025456199337891283
2019-05-01,0.0
2019-05-02,-0.002530297445677682
2019-05-03,0.004026407333314378
2019-05-06,-0.0044313399010355815
2019-05-07,-0.005052733547357143
2019-05-08,-0.0026899540973504485
2019-05-09,-0.00944053779741345
2019-05-10,-0.001484819696227264
2019-05-13,-0.004240304980724453
2019-05-14,0.0074450112173450895
2019-05-15,0.002027438578116206
2019-05-16,0.009046844990553781
2019-05-17,-0.001513426304252848
2019-05-20,-0.0067582887158045305
2019-05-21,0.0035910058571440554
2019-05-22,-0.0005515553028202622
2019-05-23,-0.007758000074551341
2019-05-24,0.0011215313068346753
2019-05-27,0.0020330942421074192
2019-05-28,-0.00045454046868651047
2019-05-29,-0.0062684486749581166
2019-05-30,0.0019813373119129548
2019-05-31,-0.003792575666298987
2019-06-03,-0.003538057027900584
2019-06-04,0.005445116881185131
2019-06-05,0.004680661017837723
2019-06-06,0.0018671628620543894
2019-06-07,0.006463693225744526
2019-06-10,0.0
2019-06-11,0.0039273260951939535
2019-06-12,-0.0022289868473790954
2019-06-13,0.002259231416148293
2019-06-14,0.0021388523469000895
2019-06-17,0.0006217485015864327
2019-06-18,0.011412575269703898
2019-06-19,-0.00176263388740443
2019-06-20,0.0036784906915889606
2019-06-21,-0.001286931674152613
2019-06-24,-0.0035858126865381972
2019-06-25,-0.0018267808433224163
2019-06-26,-0.0025192695904316374
2019-06-27,0.000645942240734475
2019-06-28,0.0030704837604614483
2019-07-01,0.009426929410263778
2019-07-02,0.0015192628323908532
2019-07-03,0.007418170429211247
2019-07-04,0.0015430262655087928
2019-07-05,-0.0025297141652363725
2019-07-08,-0.0010222869248654866
2019-07-09,-0.00134288757354429
2019-07-10,-1.0978162890531576e-05
2019-07-11,-0.00048069719122680054
2019-07-12,0.0004217308521842282
2019-07-15,0.002279825990937258
2019-07-16,0.002291034509593114
2019-07-17,-0.0019128902567450718
2019-07-18,-0.003106347660814955
2019-07-19,0.0040500163835481585
2019-07-22,-0.001461400838823629
2019-07-23,0.005711597867257206
2019-07-24,0.0036595197184739908
2019-07-25,-0.0020155146590729303
2019-07-26,0.00397900918430837
2019-07-29,-0.0007789763680446388
2019-07-30,-0.0036540485815162852
2019-07-31,0.0024236279611887525
2019-08-01,0.003024524158740292
2019-08-02,-0.01762270932820355
2019-08-05,-0.013541464056388414
2019-08-06,-0.0037525880293660667
2019-08-07,0.0028022407744208427
2019-08-08,0.011530388520629212
2019-08-09,-0.0045626805028038545
2019-08-12,-0.002451802014981293
2019-08-13,0.007432646482201955
2019-08-14,-0.00806912310218732
2019-08-15,0.001051858819391638
2019-08-16,0.007413155298535929
2019-08-19,0.00478393457949227
2019-08-20,-0.000701379781810765
2019-08-21,0.0028950368917844593
