,core_log_return_oos
2021-01-01,0.0
2021-01-04,-0.003323618978087457
2021-01-05,0.0019180302988772912
2021-01-06,0.0061161425341353295
2021-01-07,0.004610964548781456
2021-01-08,0.0038168084277902027
2021-01-11,0.0008732214297672498
2021-01-12,-0.002031804263817855
2021-01-13,0.0030976952797309417
2021-01-14,0.0026225945383833798
2021-01-15,-0.0031810711186540308
2021-01-18,-0.0008110779403132897
2021-01-19,-0.0005163166113630389
2021-01-20,0.007280051372778206
2021-01-21,-0.001286033736919795
2021-01-22,-0.003970888474490645
2021-01-25,0.001021063103984196
2021-01-26,0.0019557326449886224
2021-01-27,-0.007233404410709299
2021-01-28,0.0010163745855913103
2021-01-29,-0.011943993210907985
2021-02-01,0.007118689946776923
2021-02-02,0.011483746393283424
2021-02-03,0.0003942451328951482
2021-02-04,0.0049323031410283
2021-02-05,0.0018475983676848827
2021-02-08,0.002270341897292309
2021-02-09,-0.000372700043221237
2021-02-10,-0.0020593814078296497
2021-02-11,0.003136484087049789
2021-02-12,0.0007874209383815455
2021-02-15,0.0038952093616611474
2021-02-16,-0.002141311460757343
2021-02-17,-0.0027694191666464796
2021-02-18,-0.0038571121417589034
2021-02-19,0.0018085076411850185
2021-02-22,-0.0043825676957295855
2021-02-23,-0.005545990480588211
2021-02-24,0.005559011213281694
2021-02-25,-0.007144607186058028
2021-02-26,-0.003734536404996052
2021-03-01,0.012396460544453378
2021-03-02,-0.0031403241585657455
2021-03-03,-0.002620022711133662
2021-03-04,-0.0041339418462417385
2021-03-05,-0.006117833884236355
2021-03-08,0.01657104979058499
2021-03-09,0.003470623990855724
2021-03-10,0.0016291695545321038
2021-03-11,0.004784523709857695
2021-03-12,-0.003686988335122876
2021-03-15,0.003898607985889822
2021-03-16,0.005511814610469161
2021-03-17,-0.00537059076227506
2021-03-18,0.0012669865348314364
2021-03-19,-0.0033421233792663547
2021-03-22,0.0019991399690296808
2021-03-23,0.001835247692780611
2021-03-24,0.00018228729201452
2021-03-25,-0.0015522296798068296
2021-03-26,0.004699823024685925
2021-03-29,0.0013909879122830425
2021-03-30,0.002082954214816846
2021-03-31,0.002307697065233755
2021-04-01,0.003418700973094218
2021-04-02,0.0
2021-04-05,0.0
2021-04-06,0.003895737052029391
2021-04-07,-0.00256224461402447
2021-04-08,0.0032355333031089195
2021-04-09,0.0005128545202148939
2021-04-12,-0.0005141076544551078
2021-04-13,0.0011575626140960583
2021-04-14,-0.0003772007818042641
2021-04-15,0.003814696140353147
2021-04-16,0.0010907288169213756
2021-04-19,-0.004606210123452116
2021-04-20,-0.007223834290645266
2021-04-21,0.0049553333110526005
2021-04-22,0.003966910149051899
2021-04-23,-0.0019185227271706613
2021-04-26,0.0013252684311440602
2021-04-27,-0.001147520069179732
2021-04-28,-0.0007089068294620886
2021-04-29,-0.0022076599645439016
2021-04-30,0.0013072026845440674
2021-05-03,0.0019683952489982595
2021-05-04,-0.006127586165595231
2021-05-05,0.007487714321750343
2021-05-06,-0.0034541082727722722
2021-05-07,0.0033195806284033675
2021-05-10,-0.000701819479393701
2021-05-11,-0.012368530346545425
2021-05-12,-0.0033381695127988275
2021-05-13,0.0007567917709967948
2021-05-14,0.004818990386641361
2021-05-17,-0.0027015596398387116
2021-05-18,0.0001440146337113093
2021-05-19,-0.00856843911022889
2021-05-20,0.009038970483043474
2021-05-21,0.003283019989665944
2021-05-24,0.0
2021-05-25,0.0018657224784756413
2021-05-26,0.0027301429531155887
2021-05-27,0.001042329495494823
2021-05-28,0.002695667180677531
2021-05-31,-0.0038356261408540567
2021-06-01,0.002587064196031661
2021-06-02,0.0029469409022311833
2021-06-03,-0.0003855353021414979
2021-06-04,0.0023831941025257582
2021-06-07,-0.0009336535774921532
2021-06-08,0.001207563468367715
2021-06-09,0.001534144289885266
2021-06-10,0.0014017391467194904
2021-06-11,0.0045987709491387575
2021-06-14,-0.001289938679616787
