quarter_date,Strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason
2021-01-01,STRAT1,LYEGTIE ID Equity,1,1.2367066503987119,top1,,0.0,2021-01-01,1,init
2021-01-01,STRAT2,SCHCTEA LX Equity,1,1.6394010130264347,top1,,0.0,2021-01-01,1,init
2021-01-01,STRAT2,RPARIE1 ID Equity,2,1.3662610501758086,top2_diversified,-0.08346488163025162,0.27313996285062614,2021-01-01,1,init
2021-01-01,STRAT3,NUMCAII ID Equity,1,2.407949899037256,top1,,0.0,2021-01-01,1,init
2021-04-01,STRAT1,LYEGTIE ID Equity,1,1.1753734736231587,top1,,0.0,2021-01-01,0,same_ticker
2021-04-01,STRAT2,SCHCTEA LX Equity,1,1.6394010130264347,top1,,0.0,2021-01-01,0,hold_buffer
2021-04-01,STRAT3,NUMCAII ID Equity,1,1.5873392798744894,top1,,0.0,2021-01-01,0,same_ticker
2021-07-01,STRAT1,LYEGTIE ID Equity,1,0.751913606587269,top1,,0.0,2021-01-01,0,same_ticker
2021-07-01,STRAT2,RPARIE1 ID Equity,1,1.9008658777695995,top1,,0.0,2021-01-01,1,better_score
2021-07-01,STRAT3,NUMCAII ID Equity,1,1.841615195474742,top1,,0.0,2021-01-01,0,same_ticker
2021-10-01,STRAT1,LYEGTIE ID Equity,1,0.7595468989549283,top1,,0.0,2021-01-01,0,same_ticker
2021-10-01,STRAT2,RPARIE1 ID Equity,1,1.7118359630256936,top1,,0.0,2021-01-01,0,same_ticker
2021-10-01,STRAT3,NUMCAII ID Equity,1,1.982783458111086,top1,,0.0,2021-01-01,0,same_ticker
2022-01-03,STRAT1,LYEGTIE ID Equity,1,0.7595468989549283,top1,,0.0,2021-01-01,0,hold_buffer
2022-01-03,STRAT2,RPARIE1 ID Equity,1,1.2991056611878942,top1,,0.0,2022-01-03,0,same_ticker
2022-01-03,STRAT3,NUMCAII ID Equity,1,1.982783458111086,top1,,0.0,2021-01-01,0,hold_buffer
