Date,ETZD FP Equity,CBE3 LN Equity,IEAC LN Equity
2013-09-30,-0.008403361344537674,-0.0005519779208831288,-0.0006564910553100711
2013-10-31,0.039548022598870025,0.0046483799705447915,0.011496140581376935
2013-11-30,0.010869565217391575,0.002382152182876407,0.002354278291930134
2013-12-31,0.006720430107526987,-0.0008683332571639557,-0.016562727788126175
2014-01-31,-0.01602136181575453,0.0035678345988474636,0.01264154828083175
2014-02-28,0.05020352781546844,0.0013673655423880327,0.004920299284320473
2014-03-31,-0.007751937984496249,0.0011834319526622394,0.004451098612066273
2014-04-30,0.01692708333333326,0.0008637934169855033,0.009305885670546798
2014-05-31,0.025608194622279035,0.0015898251192365542,0.007982757244352934
2014-06-30,-0.006242197253433113,0.0023582766439913527,-0.005900055436762863
2014-07-31,-0.01633165829145722,0.0011763641299429306,0.005257916749651592
2014-08-31,0.02043422733077871,0.001355748373101484,0.011174069818124632
2014-09-30,0.005006257822277815,0.0004964346962725852,0.0011364081664635428
2014-10-31,-0.01992528019925288,-0.0022102936532995,0.004579614842649349
2014-11-30,0.03430749682338008,0.001853526220614743,0.005338008961620622
2014-12-31,-0.018427518427518663,0.0005414918099364563,-0.004418262150220897
2015-01-31,0.07884856070087576,0.0019392955396198008,0.008603238866397245
2015-02-28,0.06844547563805126,0.002430680590566059,0.005905283878189449
2015-03-31,0.017372421281215855,0.0009429726088907575,-0.001688281789579138
2015-04-30,-0.006403415154748959,8.972230945158977e-05,-0.005419325082635096
2015-05-31,0.015037593984962294,-0.00035885704032623256,-0.004753255786991928
2015-06-30,-0.0444444444444444,-0.003410365716849939,-0.02912168983458896
2015-07-31,0.042081949058693224,0.00459273267594229,0.01395776675731808
2015-08-31,-0.08501594048884198,-0.0013894491506432072,-0.007494182148068962
2015-09-30,-0.04065040650406471,0.001166965888689031,-0.01053133569129272
2015-10-31,0.08232445520581111,0.0017932394871336133,0.01751144670254612
2015-11-30,0.026845637583892357,0.001118768459679842,0.0058419515275918155
2015-12-31,-0.04575163398692805,-0.00022350364310907977,-0.007652460560396035
2016-01-31,-0.06963470319634679,0.0003129750514170304,-0.003124134930991951
2016-02-29,-0.02208588957055213,-4.469673266904728e-05,0.004443033957474363
2016-03-31,0.013801756587201952,-0.00013409619166793174,0.014573459715639059
2016-04-30,0.01856435643564347,0.0005364567034740197,0.0027638288761733243
2016-05-31,0.017010935601458277,0.0004468075599834975,0.0018633540372670065
2016-06-30,-0.05017921146953397,0.0005805904157918373,0.011004339739615565
2016-07-31,0.03899371069182389,-0.00013390465988238898,0.00889161428790386
2016-08-31,0.007263922518159882,0.0002232043212357926,0.0017474547941043195
2016-09-30,-0.0012019230769232392,4.463090243733703e-05,-0.0014410314751613917
2016-10-31,-0.010830324909747113,-0.0018744142455479063,-0.008506759835940403
2016-11-30,0.012165450121654375,-0.0019226469930700985,-0.01080128696185123
2016-12-31,0.054086538461538325,0.004748678433832421,0.0074730891349803485
2017-01-31,-0.003420752565564511,-0.0022293561619410873,-0.013643875629347435
2017-02-28,0.03203661327231133,-8.937349182158716e-05,0.01122194513715713
2017-03-31,0.03436807095343708,0.00013407222023587018,-0.004392725030826328
2017-04-30,0.019292604501607524,0.0007596407346175393,0.006115024382692402
2017-05-31,0.008412197686645584,0.0013395249151633148,0.003231266348668882
2017-06-30,-0.026068821689259725,-8.918219923370607e-05,-0.005521472392638116
2017-07-31,-0.0032119914346891987,0.001070281840884979,0.00046267735965477286
2017-08-31,-0.00751879699248148,0.00013364219529554688,0.0045860952674581235
2017-09-30,0.038961038961039085,0.00013362433744656954,-0.002033222081559871
2017-10-31,0.01979166666666643,0.0008907098957866566,0.010994080110710236
2017-11-30,-0.022471910112359383,0.0010234048233510595,-0.0015969581749053496
2017-12-31,0.006269592476489061,-0.0024892207849936954,-0.0028181887424783003
2018-01-31,0.01869158878504651,8.912258812032725e-05,-0.0076382523678582
2018-02-28,-0.03771661569826723,0.0001336719689883914,-0.00015394088669951067
2018-03-31,-0.019067796610169108,0.0025839793281654533,-0.0010777521170128868
2018-04-30,0.04427645788336898,-0.0012442232492005934,0.0003853267570896879
2018-05-31,-0.007238883143743324,-0.009165331909592012,-0.004082890378244608
2018-06-30,-0.005208333333333259,0.0031432420296360064,-0.00015470297029729352
2018-07-31,0.03246073298429297,-0.000984780662488527,-0.0013925421630823775
2018-08-31,-0.022312373225152005,-0.004391074469038636,-0.0007747133560581654
2018-09-30,0.003112033195020736,0.0013051305130511448,-0.002558536207163953
2018-10-31,-0.056876938986556214,0.0006292417636750702,-0.0031092110376995663
2018-11-30,-0.007675438596491224,0.0023806315411216694,-0.00576998050682187
2018-12-31,-0.05082872928176796,0.0023301666965405143,0.0019214179280049315
2019-01-31,0.05937136204889404,0.0005364806866958727,0.0074752455872570955
2019-02-28,0.04065934065934074,-0.0010277033065245744,0.0061378292284988145
2019-03-31,0.022175290390707536,0.0018338775327642054,0.013667953667953148
2019-04-30,0.038223140495867725,-0.00022323421734060656,0.006475203778471661
2019-05-31,-0.05472636815920395,-0.0002679408743806455,-0.003027550711474425
2019-06-30,0.044210526315789256,0.0026354580783494175,0.016853932584270037
2019-07-31,0.003024193548387011,0.0013365410318093573,0.008137972226369472
2019-08-31,-0.012060301507537785,0.0020021356113186783,0.005480263645116112
2019-09-30,0.03560528992878931,-0.0013764930509305717,-0.006923473521396106
2019-10-31,0.011787819253438192,-0.0019119608714976977,-0.00207668916413295
2019-11-30,0.028155339805825408,-0.001648327170668984,-0.0023039762170190548
2019-12-31,0.019830028328611915,-8.92458723783518e-05,-0.0006704410011920681
2020-01-31,-0.009259259259259411,0.00035701535166032805,0.007528885575847966
2020-02-29,-0.08317757009345783,-0.0010706638115632883,-0.008878366380586589
2020-03-31,-0.14780835881753296,-0.004421221864952196,-0.062406688563750534
2020-04-30,0.07057416267942584,-0.0007625712106935634,0.034235668789809104
2020-05-31,0.02346368715083802,0.0006284790806247997,0.0038491147036183726
2020-06-30,0.031659388646288145,0.0016599371915655414,0.01342024539877329
2020-07-31,-0.009523809523809379,0.0007614099520762974,0.007037457434733163
2020-08-31,0.029914529914529808,-0.00035803795202327127,0.003155996393146676
2020-09-30,-0.013485477178423189,0.0008058739255012437,0.0022471910112362714
