ticker,alpha_annual,n_obs_alpha,expense_pct,Strat,z_alpha,z_neg_expense,score_level2,beta,beta_stress,beta_bloc1,corr,return_stress,skewness,maxdd_abs,sharpe,sortino,vol,ret_ann,kurtosis,score_custom,review_date,calib_start,calib_end
LYEGTIE ID Equity,0.08612836079544092,261,1.171,STRAT1,0.6352119341400707,0.025416028932962055,1.2367066503987119,0.007774663579248122,0.016583081089247564,0.016583081089247564,0.01338868179977401,-0.16983552102925825,0.0412771323820978,0.05122153661016693,1.2713894970598425,1.6156487257827488,0.06793953575278869,0.0863776121912172,4.665066663951862,1.2367066503987119,2021-01-01,2020-01-01,2020-12-31
DWMAEIA ID Equity,-0.02796258752024297,261,0.59,STRAT1,-0.4099414305368123,0.6715784942376422,0.46228406260486593,0.06439306417510639,0.01826993922402843,0.01826993922402843,0.08967893211824811,-0.37378091911333555,-1.3243813560474977,0.09797364685189558,-0.3082774938331528,-0.3418626452359503,0.08400931683022031,-0.02589818165105562,6.742774194952014,0.46228406260486593,2021-01-01,2020-01-01,2020-12-31
ALLVOSI LX Equity,-0.058240974521502634,261,0.7,STRAT1,-0.7243798704840821,0.5492413665551726,-0.45399292197168223,0.15209274386976446,0.2904918817363318,0.2904918817363318,0.2579102998208683,-0.29311117815365384,-3.240069824004452,0.1430905207557862,-0.7734596032794105,-0.5953051401345747,0.06899515554449066,-0.05336496563564297,14.484283840582675,-0.45399292197168223,2021-01-01,2020-01-01,2020-12-31
ASRATH2 LX Equity,-0.37595171365184504,261,1.6,STRAT1,-4.257870696601987,-0.4516987690286692,-1.2449977910318957,0.224335047680387,0.48992193408187773,0.48992193408187773,0.09864755726275404,-0.5291610990628224,-5.983219677082552,0.44114043067277076,-1.385969967712983,-0.9249267818817535,0.2660661235268901,-0.3687596566340824,48.97429489934266,-1.2449977910318957,2021-01-01,2020-01-01,2020-12-31
RPARIE1 ID Equity,0.15884496960617428,261,0.0,STRAT2,1.308980750127438,1.3277503608981605,1.3662610501758086,-0.04440220442788976,-0.16389798801307412,-0.16389798801307412,-0.0410603626986316,0.08069440114998061,2.75296714498513,0.08804654975712745,1.2442378103644363,1.1802021796049456,0.12652039528528505,0.15742145959620601,20.85560423702232,1.3662610501758086,2021-01-01,2020-01-01,2020-12-31
SCHCTEA LX Equity,0.3199622926036627,261,2.45,STRAT2,2.5631062683506594,-1.3970311193022975,1.6394010130264347,-0.11836219545384746,-0.14581346081648233,-0.14581346081648233,-0.10644878238418216,0.5523966701600111,-0.056415065983811984,0.04895446993075114,2.4303361692500216,3.9712505329428245,0.13009215365516857,0.31616766636378757,0.13402410712000368,1.6394010130264347,2021-01-01,2020-01-01,2020-12-31
EXCRISA LX Equity,0.12055745829073429,261,1.37,STRAT2,0.9157009400699098,-0.19590295660168744,0.869278355361513,0.030930198087141113,0.0971378685839386,0.0971378685839386,0.0878744927528238,0.0038899379168588766,-1.1170068076820148,0.03978590293338513,2.9515691100024584,3.695026982705838,0.04118116795868661,0.12154906326068238,7.595279745349703,0.869278355361513,2021-01-01,2020-01-01,2020-12-31
WDIMIXD LX Equity,-0.00893185471653744,261,0.021,STRAT2,-0.24314859859106389,1.304395091067871,0.19458870534162104,0.2775630408172537,0.5401237566160743,0.5401237566160743,0.4151566037145401,-0.4027325026494918,-3.3950477359542797,0.10257066574526974,-0.00042619517564589955,-0.00038047990560856804,0.0782219207119212,-3.333780523717689e-05,24.333568949185384,0.19458870534162104,2021-01-01,2020-01-01,2020-12-31
CDARMEC LX Equity,0.125191424363329,261,1.67,STRAT2,0.9478256699615807,-0.5295496684629678,0.620919868220129,0.2946218807120382,0.22230000781881168,0.22230000781881168,0.4629760395832875,-0.38677551312892133,0.4239575512839301,0.05170879408997375,1.8083339370616256,3.0670533514168645,0.07445352622469388,0.13463683820602168,2.6065546272971254,0.620919868220129,2021-01-01,2020-01-01,2020-12-31
PDAIEUR LX Equity,0.06794061257213677,261,1.56,STRAT2,0.46646123720804145,-0.4072125407804984,0.3674464148581948,-0.013116483710623673,0.10747153064422031,0.10747153064422031,-0.03073562087577736,0.12892081572927938,-0.7792722868149666,0.04526097653307348,1.3523181856442958,1.643871219509652,0.04992915580587857,0.06752010539015707,3.55214392564897,0.3674464148581948,2021-01-01,2020-01-01,2020-12-31
