quarter_date,Strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date
2021-01-01,STRAT1,LYEGTIE ID Equity,1,1.2367066503987119,top1,,0.0,2021-01-01
2021-01-01,STRAT2,SCHCTEA LX Equity,1,1.6394010130264347,top1,,0.0,2021-01-01
2021-01-01,STRAT2,RPARIE1 ID Equity,2,1.3662610501758086,top2_diversified,-0.08346488163025162,0.27313996285062614,2021-01-01
2021-01-01,STRAT3,NUMCAII ID Equity,1,2.407949899037256,top1,,0.0,2021-01-01
2021-04-01,STRAT1,LYEGTIE ID Equity,1,1.1753734736231587,top1,,0.0,2021-01-01
2021-04-01,STRAT2,CHDYCLA ID Equity,1,0.9019982167378726,top1,,0.0,2021-01-01
2021-04-01,STRAT3,NUMCAII ID Equity,1,1.5873392798744894,top1,,0.0,2021-01-01
2021-07-01,STRAT1,LYEGTIE ID Equity,1,0.751913606587269,top1,,0.0,2021-01-01
2021-07-01,STRAT2,RPARIE1 ID Equity,1,1.9008658777695995,top1,,0.0,2021-01-01
2021-07-01,STRAT3,NUMCAII ID Equity,1,1.841615195474742,top1,,0.0,2021-01-01
2021-10-01,STRAT1,LYEGTIE ID Equity,1,0.7595468989549283,top1,,0.0,2021-01-01
2021-10-01,STRAT2,RPARIE1 ID Equity,1,1.7118359630256936,top1,,0.0,2021-01-01
2021-10-01,STRAT3,NUMCAII ID Equity,1,1.982783458111086,top1,,0.0,2021-01-01
2022-01-03,STRAT1,ALLVOSI LX Equity,1,0.7000000000000002,top1,,0.0,2022-01-03
2022-01-03,STRAT2,RPARIE1 ID Equity,1,1.2991056611878942,top1,,0.0,2022-01-03
2022-01-03,STRAT3,ESELIAE LX Equity,1,0.8990908348701464,top1,,0.0,2022-01-03
2022-01-03,STRAT3,NUMCAII ID Equity,2,0.8789905291656687,top2_diversified,0.08776571199341822,0.02010030570447774,2022-01-03
2022-04-01,STRAT1,ALLVOSI LX Equity,1,0.7000000000000003,top1,,0.0,2022-01-03
2022-04-01,STRAT2,RPARIE1 ID Equity,1,1.3177418242096477,top1,,0.0,2022-01-03
2022-04-01,STRAT2,UGEEIBA ID Equity,2,1.1548193312317543,top2_diversified,0.07167691637362587,0.1629224929778934,2022-01-03
2022-04-01,STRAT3,ESELIAE LX Equity,1,0.8278921231913566,top1,,0.0,2022-01-03
2022-04-01,STRAT3,AEABSIA ID Equity,2,0.7439932630138211,top2_diversified,0.19934067732102562,0.08389886017753556,2022-01-03
2022-07-01,STRAT1,ALLVOSI LX Equity,1,0.7000000000000002,top1,,0.0,2022-01-03
2022-07-01,STRAT2,UGEEIBA ID Equity,1,1.4581446408178569,top1,,0.0,2022-01-03
2022-07-01,STRAT3,BNPAAAP LX Equity,1,1.1036926357562389,top1,,0.0,2022-01-03
2022-07-01,STRAT3,AEABSIA ID Equity,2,1.075822458512121,top2_diversified,0.3512421223888942,0.02787017724411789,2022-01-03
2022-10-03,STRAT1,ALLVOSI LX Equity,1,0.7000000000000002,top1,,0.0,2022-01-03
2022-10-03,STRAT2,UGEEIBA ID Equity,1,1.5210149976450826,top1,,0.0,2022-01-03
2022-10-03,STRAT2,ALMLSI3 LX Equity,2,1.171766746490497,top2_diversified,-0.0296353933769625,0.3492482511545856,2022-01-03
2022-10-03,STRAT3,BNPAAAP LX Equity,1,1.070858920353224,top1,,0.0,2022-01-03
2022-10-03,STRAT3,AEABSIA ID Equity,2,0.910151877880419,top2_diversified,0.47437034840237446,0.16070704247280498,2022-01-03
2023-01-02,STRAT1,ALLVOSI LX Equity,1,0.10000000000000012,top1,,0.0,2023-01-02
2023-01-02,STRAT1,UIATHNA GR Equity,2,-0.09999999999999998,top2_diversified,-0.036696819307113236,0.2000000000000001,2023-01-02
2023-01-02,STRAT2,LGSSA3E ID Equity,1,1.84763090692996,top1,,0.0,2023-01-02
2023-01-02,STRAT2,CARTMTE LX Equity,2,1.644936579960307,top2_diversified,0.23182326036330142,0.20269432696965284,2023-01-02
2023-01-02,STRAT3,BNPAAAP LX Equity,1,1.5103531374460615,top1,,0.0,2023-01-02
2023-01-02,STRAT3,AEABSIA ID Equity,2,1.2217727684713962,top2_diversified,0.20144098101221938,0.2885803689746653,2023-01-02
2023-04-03,STRAT1,ALLVOSI LX Equity,1,0.10000000000000012,top1,,0.0,2023-01-02
2023-04-03,STRAT1,UIATHNA GR Equity,2,-0.09999999999999998,top2_diversified,-0.060643792388243974,0.2000000000000001,2023-01-02
2023-04-03,STRAT2,LGSSA3E ID Equity,1,1.3288410193788822,top1,,0.0,2023-01-02
2023-04-03,STRAT2,CARTMTE LX Equity,2,1.2378802708496548,top2_diversified,0.012916357495822454,0.09096074852922742,2023-01-02
2023-04-03,STRAT3,BNPAAAP LX Equity,1,1.4261402939498589,top1,,0.0,2023-01-02
