year,turnover_target_sum,turnover_exec_sum,turnover_target_mean,turnover_exec_mean
2021,2.75,3.25,0.01053639846743295,0.012452107279693486
2022,1.65,1.65,0.006346153846153846,0.006346153846153846
2023,1.5750000000000002,1.5750000000000002,0.006057692307692308,0.006057692307692308
2024,1.875,1.875,0.00715648854961832,0.00715648854961832
2025,1.2,1.2,0.004597701149425287,0.004597701149425287
2026,0.2,0.2,0.004651162790697674,0.004651162790697674
