Metric,Value
Static beta (Satellite vs Core),0.012523900144387694
Static correlation,0.01833470177204934
Tracking error ann.,0.07417592610099766
Simple Outperformance,0.012164227775911751
Alpha annualized (CAPM),0.03883170879940634
