,core_portfolio_return
2014-09-30,-0.0005136896091878507
2014-10-31,-0.0004049518698187038
2014-11-30,0.005423731960424005
2014-12-31,-0.0038187064260173376
2015-01-31,0.008989944069581757
2015-02-28,0.007373728392803702
2015-03-31,0.00043574815031210967
2015-04-30,-0.0027179690241116994
2015-05-31,-0.0015759998123519026
2015-06-30,-0.01741036899076931
2015-07-31,0.021766953171616477
2015-08-31,-0.040221944769092466
2015-09-30,-0.018448793827170573
2015-10-31,0.03807056271263187
2015-11-30,0.01285345068521071
2015-12-31,-0.02133897611105806
2016-01-31,-0.03195826520947609
2016-02-29,-0.009802375162884513
2016-03-31,0.00985136394380648
2016-04-30,0.0024328255036358826
2016-05-31,0.001906291109313285
2016-06-30,0.0027431619872735347
2016-07-31,0.0062982814267629195
2016-08-31,0.0013361708692718466
2016-09-30,-0.000760794669009135
2016-10-31,-0.005644332885759162
2016-11-30,-0.005675278245698023
2016-12-31,0.008524354258979239
2017-01-31,-0.008012294450289947
2017-02-28,0.007141590870289205
2017-03-31,0.0076822277802541805
2017-04-30,0.010253166741089004
2017-05-31,0.004964474237425076
2017-06-30,-0.013433248380032792
2017-07-31,-0.0011034734090489273
2017-08-31,-0.003478622812846277
2017-09-30,0.01925194272641617
2017-10-31,0.010804475611575937
2017-11-30,-0.011004588709405794
2017-12-31,-0.00128831134544527
2018-01-31,0.00015977942654998856
2018-02-28,-0.005768005970697487
2018-03-31,-0.0009645019043283964
2018-04-30,0.003631414490343987
2018-05-31,-0.011721861650582643
2018-06-30,-0.002520496295716268
2018-07-31,0.015413748145006734
2018-08-31,-0.01179435806677187
2018-09-30,0.0016084703809011724
2018-10-31,-0.02911208523276676
2018-11-30,-0.003981469824648753
2018-12-31,-0.024631252488439448
2019-01-31,0.029889549048312425
2019-02-28,0.02015796872950215
2019-03-31,0.017315232638683176
2019-04-30,0.021884684269631194
2019-05-31,-0.021542569602526762
2019-06-30,0.011060841993186354
2019-07-31,0.004476060455376851
2019-08-31,0.0028009575785721275
2019-09-30,-0.0023415749406971997
2019-10-31,-0.001313822160667888
2019-11-30,-0.0005072345416223811
2019-12-31,0.0006064872064877047
2020-01-31,0.0034517948607164506
2020-02-29,-0.013547604092560839
2020-03-31,-0.046182638373142515
2020-04-30,0.02239409622412558
2020-05-31,0.01618876877955322
2020-06-30,0.021902571129888804
2020-07-31,-0.001589640133297987
2020-08-31,0.015510674036017136
2020-09-30,-0.006293994627957877
2020-10-31,-0.024643708262172992
2020-11-30,0.06860791399514565
2020-12-31,0.0022277231167271427
2021-01-31,-0.004511911567221638
2021-02-28,-0.0036769340186366684
2021-03-31,0.005946231588605189
2021-04-30,-0.0004051360258348069
2021-05-31,0.0007094607474944503
2021-06-30,0.0033724414498277344
2021-07-31,0.006701855893591402
2021-08-31,0.0005884072090156511
2021-09-30,-0.01335928090894134
2021-10-31,0.009293196222673439
2021-11-30,-0.01312319133049511
2021-12-31,0.026263884692376616
2022-01-31,-0.020120878112183438
2022-02-28,-0.02039916718623802
2022-03-31,0.003229956191384664
2022-04-30,-0.0074295910609449844
2022-05-31,-0.011456061702340925
2022-06-30,-0.0437935830473164
2022-07-31,0.0430097872484132
2022-08-31,-0.033900998636008595
2022-09-30,-0.03817859556131398
2022-10-31,0.03074996920019024
2022-11-30,0.03727554837914604
2022-12-31,-0.018441002366408554
2023-01-31,0.03169130466194314
2023-02-28,0.00831297975874068
2023-03-31,0.0029593859542083045
2023-04-30,0.01159077883134696
2023-05-31,-0.01456670148930872
2023-06-30,0.00987098507124018
2023-07-31,0.012254961994988989
2023-08-31,-0.010291870365998879
2023-09-30,-0.010135438314658685
2023-10-31,-0.01502952028851634
2023-11-30,0.034459245215706424
2023-12-31,0.022351598864708278
2024-01-31,0.0023509293128738395
2024-02-29,0.0008682925344905001
2024-03-31,0.015352721982381912
2024-04-30,-0.006485495790801155
2024-05-31,0.010047520590683368
2024-06-30,-0.0010640065871488913
2024-07-31,0.006422244607920513
2024-08-31,0.00577506036558062
2024-09-30,0.007136133268398792
2024-10-31,-0.0088381325856427
2024-11-30,0.011820978268717974
2024-12-31,-0.002400780104950817
2025-01-31,0.004151937351228652
2025-02-28,0.007762175312933772
2025-03-31,-0.007499695416868901
2025-04-30,0.0017489869040618888
2025-05-31,0.004977833064848225
2025-06-30,0.0005700109530266673
2025-07-31,-0.004151954120868551
2025-08-31,0.0013579202257074652
2025-09-30,0.0032555063169525944
2025-10-31,0.005547766289027312
2025-11-30,0.0011076930639499771
2025-12-31,0.0037729099755794415
2026-01-31,0.0026860742742444987
