,beta_rolling_126d
2021-08-27,0.3993756118847534
2021-08-30,0.402448871637427
2021-08-31,0.45731939625584556
2021-09-01,0.4361623154483293
2021-09-02,0.4400470640907912
2021-09-03,0.388028504329047
2021-09-06,0.4174542091577468
2021-09-07,0.42097009468522073
2021-09-08,0.43545149490559104
2021-09-09,0.4697011775478233
2021-09-10,0.4687899050262803
2021-09-13,0.4654441450144752
2021-09-14,0.4674486172431682
2021-09-15,0.47790397041789834
2021-09-16,0.47987126485609927
2021-09-17,0.4881291726770786
2021-09-20,0.4351463627827985
2021-09-21,0.43458252174543854
2021-09-22,0.4407362076835362
2021-09-23,0.43374325173982314
2021-09-24,0.42351871256315865
2021-09-27,0.42344061299381086
2021-09-28,0.4469634471973729
2021-09-29,0.4476158036826261
2021-09-30,0.44560309475947707
2021-10-01,0.44049671793736683
2021-10-04,0.429215650855756
2021-10-05,0.43082505552082273
2021-10-06,0.43537316508472274
2021-10-07,0.4252917136919748
2021-10-08,0.42863721067351235
2021-10-11,0.42856422856949283
2021-10-12,0.4262828137533997
2021-10-13,0.3924864965598264
2021-10-14,0.38417157854572986
2021-10-15,0.39295944478504474
2021-10-18,0.40702592147899996
2021-10-19,0.407291465184719
2021-10-20,0.4080581341789739
2021-10-21,0.4148993372827571
2021-10-22,0.4216338066429749
2021-10-25,0.42255033038144996
2021-10-26,0.42096340855157893
2021-10-27,0.413727450637337
2021-10-28,0.4090049580849652
2021-10-29,0.3909188548210458
2021-11-01,0.381272693911911
2021-11-02,0.3737857484906881
2021-11-03,0.41992517791039174
2021-11-04,0.32279112440472185
2021-11-05,0.31149804343717297
2021-11-08,0.3080019735920464
2021-11-09,0.3073062177153642
2021-11-10,0.3026590256851185
2021-11-11,0.29933222645004853
2021-11-12,0.26629115835977807
2021-11-15,0.26918633161202804
2021-11-16,0.27398436450779
2021-11-17,0.27990418254380256
2021-11-18,0.27436954602977714
2021-11-19,0.2771886581371078
2021-11-22,0.27576577224438886
2021-11-23,0.2662876128161062
2021-11-24,0.2706219429580456
2021-11-25,0.2736676939987018
2021-11-26,0.23885912635576664
2021-11-29,0.23740477299351712
2021-11-30,0.25278850515920775
2021-12-01,0.23973858887866872
2021-12-02,0.2331408157233213
2021-12-03,0.23599057109468946
2021-12-06,0.23279154268655533
2021-12-07,0.2182376101381929
2021-12-08,0.2204465166075678
2021-12-09,0.21572009000187556
2021-12-10,0.2274552118843332
2021-12-13,0.20064850535912496
2021-12-14,0.18782750350243432
2021-12-15,0.18619601025916224
2021-12-16,0.1781897318557772
2021-12-17,0.1721863574768005
2021-12-20,0.16497710076093988
2021-12-21,0.17489651719726818
2021-12-22,0.1691455196081018
2021-12-23,0.17385089989692448
2021-12-24,0.17279156199337273
2021-12-27,0.17486167095897676
2021-12-28,0.17443196592746962
2021-12-29,0.172978029673962
2021-12-30,0.179971527325694
2021-12-31,0.15735988156514927
2022-01-03,0.1390685263594266
