,beta_rolling_126d
2022-01-04,0.13899761464186985
2022-01-05,0.1389038585047547
2022-01-06,0.138874470479834
2022-01-07,0.13937436525063918
2022-01-10,0.13586881971747305
2022-01-11,0.1388317673551248
2022-01-12,0.129936997635609
2022-01-13,0.12284769907139982
2022-01-14,0.1149563647113435
2022-01-17,0.10842240165555032
2022-01-18,0.11515324772570659
2022-01-19,0.11590743133556147
2022-01-20,0.10698910559668218
2022-01-21,0.13297540498860974
2022-01-24,0.11438240384708173
2022-01-25,0.1137394236881197
2022-01-26,0.1308337575410174
2022-01-27,0.13825221742762187
2022-01-28,0.1202027260395105
2022-01-31,0.11943315623223652
2022-02-01,0.12127721602925265
2022-02-02,0.12048796070831495
2022-02-03,0.10911289960070657
2022-02-04,0.10723619734772291
2022-02-07,0.10717826356963858
2022-02-08,0.1081707415676775
2022-02-09,0.10049321937624799
2022-02-10,0.08218412128387083
2022-02-11,0.07413944208220839
2022-02-14,0.07445159388042377
2022-02-15,0.07209448638883596
2022-02-16,0.07156061561631236
2022-02-17,0.07010226359078393
2022-02-18,0.06791547026837709
2022-02-21,0.06613972688645338
2022-02-22,0.06621395728086135
2022-02-23,0.06541550656157664
2022-02-24,0.06447379923202202
2022-02-25,0.06076854370838695
2022-02-28,0.06188462778043713
2022-03-01,0.03260766917845186
2022-03-02,0.027810534443647686
2022-03-03,0.025622397836362637
2022-03-04,0.021504057917445977
2022-03-07,0.01935103069634512
2022-03-08,0.013520542667713681
2022-03-09,0.01497460353853617
2022-03-10,0.010874010052265827
2022-03-11,0.02102207673777924
2022-03-14,0.01912029180810324
2022-03-15,0.026835919748711176
2022-03-16,0.013078197727273665
2022-03-17,0.009681111870340897
2022-03-18,0.008522404481550797
2022-03-21,0.008488855690822812
2022-03-22,0.012765982425173137
2022-03-23,-0.0050119353511689484
2022-03-24,-0.008245758254631617
2022-03-25,-0.006961262042875336
2022-03-28,-0.006997181336760694
2022-03-29,-0.009212598583947828
2022-03-30,-0.013060525893774795
2022-03-31,-0.014448578801588306
2022-04-01,-0.028697030113423817
2022-04-04,-0.02687635073120212
2022-04-05,-0.033755205555649544
2022-04-06,-0.02888693356184258
2022-04-07,-0.028447817676866684
2022-04-08,-0.04006693084781484
2022-04-11,-0.04117737550781955
2022-04-12,-0.04259792684557741
2022-04-13,-0.04298429602824635
2022-04-14,-0.042526792996504185
2022-04-15,-0.04342565665133309
2022-04-18,-0.04143089853237644
2022-04-19,-0.04145588996217165
2022-04-20,-0.04464286925823446
2022-04-21,-0.043920763212248796
2022-04-22,-0.029417011545533188
2022-04-25,-0.030022611301606578
2022-04-26,-0.03017175267677354
2022-04-27,-0.027386997001898183
2022-04-28,-0.031872537392402187
2022-04-29,-0.008770439813795569
2022-05-02,-0.005418854700789449
2022-05-03,-0.005837277424480097
2022-05-04,0.0011219363035966502
2022-05-05,0.0012931194848049131
2022-05-06,-0.001016442301004677
2022-05-09,-0.0008693656929526106
2022-05-10,-0.0013310685463340315
2022-05-11,-0.010273452862361105
2022-05-12,-0.01339772861752642
2022-05-13,-0.0018634344725764866
2022-05-16,-0.0024394595481997423
2022-05-17,-0.0028982187027212798
2022-05-18,-0.004648802416382923
2022-05-19,-0.005618388429383268
2022-05-20,-0.006090260911301287
2022-05-23,-0.005104676214140947
2022-05-24,0.0024502678653647173
2022-05-25,-0.0020042044489939096
2022-05-26,0.0034769938551364545
2022-05-27,0.0012329226256775777
2022-05-30,0.0014300844379589938
2022-05-31,0.001462879087952068
2022-06-01,-0.000318946344475416
2022-06-02,-0.004707292995483611
2022-06-03,-0.003911421999490156
2022-06-06,-0.004478759881355806
2022-06-07,-0.0045041296487752305
2022-06-08,-0.002834362010557986
2022-06-09,-0.014145255777673409
2022-06-10,-0.031637264219778125
2022-06-13,-0.027092761962282406
2022-06-14,-0.03373639524433912
2022-06-15,-0.056804600451840034
2022-06-16,-0.047435326063292906
2022-06-17,-0.04852216774558168
2022-06-20,-0.04847264306439989
2022-06-21,-0.04855868159861533
2022-06-22,-0.056377033812081916
2022-06-23,-0.06768941721855981
2022-06-24,-0.06865968283958448
2022-06-27,-0.06691684727160366
2022-06-28,-0.06819347081402803
2022-06-29,-0.06792964547569082
2022-06-30,-0.07086837343980212
2022-07-01,-0.08622640701950611
2022-07-04,-0.08676245397154302
2022-07-05,-0.08628395342444053
2022-07-06,-0.08750164836012753
2022-07-07,-0.08127720623423657
2022-07-08,-0.07992187480163578
2022-07-11,-0.08134183220198864
2022-07-12,-0.0869430117833475
2022-07-13,-0.09428477578324028
2022-07-14,-0.09694095905476705
2022-07-15,-0.09152004557863212
2022-07-18,-0.10232750490100426
2022-07-19,-0.10873389442542875
2022-07-20,-0.10726308537764982
2022-07-21,-0.1169736240325576
2022-07-22,-0.13630990758382253
2022-07-25,-0.13263133916190556
2022-07-26,-0.13283961658748186
2022-07-27,-0.13491623294521893
2022-07-28,-0.14062969383828594
2022-07-29,-0.1487003114901834
2022-08-01,-0.1515262427197414
2022-08-02,-0.15145027888125567
2022-08-03,-0.1510340407506284
2022-08-04,-0.15064628616448136
2022-08-05,-0.16161032483239807
2022-08-08,-0.1583547047756823
2022-08-09,-0.15510241643062256
2022-08-10,-0.1549731693529818
2022-08-11,-0.1549806443466018
2022-08-12,-0.15200095252752427
2022-08-15,-0.15078422025932262
2022-08-16,-0.15158432700279864
2022-08-17,-0.15748255503771152
2022-08-18,-0.1578598630385488
2022-08-19,-0.1573830351484761
2022-08-22,-0.1596470426605019
2022-08-23,-0.16008644526567745
2022-08-24,-0.14538922075242772
2022-08-25,-0.14561114437991612
2022-08-26,-0.14630876872176177
2022-08-29,-0.14161813266364037
2022-08-30,-0.1419232568200946
2022-08-31,-0.14257032292062954
2022-09-01,-0.1435588374277733
2022-09-02,-0.1422298880616315
2022-09-05,-0.14784018002924168
2022-09-06,-0.15041066710346843
2022-09-07,-0.15768316165097382
2022-09-08,-0.15036166772468132
2022-09-09,-0.1506025526320421
2022-09-12,-0.1518105397397589
2022-09-13,-0.15875678793273085
2022-09-14,-0.16243707794626555
2022-09-15,-0.16253215553560918
2022-09-16,-0.16051578959254728
2022-09-19,-0.16143689428470184
2022-09-20,-0.16467100132803952
2022-09-21,-0.1611489897813529
2022-09-22,-0.16121911785291484
2022-09-23,-0.1719094549028687
2022-09-26,-0.1698552806408005
2022-09-27,-0.17415764112234708
2022-09-28,-0.17612502394982002
2022-09-29,-0.17308007844686193
2022-09-30,-0.1740272187927285
2022-10-03,-0.17383836457189092
2022-10-04,-0.18022584074955258
2022-10-05,-0.17735085240140702
2022-10-06,-0.17641828816958893
2022-10-07,-0.1825760599127295
2022-10-10,-0.18114527533425603
2022-10-11,-0.18112747811884675
2022-10-12,-0.18092321369862865
2022-10-13,-0.17711403925008218
2022-10-14,-0.17605783799462252
2022-10-17,-0.18575629076492992
2022-10-18,-0.18696993452427074
2022-10-19,-0.18784524659093507
2022-10-20,-0.18746631401391053
2022-10-21,-0.18518316096674178
2022-10-24,-0.18256159490060403
2022-10-25,-0.19035777430575457
2022-10-26,-0.19412841371257453
2022-10-27,-0.20307479745963408
2022-10-28,-0.20322344313953378
2022-10-31,-0.2054443868735806
2022-11-01,-0.2067319231667909
2022-11-02,-0.20580370464345285
2022-11-03,-0.21303889774151102
2022-11-04,-0.20983942353301574
2022-11-07,-0.21748531958676104
2022-11-08,-0.22125023689755147
2022-11-09,-0.2205011752603668
2022-11-10,-0.23898940728999218
2022-11-11,-0.24016713792276578
2022-11-14,-0.23998289768351194
2022-11-15,-0.2419983684432576
2022-11-16,-0.24792336696682818
2022-11-17,-0.25103819597267824
2022-11-18,-0.2511704247189587
2022-11-21,-0.2532775365927416
2022-11-22,-0.25214512579074055
2022-11-23,-0.2561861041322501
2022-11-24,-0.25318077916552945
2022-11-25,-0.25079582692708097
2022-11-28,-0.24961461152211376
2022-11-29,-0.2497601665083912
2022-11-30,-0.24944353512514306
2022-12-01,-0.24971895253552648
2022-12-02,-0.24480420036401557
2022-12-05,-0.24082222044660875
2022-12-06,-0.2568427034395601
2022-12-07,-0.2543719213931962
2022-12-08,-0.24737242629726575
2022-12-09,-0.2625598306972223
2022-12-12,-0.26299999055139445
2022-12-13,-0.2619462005889498
2022-12-14,-0.2616965094405767
2022-12-15,-0.24854521714591746
2022-12-16,-0.23778147207266645
2022-12-19,-0.23976598473439237
2022-12-20,-0.235861764838743
2022-12-21,-0.22828953557500084
2022-12-22,-0.22331241847515673
2022-12-23,-0.22188768395986938
2022-12-26,-0.2145914110843964
2022-12-27,-0.21383589346035123
2022-12-28,-0.21514125932689984
2022-12-29,-0.2152053024113947
2022-12-30,-0.2160862388345363
2023-01-02,-0.21242036571589096
2023-01-03,-0.21268215023418452
2023-01-04,-0.20735191012918044
2023-01-05,-0.20448200764962077
2023-01-06,-0.20165268290559185
2023-01-09,-0.20772798328609965
2023-01-10,-0.2076075011635246
2023-01-11,-0.2081701128133712
2023-01-12,-0.2103116050625023
2023-01-13,-0.20998358314471088
2023-01-16,-0.1986709878728786
2023-01-17,-0.1954583494256791
2023-01-18,-0.19581160983595164
2023-01-19,-0.19551063747532194
2023-01-20,-0.19203039038296713
2023-01-23,-0.19112901801477097
2023-01-24,-0.19224002465129414
2023-01-25,-0.1928880280531966
2023-01-26,-0.19235449173893093
2023-01-27,-0.19119314430811118
2023-01-30,-0.17513274098614762
2023-01-31,-0.17644431873899782
2023-02-01,-0.17955147241418323
2023-02-02,-0.17926504006837535
2023-02-03,-0.17966057439227717
2023-02-06,-0.18097281988612776
2023-02-07,-0.18292486652692774
2023-02-08,-0.1833041745210567
2023-02-09,-0.17647291841296997
2023-02-10,-0.1774580627461546
2023-02-13,-0.1776233154490089
2023-02-14,-0.17768057257054468
2023-02-15,-0.17835298408208314
2023-02-16,-0.1784691089403272
2023-02-17,-0.1777475763014839
2023-02-20,-0.17649433832849518
2023-02-21,-0.18135283481907477
2023-02-22,-0.1825466085635228
2023-02-23,-0.182435847310333
2023-02-24,-0.18156075409887748
2023-02-27,-0.18486411986899925
2023-02-28,-0.18585452553271833
2023-03-01,-0.18912993347659637
2023-03-02,-0.1876410117459303
2023-03-03,-0.18606130405009874
2023-03-06,-0.18619768223481453
2023-03-07,-0.1869534505013371
2023-03-08,-0.18053503088258396
2023-03-09,-0.17990667956560474
2023-03-10,-0.1751176339644539
2023-03-13,-0.17646245200251287
2023-03-14,-0.1762327514848222
2023-03-15,-0.1836254333689938
2023-03-16,-0.18592276545813896
2023-03-17,-0.18691919268024024
2023-03-20,-0.17443875745605555
2023-03-21,-0.17534280521121526
2023-03-22,-0.17104859317389107
2023-03-23,-0.16807069058334762
2023-03-24,-0.17647620616390694
2023-03-27,-0.17599603604205735
2023-03-28,-0.1788173277045327
2023-03-29,-0.17574773186920872
2023-03-30,-0.17846925718990347
2023-03-31,-0.17848814661431575
2023-04-03,-0.1681826683148925
2023-04-04,-0.1695011295242758
2023-04-05,-0.16960853037573834
2023-04-06,-0.16974275875394726
2023-04-07,-0.1720192448678751
2023-04-10,-0.17394130706310212
2023-04-11,-0.176598554807057
2023-04-12,-0.17678177696020866
2023-04-13,-0.17438238063437325
2023-04-14,-0.17476027287210827
2023-04-17,-0.17582778397163043
2023-04-18,-0.17991005348352537
2023-04-19,-0.173545635334317
2023-04-20,-0.1718213169359811
2023-04-21,-0.16256467447076395
2023-04-24,-0.16149742610681508
2023-04-25,-0.16148088046007902
2023-04-26,-0.16647989621948578
2023-04-27,-0.16803269173121238
2023-04-28,-0.14511648362317198
2023-05-01,-0.1479677746750413
2023-05-02,-0.1479837986609995
2023-05-03,-0.1421663085658436
2023-05-04,-0.1432858087074223
2023-05-05,-0.10234419725314553
2023-05-08,-0.10196798683551792
2023-05-09,-0.10192096188632216
2023-05-10,-0.0968116576029831
2023-05-11,-0.10050784945744964
2023-05-12,-0.10041462623578956
2023-05-15,-0.1023646028677546
2023-05-16,-0.10085397265527499
2023-05-17,-0.10232093001746696
2023-05-18,-0.09766320026449472
2023-05-19,-0.09927783932449771
2023-05-22,-0.10269547638455274
2023-05-23,-0.10263853095931469
2023-05-24,-0.09386980378467391
2023-05-25,-0.0941129704185883
2023-05-26,-0.08332272551995282
2023-05-29,-0.08617187476254518
2023-05-30,-0.0858381641112834
2023-05-31,-0.08892503217983214
2023-06-01,-0.08799665335083656
2023-06-02,-0.086097757405627
2023-06-05,-0.08683026101942944
2023-06-06,-0.0868521482326529
2023-06-07,-0.08529542265762396
2023-06-08,-0.08590092258690604
2023-06-09,-0.07070067619994709
2023-06-12,-0.07832765808465351
2023-06-13,-0.07890922234273655
2023-06-14,-0.08736334800563894
2023-06-15,-0.09901361207095168
2023-06-16,-0.10102228663691824
2023-06-19,-0.09927871585556332
2023-06-20,-0.09814595571101978
2023-06-21,-0.10377281563941555
2023-06-22,-0.10137059036106082
2023-06-23,-0.09908094597391787
2023-06-26,-0.10691658714814876
2023-06-27,-0.10904626333654625
2023-06-28,-0.10313844325668407
2023-06-29,-0.10594471840692486
2023-06-30,-0.1038091396556972
2023-07-03,-0.1051099949893421
2023-07-04,-0.10515788924084139
2023-07-05,-0.10391407575074056
2023-07-06,-0.07497845240732276
2023-07-07,-0.07575020086575264
2023-07-10,-0.07542825520848474
2023-07-11,-0.07504635975565167
2023-07-12,-0.07572947799410643
2023-07-13,-0.07407753259963464
2023-07-14,-0.0706277020204773
2023-07-17,-0.06960301170482704
2023-07-18,-0.06487563128283462
2023-07-19,-0.06452560990307205
2023-07-20,-0.06391671950177018
2023-07-21,-0.06497824785218248
2023-07-24,-0.06582732226540713
2023-07-25,-0.06729489393955211
2023-07-26,-0.06319884873036202
2023-07-27,-0.05167001131700614
2023-07-28,-0.011111386281393949
2023-07-31,-0.008162438663680058
2023-08-01,-0.006090512003941666
2023-08-02,-0.004358829613413307
2023-08-03,0.002529472566686148
2023-08-04,-0.0016918374944180695
2023-08-07,0.002891516198011729
2023-08-08,0.0030683242762243506
2023-08-09,-0.003887569415439007
2023-08-10,-0.0025751883975730296
2023-08-11,-0.006952908808655145
2023-08-14,-0.006616431776872952
2023-08-15,-0.0050762946961420904
2023-08-16,0.0036277712492392526
2023-08-17,-0.0028628254721639666
2023-08-18,-0.00345380660912696
2023-08-21,-0.0005558071676187662
2023-08-22,0.010257667713262444
2023-08-23,0.0010757073931831848
2023-08-24,0.01779233491743625
2023-08-25,0.019143512332992815
2023-08-28,0.020069763853931697
2023-08-29,0.017113732765180592
2023-08-30,0.019979512378309423
2023-08-31,0.020677933799837813
2023-09-01,0.020337306065791295
2023-09-04,0.0045360795007350916
2023-09-05,0.004062118717857171
2023-09-06,0.005529915881423113
2023-09-07,0.05008392440803977
2023-09-08,0.05145939257636109
2023-09-11,0.05195765788322646
2023-09-12,0.05246149612574731
2023-09-13,0.05608491693904768
2023-09-14,0.05372049139239285
2023-09-15,0.052966867150139416
2023-09-18,0.053230524688943355
2023-09-19,0.05155375409146359
2023-09-20,0.05205777315021874
2023-09-21,0.06810848740731987
2023-09-22,0.06932165224990164
2023-09-25,0.08315301094420689
2023-09-26,0.08497465969656443
2023-09-27,0.08556325729948676
2023-09-28,0.1001681171356319
2023-09-29,0.1081659382052296
2023-10-02,0.10793925716807479
2023-10-03,0.12334128710993028
2023-10-04,0.12754573285827678
2023-10-05,0.13027551820506422
2023-10-06,0.12751097819976515
2023-10-09,0.12188965167264909
2023-10-10,0.13228385465125245
2023-10-11,0.13262625454166194
2023-10-12,0.1326799837082863
2023-10-13,0.13443135503913414
2023-10-16,0.13037949998809156
2023-10-17,0.14195098775334655
2023-10-18,0.14070209140669562
2023-10-19,0.15059594212993055
2023-10-20,0.1552073605192023
2023-10-23,0.15813569417112705
2023-10-24,0.15786581579891318
2023-10-25,0.17074057265111212
2023-10-26,0.1721269328306746
2023-10-27,0.17081220929160873
2023-10-30,0.1684846235055902
2023-10-31,0.16951411227256474
2023-11-01,0.18148518179255335
2023-11-02,0.18072760550679148
2023-11-03,0.187327515673616
2023-11-06,0.1857378873398717
2023-11-07,0.1806070048591197
2023-11-08,0.17939155578955698
2023-11-09,0.18036165083496725
2023-11-10,0.18651107152734012
2023-11-13,0.18661897522783938
2023-11-14,0.1659067002987709
2023-11-15,0.16480804481095376
2023-11-16,0.15435249239075371
2023-11-17,0.15194726264267935
2023-11-20,0.15174403784250493
2023-11-21,0.15198313449285816
2023-11-22,0.1510305340696808
2023-11-23,0.15314232525645113
2023-11-24,0.15192296067534541
2023-11-27,0.1511001429000477
2023-11-28,0.1501066002222767
2023-11-29,0.15004997564131228
2023-11-30,0.1526825530166598
2023-12-01,0.1461992793221725
2023-12-04,0.14981856845477662
2023-12-05,0.15418276572905582
2023-12-06,0.15920939890858418
2023-12-07,0.15924632511769019
2023-12-08,0.16262305324737836
2023-12-11,0.15598624478296508
2023-12-12,0.15390761819315815
2023-12-13,0.1423793174091319
2023-12-14,0.15932883379432505
2023-12-15,0.13741244390984442
2023-12-18,0.13444522274883894
2023-12-19,0.13202028757756287
2023-12-20,0.13309875419406028
2023-12-21,0.12637492923569316
2023-12-22,0.130605589759692
2023-12-25,0.13291380304253836
2023-12-26,0.13296841433652204
2023-12-27,0.13286928119196006
2023-12-28,0.1340536160840197
2023-12-29,0.13251530499487899
2024-01-01,0.13324150515760977
2024-01-02,0.13251360007788884
2024-01-03,0.13428245489313587
2024-01-04,0.14095102832145198
2024-01-05,0.13698407968145612
2024-01-08,0.1379988860706908
2024-01-09,0.1380442207252378
2024-01-10,0.13616518718787324
2024-01-11,0.10575318092268174
2024-01-12,0.10859307855483104
2024-01-15,0.10705867661210608
2024-01-16,0.10737487184351253
2024-01-17,0.11352875692055733
2024-01-18,0.11371943132174098
2024-01-19,0.09996335262830028
2024-01-22,0.10166417794233269
2024-01-23,0.10153048275043858
2024-01-24,0.10406145142750577
2024-01-25,0.10701532432980154
2024-01-26,0.10270471527487075
2024-01-29,0.10192882749578853
2024-01-30,0.10440608868598482
2024-01-31,0.10381588321130109
2024-02-01,0.10704751940678814
2024-02-02,0.11163006502530896
2024-02-05,0.11888944631385512
2024-02-06,0.11744366489349183
2024-02-07,0.11897466865552356
2024-02-08,0.12511933538603412
2024-02-09,0.13608226048963779
2024-02-12,0.13481271408232914
2024-02-13,0.1392334291492207
2024-02-14,0.1415617466626583
2024-02-15,0.15496548011512554
2024-02-16,0.15624186917138938
2024-02-19,0.1542644491558443
2024-02-20,0.1510708632023355
2024-02-21,0.15864410086030004
2024-02-22,0.1839906926551406
2024-02-23,0.18956595659325925
2024-02-26,0.18778212400996522
2024-02-27,0.18586242519988602
2024-02-28,0.18574633977714253
2024-02-29,0.18643157549182876
2024-03-01,0.19450398217363946
2024-03-04,0.1935136677582599
2024-03-05,0.19261316763565212
2024-03-06,0.1922170332889996
2024-03-07,0.1728779996850093
2024-03-08,0.18412161131804902
2024-03-11,0.18857984286091878
2024-03-12,0.19862379280938716
2024-03-13,0.19855939290345268
2024-03-14,0.19446792883227698
2024-03-15,0.1952307336861053
2024-03-18,0.19487889382845197
2024-03-19,0.19515721022291488
2024-03-20,0.19724676346834202
2024-03-21,0.2172301285501849
2024-03-22,0.20662384389175792
2024-03-25,0.19911339656918756
2024-03-26,0.20077835410670464
2024-03-27,0.17430120808699212
2024-03-28,0.1666567991556675
2024-03-29,0.16732195843664568
2024-04-01,0.16952340825902204
2024-04-02,0.16902101706571054
2024-04-03,0.15917546891878184
2024-04-04,0.1633717032521229
2024-04-05,0.1511482209423399
2024-04-08,0.15463186609856058
2024-04-09,0.1545684018742088
2024-04-10,0.13891642326754622
2024-04-11,0.1462373997565555
2024-04-12,0.1408852521146551
2024-04-15,0.13194474758416383
2024-04-16,0.11851778942606027
2024-04-17,0.11556819647815995
2024-04-18,0.0958977849675806
2024-04-19,0.08893299638603952
2024-04-22,0.08917940278808896
2024-04-23,0.09727788953985897
2024-04-24,0.10067133306280353
2024-04-25,0.11231352698537436
2024-04-26,0.11737631520787757
2024-04-29,0.11750186180737562
2024-04-30,0.10823109931258859
2024-05-01,0.11334149852438326
2024-05-02,0.11314845800866889
2024-05-03,0.1094086459504046
2024-05-06,0.0963030406625017
2024-05-07,0.09717700609829316
2024-05-08,0.1248569523361701
2024-05-09,0.125356143190112
2024-05-10,0.1266428011169638
2024-05-13,0.12799611212229672
2024-05-14,0.12416270138380041
2024-05-15,0.13294415015165756
2024-05-16,0.13410329206866115
2024-05-17,0.13311926206999813
2024-05-20,0.1337975505866418
2024-05-21,0.13624381859160792
2024-05-22,0.13819241588215828
2024-05-23,0.13992585883047856
2024-05-24,0.1421025139996204
2024-05-27,0.15078980557332702
2024-05-28,0.14927200086329576
2024-05-29,0.1352446615490575
2024-05-30,0.12887041523935322
2024-05-31,0.135995595399665
2024-06-03,0.13149447779589354
2024-06-04,0.13162709003635592
2024-06-05,0.1298867689458213
2024-06-06,0.14520682781383445
2024-06-07,0.13112696121999984
2024-06-10,0.1643259393168485
2024-06-11,0.16396913027122292
2024-06-12,0.1848489794674472
2024-06-13,0.18241585100634197
2024-06-14,0.18653415376617227
2024-06-17,0.18861205277585977
2024-06-18,0.18751511543010807
2024-06-19,0.1872742097530954
2024-06-20,0.18716994143059582
2024-06-21,0.18849308072217125
2024-06-24,0.1875318528246198
2024-06-25,0.18734079212560129
2024-06-26,0.18664815476206964
2024-06-27,0.18388419349500248
2024-06-28,0.1743010416285829
2024-07-01,0.1763710985386946
