,Ann Return,Ann Vol,Sharpe (rf=0),Max DD,Calmar,Return Diff.,Alpha (CAPM)
Core,0.027039168787772683,0.061780288755850454,0.4376665977497901,-0.1630798291103096,0.16580326908169,,
Satellite,0.039203396563684434,0.042200313748720804,0.9289835330874237,-0.06690388598727448,0.585965911922383,0.012164227775911751,0.03883170879940634
