,core_return_is
2019-01-01,0.0
2019-01-02,0.003808476575484665
2019-01-03,-0.0055491966299273665
2019-01-04,0.004004116283345072
2019-01-07,0.001482447619710614
2019-01-08,6.761883467576446e-05
2019-01-09,0.0031368587678866078
2019-01-10,0.0017166854138479515
2019-01-11,0.0018194124712134219
2019-01-14,-0.0004804222447145623
2019-01-15,0.004661220005542921
2019-01-16,0.002690179894611955
2019-01-17,-0.0003786310478556265
2019-01-18,0.005581549913298289
2019-01-21,-0.0011279920040258018
2019-01-22,-0.0007770998567344645
2019-01-23,-0.0015752579249405096
2019-01-24,0.0038979827193121874
2019-01-25,0.0020974053435780515
2019-01-28,-0.004322981812898363
2019-01-29,0.0013415582444751273
2019-01-30,0.0028430920029227646
2019-01-31,0.00483213222785861
2019-02-01,0.00010475140875221278
2019-02-04,0.0004998359016221698
2019-02-05,0.004532675577004541
2019-02-06,-0.0005467635214658761
2019-02-07,-0.003702231258571831
2019-02-08,-0.0001756209012210297
2019-02-11,0.002811770336413666
2019-02-12,0.0025919192366783417
2019-02-13,0.0029781003174300658
2019-02-14,-0.0009651581006713261
2019-02-15,0.004249771112946776
2019-02-18,0.00018872905854872002
2019-02-19,0.0003432837400649813
2019-02-20,0.00019373779540243774
2019-02-21,-0.0009560358672645597
2019-02-22,0.0020659115337959832
2019-02-25,0.0016609388161417105
2019-02-26,-0.0003533404109228311
2019-02-27,-0.0017927315672007227
2019-02-28,-0.000632853778462894
2019-03-01,0.0004513770659764216
2019-03-04,0.0024907066793491417
2019-03-05,0.000484341114560527
2019-03-06,-0.00045325493253434157
2019-03-07,0.0021108277020838173
2019-03-08,-0.004058210725273237
2019-03-11,0.004357892771903016
2019-03-12,0.0009333524481467403
2019-03-13,0.00196271301137263
2019-03-14,0.0009398279631331885
2019-03-15,0.0015638063104073119
2019-03-18,0.000876759968862606
2019-03-19,0.0030595092088985254
2019-03-20,-0.0064105941499574826
2019-03-21,0.005369530669166123
2019-03-22,-0.003357056460199681
2019-03-25,-0.003999046329789646
2019-03-26,0.0059421739077607505
2019-03-27,0.000255369328359345
2019-03-28,0.001592948946831374
2019-03-29,0.004395939098698953
2019-04-01,0.0051913014827840165
2019-04-02,0.0024821507680681254
2019-04-03,0.001458537576858987
2019-04-04,-0.0004433807292761882
2019-04-05,0.0022276657161153235
2019-04-08,-0.0015590568687251505
2019-04-09,-0.0017061978326776694
2019-04-10,0.001845502311217606
2019-04-11,0.0005879482078123832
2019-04-12,-0.0007226405918151491
2019-04-15,0.0006490386078128463
2019-04-16,0.002420098922505609
2019-04-17,-0.0019710241523270833
2019-04-18,0.0037995922024516293
2019-04-19,0.0
2019-04-22,0.0
2019-04-23,0.004724085050175519
2019-04-24,0.0021626834341788026
2019-04-25,0.0008210355509461476
2019-04-26,0.0007314810786318571
2019-04-29,0.0013097298111275357
2019-04-30,-0.002542382590962844
2019-05-01,0.0
2019-05-02,-0.0025270989413869183
2019-05-03,0.004034524201604439
2019-05-06,-0.004421536001193216
2019-05-07,-0.005039989961555524
2019-05-08,-0.002686339412665828
2019-05-09,-0.009396115819486184
2019-05-10,-0.0014837178968539755
2019-05-13,-0.004231327581012967
2019-05-14,0.0074727942188128615
2019-05-15,0.0020294952213812945
2019-05-16,0.00908789137942656
2019-05-17,-0.001512281652185199
2019-05-20,-0.006735502842687313
2019-05-21,0.0035974612434741537
2019-05-22,-0.0005514032241553668
2019-05-23,-0.007727984462502002
2019-05-24,0.0011221604582531963
2019-05-27,0.0020351623795413776
2019-05-28,-0.0004544371808177239
2019-05-29,-0.006248842937805477
2019-05-30,0.0019833014576822183
2019-05-31,-0.0037853929344270343
2019-06-03,-0.0035318054790861586
2019-06-04,0.0054599684740936905
2019-06-05,0.004691632422749725
2019-06-06,0.0018689070960518084
2019-06-07,0.006484627971755419
2019-06-10,0.0
2019-06-11,0.003935048146017639
2019-06-12,-0.0022265045009112194
2019-06-13,0.002261785402430716
2019-06-14,0.0021411413232175214
2019-06-17,0.0006219418272506161
2019-06-18,0.011477947157350066
2019-06-19,-0.0017610813606065978
2019-06-20,0.0036852646418972235
2019-06-21,-0.0012861039327058954
2019-06-24,-0.003579391337770854
2019-06-25,-0.001825113294767422
2019-06-26,-0.0025160988939688655
2019-06-27,0.000646150906349785
2019-06-28,0.003075202524116083
2019-07-01,0.009471502862813841
2019-07-02,0.0015204174968399542
2019-07-03,0.00744575321789509
2019-07-04,0.0015442173430793016
2019-07-05,-0.002526517134783357
2019-07-08,-0.001021764567601835
2019-07-09,-0.0013419863035065704
2019-07-10,-1.0978102630621045e-05
2019-07-11,-0.00048058167484210657
2019-07-12,0.0004218197931427081
2019-07-15,0.002282426770277679
2019-07-16,0.0022936609345156622
2019-07-17,-0.0019110618482118813
2019-07-18,-0.003101527954772365
2019-07-19,0.00405822878294293
2019-07-22,-0.0014603335126114336
2019-07-23,0.005727940141039944
2019-07-24,0.0036662239363367544
2019-07-25,-0.0020134848733189825
2019-07-26,0.003986935951425519
2019-07-29,-0.0007786730447192358
2019-07-30,-0.0036473806700947353
2019-07-31,0.0024265673215948524
2019-08-01,0.0030291026466857662
2019-08-02,-0.017468337532743572
2019-08-05,-0.013450190887265845
2019-08-06,-0.0037455558699227565
2019-08-07,0.0028061707211279874
2019-08-08,0.011597119682457357
2019-08-09,-0.004552287289097956
2019-08-12,-0.0024487988033490282
2019-08-13,0.007460337161562691
2019-08-14,-0.008036655116450464
2019-08-15,0.0010524122168946715
2019-08-16,0.007440700758463814
2019-08-19,0.004795395863912422
2019-08-20,-0.0007011338725068095
2019-08-21,0.0028992315580145256
