Date,w_core_effectif,w_sat_effectif,scale
2014-09-30,1.4,0.6,2.0
2014-10-31,1.4,0.6,2.0
2014-11-30,1.4,0.6,2.0
2014-12-31,1.4,0.6,2.0
2015-01-31,1.4,0.6,2.0
2015-02-28,1.2930223331250417,0.5541524284821607,1.8471747616072025
2015-03-31,1.277439352961214,0.5474740084119488,1.824913361373163
2015-04-30,1.3593683988021625,0.5825864566294983,1.9419548554316608
2015-05-31,1.250988033942429,0.5361377288324696,1.7871257627748987
2015-06-30,1.252308873229338,0.5367038028125733,1.7890126760419114
2015-07-31,1.0137010462930631,0.4344433055541699,1.448144351847233
2015-08-31,1.0092272272487461,0.4325259545351769,1.441753181783923
2015-09-30,0.8424068637827735,0.36103151304976006,1.2034383768325336
2015-10-31,0.8384057291563858,0.3593167410670225,1.1977224702234084
2015-11-30,0.8068445583339254,0.34579052500025376,1.1526350833341792
2015-12-31,0.8459247019055965,0.3625391579595414,1.208463859865138
2016-01-31,0.8187950450074133,0.35091216214603427,1.1697072071534476
2016-02-29,0.8526227745950568,0.36540976054073865,1.2180325351357955
2016-03-31,0.8863693084514656,0.3798725607649138,1.2662418692163795
2016-04-30,0.9173510389159566,0.3931504452496957,1.3105014841656524
2016-05-31,0.9125200962565269,0.3910800412527973,1.3036001375093242
2016-06-30,0.9272100931601578,0.39737575421149623,1.324585847371654
2016-07-31,1.0032458740836636,0.4299625174644273,1.433208391548091
2016-08-31,1.0559791536946141,0.45256249444054897,1.5085416481351632
2016-09-30,1.273669887789761,0.545858523338469,1.81952841112823
2016-10-31,1.2818686601045937,0.5493722829019687,1.8312409430065624
2016-11-30,1.4,0.6,2.0
2016-12-31,1.4,0.6,2.0
2017-01-31,1.4,0.6,2.0
2017-02-28,1.4,0.6,2.0
2017-03-31,1.4,0.6,2.0
2017-04-30,1.4,0.6,2.0
2017-05-31,1.4,0.6,2.0
2017-06-30,1.4,0.6,2.0
2017-07-31,1.4,0.6,2.0
2017-08-31,1.4,0.6,2.0
2017-09-30,1.4,0.6,2.0
2017-10-31,1.4,0.6,2.0
2017-11-30,1.4,0.6,2.0
2017-12-31,1.4,0.6,2.0
2018-01-31,1.4,0.6,2.0
2018-02-28,1.4,0.6,2.0
2018-03-31,1.4,0.6,2.0
2018-04-30,1.4,0.6,2.0
2018-05-31,1.4,0.6,2.0
2018-06-30,1.3727268854895047,0.5883115223526448,1.9610384078421497
2018-07-31,1.4,0.6,2.0
2018-08-31,1.3881744203978117,0.5949318944562051,1.983106314854017
2018-09-30,1.370393191374572,0.5873113677319594,1.9577045591065314
2018-10-31,1.4,0.6,2.0
2018-11-30,1.2985591737175037,0.5565253601646445,1.8550845338821484
2018-12-31,1.289231070288688,0.5525276015522949,1.841758671840983
2019-01-31,1.2415392139039867,0.53208823453028,1.7736274484342667
2019-02-28,1.1397282219727398,0.4884549522740314,1.6281831742467714
2019-03-31,1.1464077196325024,0.49131759412821535,1.637725313760718
2019-04-30,1.1112121316101695,0.47623377069007267,1.5874459023002423
2019-05-31,1.0960543790700583,0.46973759103002505,1.5657919701000835
2019-06-30,1.0118720974336002,0.43365947032868585,1.4455315677622862
2019-07-31,0.9735195173420671,0.4172226502894574,1.3907421676315246
2019-08-31,0.985398257749956,0.42231353903569546,1.4077117967856516
2019-09-30,0.9881896336982903,0.423509843013553,1.4116994767118434
2019-10-31,0.969387169340286,0.41545164400297974,1.3848388133432659
2019-11-30,1.1248711180039084,0.482087622001675,1.6069587400055834
2019-12-31,1.159980619355447,0.4971345511523344,1.6571151705077813
2020-01-31,1.3573143580654623,0.5817061534566267,1.939020511522089
2020-02-29,1.4,0.6,2.0
2020-03-31,1.047185487421595,0.4487937803235407,1.4959792677451358
2020-04-30,0.7223468518958492,0.30957722224107825,1.0319240741369275
2020-05-31,0.7134704018568133,0.3057730293672057,1.019243431224019
