Regime,N_obs,Perf_ann,Vol_ann,MaxDD
Stress,521,0.06808606699931485,0.13515340420209193,-0.17099058684134716
Neutre,493,0.08311603411193369,0.0923018158198096,-0.0837347055944141
Risk-on,333,0.135096736353562,0.07981166501275795,-0.06139757769718257
