,theta_satellite,absolute_weight,w_core,w_sat,portfolio_scale,allocation_mode
LVO NA Equity,0.0049737194731244785,0.0001704420901611792,0.9657314629258518,0.03426853707414823,1.0,beta_inverse
UIATHNA GR Equity,0.15431351969181362,0.005288098570601218,0.9657314629258518,0.03426853707414823,1.0,beta_inverse
SCHCTEA LX Equity,0.14322379858674558,0.00490807005177023,0.9657314629258518,0.03426853707414823,1.0,beta_inverse
REYLSEB LX Equity,0.26900872899081407,0.009218535602691206,0.9657314629258518,0.03426853707414823,1.0,beta_inverse
MEDMORL ID Equity,0.13240015613569014,0.004537159659158912,0.9657314629258518,0.03426853707414823,1.0,beta_inverse
BNPAOPP LX Equity,0.08204877499690179,0.0028116914878697752,0.9657314629258518,0.03426853707414823,1.0,beta_inverse
BNPAAAP LX Equity,0.21403130212491045,0.007334539611895715,0.9657314629258518,0.03426853707414823,1.0,beta_inverse
